signal,pair,n_consec,dist_mult,tp,n_is3,wf_pass,oos_pd,oos_wr,tpd,n_oos
exhaust_cont,USD_JPY,2,1.5,5.0,3,1,4.703,99.7,0.671,288
exhaust_cont,USD_JPY,2,1.5,8.0,3,1,4.847,100.0,0.457,196
exhaust_cont,USD_JPY,2,1.5,10.0,3,1,6.021,100.0,0.48,206
exhaust_cont,USD_JPY,2,1.5,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,1.5,20.0,3,1,5.067,100.0,0.214,92
exhaust_cont,USD_JPY,2,2.0,5.0,3,1,4.613,100.0,0.657,282
exhaust_cont,USD_JPY,2,2.0,8.0,3,1,4.832,100.0,0.455,195
exhaust_cont,USD_JPY,2,2.0,10.0,3,1,5.789,100.0,0.476,204
exhaust_cont,USD_JPY,2,2.0,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,2.0,20.0,3,1,4.422,100.0,0.187,80
exhaust_cont,USD_JPY,2,2.5,5.0,3,1,8.282,99.8,1.259,540
exhaust_cont,USD_JPY,2,2.5,8.0,3,1,4.988,100.0,0.487,209
exhaust_cont,USD_JPY,2,2.5,10.0,3,1,3.82,100.0,0.308,132
exhaust_cont,USD_JPY,2,2.5,15.0,3,1,1.848,100.0,0.114,49
exhaust_cont,USD_JPY,2,2.5,20.0,3,1,5.732,100.0,0.249,107
exhaust_cont,USD_JPY,3,0.5,5.0,3,1,4.278,99.1,0.532,228
exhaust_cont,USD_JPY,3,0.5,8.0,3,1,4.451,100.0,0.424,182
exhaust_cont,USD_JPY,3,0.5,10.0,3,1,2.235,100.0,0.175,75
exhaust_cont,USD_JPY,3,0.5,15.0,3,1,2.826,100.0,0.147,63
exhaust_cont,USD_JPY,3,0.5,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,1.0,5.0,3,1,5.088,99.3,0.711,305
exhaust_cont,USD_JPY,3,1.0,8.0,3,1,3.296,100.0,0.317,136
exhaust_cont,USD_JPY,3,1.0,10.0,3,1,2.192,100.0,0.17,73
exhaust_cont,USD_JPY,3,1.0,15.0,3,1,2.798,100.0,0.145,62
exhaust_cont,USD_JPY,3,1.0,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,1.5,5.0,3,1,5.091,99.3,0.706,303
exhaust_cont,USD_JPY,3,1.5,8.0,3,1,3.295,100.0,0.317,136
exhaust_cont,USD_JPY,3,1.5,10.0,3,1,2.192,100.0,0.17,73
exhaust_cont,USD_JPY,3,1.5,15.0,3,1,2.798,100.0,0.145,62
exhaust_cont,USD_JPY,3,1.5,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,2.0,5.0,3,1,4.673,100.0,0.657,282
exhaust_cont,USD_JPY,3,2.0,8.0,3,1,3.295,100.0,0.317,136
exhaust_cont,USD_JPY,3,2.0,10.0,3,1,2.177,100.0,0.168,72
exhaust_cont,USD_JPY,3,2.0,15.0,3,1,2.811,100.0,0.145,62
exhaust_cont,USD_JPY,3,2.0,20.0,3,1,2.47,100.0,0.11,47
exhaust_cont,USD_JPY,3,2.5,5.0,3,1,4.654,100.0,0.657,282
exhaust_cont,USD_JPY,3,2.5,8.0,3,1,3.225,100.0,0.308,132
exhaust_cont,USD_JPY,3,2.5,10.0,3,1,2.419,100.0,0.187,80
exhaust_cont,USD_JPY,3,2.5,15.0,3,1,3.838,100.0,0.2,86
exhaust_cont,USD_JPY,3,2.5,20.0,3,1,2.437,100.0,0.107,46
exhaust_cont,USD_JPY,4,0.5,5.0,3,1,2.999,100.0,0.431,185
exhaust_cont,USD_JPY,4,0.5,8.0,3,1,3.491,100.0,0.375,161
exhaust_cont,USD_JPY,4,0.5,10.0,3,1,2.667,100.0,0.235,101
exhaust_cont,USD_JPY,4,0.5,15.0,3,1,5.299,100.0,0.303,130
exhaust_cont,USD_JPY,4,0.5,20.0,3,1,3.341,100.0,0.142,61
exhaust_cont,USD_JPY,4,1.0,5.0,3,1,3.057,100.0,0.443,190
exhaust_cont,USD_JPY,4,1.0,8.0,3,1,3.133,99.3,0.329,141
exhaust_cont,USD_JPY,4,1.0,10.0,3,1,2.555,100.0,0.224,96
exhaust_cont,USD_JPY,4,1.0,15.0,3,1,5.197,100.0,0.296,127
exhaust_cont,USD_JPY,4,1.0,20.0,3,1,3.341,100.0,0.142,61
exhaust_cont,USD_JPY,4,1.5,5.0,3,1,3.053,100.0,0.443,190
exhaust_cont,USD_JPY,4,1.5,8.0,3,1,3.472,99.4,0.361,155
exhaust_cont,USD_JPY,4,1.5,10.0,3,1,2.686,100.0,0.238,102
exhaust_cont,USD_JPY,4,1.5,15.0,3,1,7.297,100.0,0.42,180
exhaust_cont,USD_JPY,4,1.5,20.0,3,1,5.107,100.0,0.224,96
exhaust_cont,USD_JPY,4,2.0,5.0,3,1,3.013,100.0,0.436,187
exhaust_cont,USD_JPY,4,2.0,8.0,3,1,3.476,99.4,0.364,156
exhaust_cont,USD_JPY,4,2.0,10.0,3,1,2.694,100.0,0.238,102
exhaust_cont,USD_JPY,4,2.0,15.0,3,1,7.134,100.0,0.41,176
exhaust_cont,USD_JPY,4,2.0,20.0,3,1,3.348,100.0,0.142,61
exhaust_cont,USD_JPY,4,2.5,5.0,3,1,2.861,100.0,0.417,179
exhaust_cont,USD_JPY,4,2.5,8.0,3,1,3.219,100.0,0.315,135
exhaust_cont,USD_JPY,4,2.5,10.0,3,1,2.991,100.0,0.261,112
exhaust_cont,USD_JPY,4,2.5,15.0,3,1,7.211,100.0,0.413,177
exhaust_cont,USD_JPY,4,2.5,20.0,3,1,4.771,100.0,0.212,91
exhaust_cont,EUR_JPY,2,0.5,5.0,3,1,2.489,99.4,0.406,174
exhaust_cont,EUR_JPY,2,0.5,8.0,3,1,2.531,99.2,0.287,123
exhaust_cont,EUR_JPY,2,0.5,10.0,3,1,2.05,98.7,0.177,76
exhaust_cont,EUR_JPY,2,0.5,15.0,3,1,3.095,98.7,0.179,77
exhaust_cont,EUR_JPY,2,0.5,20.0,3,1,3.276,100.0,0.154,66
exhaust_cont,EUR_JPY,2,1.0,5.0,3,1,2.457,99.4,0.396,170
exhaust_cont,EUR_JPY,2,1.0,8.0,3,1,2.471,99.2,0.275,118
exhaust_cont,EUR_JPY,2,1.0,10.0,3,1,2.795,99.1,0.266,114
exhaust_cont,EUR_JPY,2,1.0,15.0,3,1,3.052,98.8,0.186,80
exhaust_cont,EUR_JPY,2,1.0,20.0,3,1,2.99,100.0,0.133,57
exhaust_cont,EUR_JPY,2,1.5,5.0,3,1,2.436,99.4,0.392,168
exhaust_cont,EUR_JPY,2,1.5,8.0,3,1,2.416,99.1,0.268,115
exhaust_cont,EUR_JPY,2,1.5,10.0,3,1,3.823,99.4,0.368,158
exhaust_cont,EUR_JPY,2,1.5,15.0,3,1,4.363,99.2,0.284,122
exhaust_cont,EUR_JPY,2,1.5,20.0,3,1,2.853,100.0,0.128,55
exhaust_cont,EUR_JPY,2,2.0,5.0,3,1,2.972,99.2,0.573,246
exhaust_cont,EUR_JPY,2,2.0,8.0,3,1,3.14,99.4,0.375,161
exhaust_cont,EUR_JPY,2,2.0,10.0,3,1,4.06,99.4,0.396,170
exhaust_cont,EUR_JPY,2,2.0,15.0,3,1,2.974,98.7,0.182,78
exhaust_cont,EUR_JPY,2,2.0,20.0,3,1,3.337,100.0,0.152,65
exhaust_cont,EUR_JPY,2,2.5,5.0,3,1,2.849,98.3,0.543,233
exhaust_cont,EUR_JPY,2,2.5,8.0,3,1,3.897,97.9,0.443,190
exhaust_cont,EUR_JPY,2,2.5,10.0,3,1,4.096,97.8,0.427,183
exhaust_cont,EUR_JPY,2,2.5,15.0,3,1,4.429,99.2,0.291,125
exhaust_cont,EUR_JPY,2,2.5,20.0,3,1,3.326,100.0,0.152,65
exhaust_cont,EUR_JPY,3,0.5,5.0,3,1,4.102,99.2,0.569,244
exhaust_cont,EUR_JPY,3,0.5,8.0,3,1,3.114,98.2,0.396,170
exhaust_cont,EUR_JPY,3,0.5,10.0,3,1,3.095,99.2,0.301,129
exhaust_cont,EUR_JPY,3,0.5,15.0,3,1,3.678,100.0,0.205,88
exhaust_cont,EUR_JPY,3,0.5,20.0,3,1,3.676,98.6,0.168,72
exhaust_cont,EUR_JPY,3,1.0,5.0,3,1,4.15,99.2,0.571,245
exhaust_cont,EUR_JPY,3,1.0,8.0,3,1,2.475,97.6,0.296,127
exhaust_cont,EUR_JPY,3,1.0,10.0,3,1,2.488,99.1,0.249,107
exhaust_cont,EUR_JPY,3,1.0,15.0,3,1,3.574,100.0,0.198,85
exhaust_cont,EUR_JPY,3,1.0,20.0,3,1,3.682,98.6,0.168,72
exhaust_cont,EUR_JPY,3,1.5,5.0,3,1,3.823,99.5,0.506,217
exhaust_cont,EUR_JPY,3,1.5,8.0,3,1,2.492,97.8,0.319,137
exhaust_cont,EUR_JPY,3,1.5,10.0,3,1,2.448,99.1,0.249,107
exhaust_cont,EUR_JPY,3,1.5,15.0,3,1,3.613,100.0,0.198,85
exhaust_cont,EUR_JPY,3,1.5,20.0,3,1,3.688,98.6,0.168,72
exhaust_cont,EUR_JPY,3,2.0,5.0,3,1,3.713,99.5,0.487,209
exhaust_cont,EUR_JPY,3,2.0,8.0,3,1,2.302,97.6,0.291,125
exhaust_cont,EUR_JPY,3,2.0,10.0,3,1,2.391,98.1,0.24,103
exhaust_cont,EUR_JPY,3,2.0,15.0,3,1,3.341,100.0,0.184,79
exhaust_cont,EUR_JPY,3,2.0,20.0,3,1,3.481,98.5,0.156,67
exhaust_cont,EUR_JPY,3,2.5,5.0,3,1,3.442,98.6,0.51,219
exhaust_cont,EUR_JPY,3,2.5,8.0,3,1,2.257,96.8,0.289,124
exhaust_cont,EUR_JPY,3,2.5,10.0,3,1,2.23,97.9,0.221,95
exhaust_cont,EUR_JPY,3,2.5,15.0,3,1,3.594,100.0,0.214,92
exhaust_cont,EUR_JPY,3,2.5,20.0,3,1,4.272,98.8,0.191,82
exhaust_cont,EUR_JPY,4,0.5,5.0,3,1,2.486,96.8,0.359,154
exhaust_cont,EUR_JPY,4,0.5,8.0,3,1,2.915,97.4,0.266,114
exhaust_cont,EUR_JPY,4,0.5,10.0,3,1,3.533,100.0,0.254,109
exhaust_cont,EUR_JPY,4,0.5,15.0,3,1,3.75,100.0,0.226,97
exhaust_cont,EUR_JPY,4,0.5,20.0,3,1,4.305,100.0,0.184,79
exhaust_cont,EUR_JPY,4,1.0,5.0,3,1,2.553,96.7,0.357,153
exhaust_cont,EUR_JPY,4,1.0,8.0,3,1,2.896,97.3,0.263,113
exhaust_cont,EUR_JPY,4,1.0,10.0,3,1,3.533,100.0,0.254,109
exhaust_cont,EUR_JPY,4,1.0,15.0,3,1,3.745,100.0,0.233,100
exhaust_cont,EUR_JPY,4,1.0,20.0,3,1,4.31,100.0,0.184,79
exhaust_cont,EUR_JPY,4,1.5,5.0,3,1,2.439,96.7,0.35,150
exhaust_cont,EUR_JPY,4,1.5,8.0,3,1,2.889,97.3,0.261,112
exhaust_cont,EUR_JPY,4,1.5,10.0,3,1,3.507,100.0,0.252,108
exhaust_cont,EUR_JPY,4,1.5,15.0,3,1,4.151,98.2,0.254,109
exhaust_cont,EUR_JPY,4,1.5,20.0,3,1,4.271,100.0,0.182,78
exhaust_cont,EUR_JPY,4,2.0,5.0,3,1,2.388,96.5,0.336,144
exhaust_cont,EUR_JPY,4,2.0,8.0,3,1,2.847,97.2,0.254,109
exhaust_cont,EUR_JPY,4,2.0,10.0,3,1,3.491,100.0,0.249,107
exhaust_cont,EUR_JPY,4,2.0,15.0,3,1,6.852,99.4,0.389,167
exhaust_cont,EUR_JPY,4,2.0,20.0,3,1,3.864,100.0,0.17,73
exhaust_cont,EUR_JPY,4,2.5,5.0,3,1,2.322,96.5,0.329,141
exhaust_cont,EUR_JPY,4,2.5,8.0,3,1,2.827,97.2,0.249,107
exhaust_cont,EUR_JPY,4,2.5,10.0,3,1,3.471,100.0,0.247,106
exhaust_cont,EUR_JPY,4,2.5,15.0,3,1,2.582,100.0,0.161,69
exhaust_cont,EUR_JPY,4,2.5,20.0,3,1,3.748,100.0,0.165,71
exhaust_cont,GBP_USD,2,0.5,5.0,3,1,0.997,100.0,0.196,84
exhaust_cont,GBP_USD,2,0.5,8.0,3,1,2.374,98.5,0.31,133
exhaust_cont,GBP_USD,2,0.5,10.0,3,1,4.103,100.0,0.417,179
exhaust_cont,GBP_USD,2,0.5,15.0,3,1,1.256,100.0,0.079,34
exhaust_cont,GBP_USD,2,0.5,20.0,3,1,3.461,100.0,0.175,75
exhaust_cont,GBP_USD,2,1.0,5.0,3,1,3.169,99.0,0.669,287
exhaust_cont,GBP_USD,2,1.0,8.0,3,1,4.421,98.8,0.588,252
exhaust_cont,GBP_USD,2,1.0,10.0,3,1,4.059,100.0,0.413,177
exhaust_cont,GBP_USD,2,1.0,15.0,3,1,3.326,100.0,0.229,98
exhaust_cont,GBP_USD,2,1.0,20.0,3,1,4.73,100.0,0.24,103
exhaust_cont,GBP_USD,2,1.5,5.0,3,1,2.763,98.0,0.588,252
exhaust_cont,GBP_USD,2,1.5,8.0,3,1,3.979,98.7,0.534,229
exhaust_cont,GBP_USD,2,1.5,10.0,3,1,2.391,100.0,0.243,104
exhaust_cont,GBP_USD,2,1.5,15.0,3,1,3.29,100.0,0.224,96
exhaust_cont,GBP_USD,2,1.5,20.0,3,1,4.42,100.0,0.226,97
exhaust_cont,GBP_USD,2,2.0,5.0,3,1,1.165,98.9,0.215,92
exhaust_cont,GBP_USD,2,2.0,8.0,3,1,1.14,98.5,0.152,65
exhaust_cont,GBP_USD,2,2.0,10.0,3,1,4.252,100.0,0.434,186
exhaust_cont,GBP_USD,2,2.0,15.0,3,1,1.867,100.0,0.131,56
exhaust_cont,GBP_USD,2,2.0,20.0,3,1,3.006,100.0,0.154,66
exhaust_cont,GBP_USD,2,2.5,5.0,3,1,0.991,98.7,0.177,76
exhaust_cont,GBP_USD,2,2.5,8.0,3,1,2.831,99.3,0.334,143
exhaust_cont,GBP_USD,2,2.5,10.0,3,1,7.421,100.0,0.732,314
exhaust_cont,GBP_USD,2,2.5,15.0,3,1,2.904,100.0,0.198,85
exhaust_cont,GBP_USD,2,2.5,20.0,3,1,4.27,100.0,0.217,93
exhaust_cont,GBP_USD,3,0.5,5.0,3,1,1.1,97.8,0.21,90
exhaust_cont,GBP_USD,3,0.5,8.0,3,1,1.613,98.6,0.173,74
exhaust_cont,GBP_USD,3,0.5,10.0,3,1,1.894,98.6,0.168,72
exhaust_cont,GBP_USD,3,0.5,15.0,3,1,3.12,100.0,0.201,86
exhaust_cont,GBP_USD,3,0.5,20.0,3,1,3.921,100.0,0.175,75
exhaust_cont,GBP_USD,3,1.0,5.0,3,1,1.027,98.8,0.191,82
exhaust_cont,GBP_USD,3,1.0,8.0,3,1,1.72,98.8,0.191,82
exhaust_cont,GBP_USD,3,1.0,10.0,3,1,2.28,100.0,0.208,89
exhaust_cont,GBP_USD,3,1.0,15.0,3,1,2.637,100.0,0.168,72
exhaust_cont,GBP_USD,3,1.0,20.0,3,1,3.936,100.0,0.175,75
exhaust_cont,GBP_USD,3,1.5,5.0,3,1,1.027,98.8,0.191,82
exhaust_cont,GBP_USD,3,1.5,8.0,3,1,1.715,98.8,0.191,82
exhaust_cont,GBP_USD,3,1.5,10.0,3,1,2.602,100.0,0.243,104
exhaust_cont,GBP_USD,3,1.5,15.0,3,1,2.793,100.0,0.177,76
exhaust_cont,GBP_USD,3,1.5,20.0,3,1,3.881,100.0,0.173,74
exhaust_cont,GBP_USD,3,2.0,5.0,3,1,0.878,98.6,0.166,71
exhaust_cont,GBP_USD,3,2.0,8.0,3,1,2.902,99.3,0.35,150
exhaust_cont,GBP_USD,3,2.0,10.0,3,1,2.39,100.0,0.236,101
exhaust_cont,GBP_USD,3,2.0,15.0,3,1,2.662,100.0,0.168,72
exhaust_cont,GBP_USD,3,2.0,20.0,3,1,4.705,100.0,0.217,93
exhaust_cont,GBP_USD,3,2.5,5.0,3,1,0.878,98.6,0.161,69
exhaust_cont,GBP_USD,3,2.5,8.0,3,1,1.289,98.4,0.145,62
exhaust_cont,GBP_USD,3,2.5,10.0,3,1,2.368,100.0,0.231,99
exhaust_cont,GBP_USD,3,2.5,15.0,3,1,3.005,100.0,0.189,81
exhaust_cont,GBP_USD,3,2.5,20.0,3,1,3.772,100.0,0.166,71
exhaust_cont,GBP_USD,4,0.5,5.0,3,1,0.721,98.4,0.142,61
