tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/M5/H4,EUR_USD,7/22/50,1,30.0,106,76,30,-252.0,108.7,-0.79,0.68,-164.8,70.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,15.0,22,22,0,-1224.7,0.0,-3.84,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,20.0,19,19,0,-1176.6,0.0,-3.69,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,30.0,20,20,0,-447.7,0.0,-1.4,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,1,15.0,145,104,41,-434.5,-173.0,-1.36,-1.09,-274.8,80.5,478.2
S5/M5/H4,EUR_USD,10/22/50,1,20.0,130,93,37,-117.4,-83.9,-0.37,-0.53,-232.8,78.4,478.2
S5/M5/H4,EUR_USD,10/22/50,1,30.0,109,77,32,-305.3,-103.2,-0.96,-0.65,-197.4,68.8,478.2
S5/M5/H4,GBP_JPY,5/10/22,0,15.0,16,16,0,-2775.1,0.0,-13.73,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/10/22,0,20.0,11,11,0,-2788.1,0.0,-13.8,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/10/22,0,30.0,9,9,0,-2743.3,0.0,-13.58,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/10/22,1,15.0,152,106,46,-303.5,-159.7,-1.5,-1.58,-237.3,80.4,303.1
S5/M5/H4,GBP_JPY,5/10/22,1,20.0,132,90,42,-136.3,-31.0,-0.67,-0.31,-222.3,78.6,303.1
S5/M5/H4,GBP_JPY,5/10/22,1,30.0,109,74,35,146.5,111.0,0.73,1.1,-202.0,74.3,303.1
S5/M5/H4,GBP_JPY,5/15/35,0,15.0,19,19,0,-1434.2,0.0,-7.1,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/15/35,0,20.0,18,18,0,-1361.8,0.0,-6.74,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/15/35,0,30.0,14,14,0,-1302.2,0.0,-6.45,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/15/35,1,15.0,141,86,55,-183.2,-21.5,-0.91,-0.21,-199.3,85.5,303.1
S5/M5/H4,GBP_JPY,5/15/35,1,20.0,121,73,48,-17.0,-41.9,-0.08,-0.42,-190.0,79.2,303.1
S5/M5/H4,GBP_JPY,5/15/35,1,30.0,97,59,38,275.8,76.9,1.36,0.76,-187.6,71.1,303.1
S5/M5/H4,GBP_JPY,5/22/50,0,15.0,19,19,0,-2737.3,0.0,-13.55,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/22/50,0,20.0,15,15,0,-2717.7,0.0,-13.45,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/22/50,0,30.0,11,11,0,-2688.1,0.0,-13.3,0.0,0.0,0.0,303.1
S5/M5/H4,GBP_JPY,5/22/50,1,15.0,115,78,37,-398.7,-303.1,-1.97,-3.0,-340.9,83.8,303.1
S5/M5/H4,GBP_JPY,5/22/50,1,20.0,99,66,33,-254.6,-420.9,-1.26,-4.17,-456.1,78.8,303.1
S5/M5/H4,GBP_JPY,5/22/50,1,30.0,75,51,24,-77.0,-360.9,-0.38,-3.57,-388.5,70.8,303.1
S5/M5/H4,GBP_JPY,7/15/35,0,15.0,21,21,0,-1649.4,0.0,-8.16,0.0,0.0,0.0,303.1
