tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/M2/M10,EUR_JPY,7/15/35,1,20.0,13,8,5,-33.0,4.2,-8.54,2.18,-8.0,40.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,1,30.0,13,8,5,-33.0,-3.4,-8.54,-1.76,-8.0,40.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,15.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,20.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,30.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,1,15.0,11,8,3,-92.1,-11.9,-23.89,-6.19,-4.4,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,1,20.0,11,8,3,-92.1,-11.9,-23.89,-6.19,-4.4,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,1,30.0,11,8,3,-92.1,-11.9,-23.89,-6.19,-4.4,0.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,0,15.0,1,1,0,-113.3,0.0,-29.37,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,0,20.0,1,1,0,-113.3,0.0,-29.37,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,0,30.0,1,1,0,-113.3,0.0,-29.37,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,1,15.0,12,8,4,-90.4,3.7,-23.43,1.92,-2.9,50.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,1,20.0,12,8,4,-90.4,8.7,-23.43,4.51,-2.9,50.0,5.8
S5/M2/M10,EUR_JPY,10/22/50,1,30.0,12,8,4,-90.4,-8.2,-23.43,-4.25,-2.9,50.0,5.8
