tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_USD,10/22/50,0,30.0,37,37,0,445.6,0.0,1.4,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,10/22/50,1,15.0,7275,4860,2415,-6314.9,-3899.9,-19.81,-24.47,-3906.4,28.1,478.2
S5/S30/M1,EUR_USD,10/22/50,1,20.0,7167,4780,2387,-6395.8,-3950.1,-20.06,-24.78,-3950.0,28.0,478.2
S5/S30/M1,EUR_USD,10/22/50,1,30.0,7089,4713,2376,-6170.6,-3879.4,-19.36,-24.34,-3879.3,28.0,478.2
S5/S30/M1,GBP_JPY,5/10/22,0,15.0,94,94,0,-1162.3,0.0,-5.75,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/10/22,0,20.0,51,51,0,-1526.1,0.0,-7.55,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/10/22,0,30.0,44,44,0,-1115.7,0.0,-5.52,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/10/22,1,15.0,8028,5399,2629,-16548.5,-8082.1,-81.9,-80.0,-8109.3,23.7,303.1
S5/S30/M1,GBP_JPY,5/10/22,1,20.0,7902,5305,2597,-16903.8,-8053.1,-83.66,-79.71,-8077.4,23.2,303.1
S5/S30/M1,GBP_JPY,5/10/22,1,30.0,7790,5227,2563,-17096.9,-8013.9,-84.62,-79.32,-8043.4,22.8,303.1
S5/S30/M1,GBP_JPY,5/15/35,0,15.0,76,76,0,-2027.8,0.0,-10.04,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/15/35,0,20.0,85,85,0,-543.4,0.0,-2.69,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/15/35,0,30.0,29,29,0,-1582.1,0.0,-7.83,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/15/35,1,15.0,6331,4282,2049,-13492.8,-6458.8,-66.78,-63.93,-6467.3,25.7,303.1
S5/S30/M1,GBP_JPY,5/15/35,1,20.0,6156,4160,1996,-13395.8,-6447.0,-66.3,-63.81,-6460.5,24.6,303.1
S5/S30/M1,GBP_JPY,5/15/35,1,30.0,6039,4076,1963,-13437.1,-6286.2,-66.5,-62.22,-6299.5,24.0,303.1
S5/S30/M1,GBP_JPY,5/22/50,0,15.0,79,79,0,-1990.0,0.0,-9.85,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/22/50,0,20.0,49,49,0,-2128.0,0.0,-10.53,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/22/50,0,30.0,85,85,0,292.6,0.0,1.45,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,5/22/50,1,15.0,5119,3445,1674,-10960.0,-5168.8,-54.24,-51.16,-5174.5,27.5,303.1
S5/S30/M1,GBP_JPY,5/22/50,1,20.0,4962,3332,1630,-11336.4,-5181.8,-56.11,-51.29,-5181.2,25.5,303.1
S5/S30/M1,GBP_JPY,5/22/50,1,30.0,4836,3244,1592,-11150.6,-4986.9,-55.19,-49.36,-4986.3,24.6,303.1
S5/S30/M1,GBP_JPY,7/15/35,0,15.0,110,110,0,-830.3,0.0,-4.11,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/15/35,0,20.0,59,59,0,-1188.5,0.0,-5.88,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/15/35,0,30.0,36,36,0,-2006.8,0.0,-9.93,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/15/35,1,15.0,6009,4005,2004,-12305.0,-5981.6,-60.9,-59.21,-5989.0,27.1,303.1
S5/S30/M1,GBP_JPY,7/15/35,1,20.0,5883,3920,1963,-12504.4,-6087.1,-61.89,-60.25,-6084.9,25.8,303.1
S5/S30/M1,GBP_JPY,7/15/35,1,30.0,5750,3828,1922,-12487.7,-5852.1,-61.8,-57.93,-5849.9,25.3,303.1
S5/S30/M1,GBP_JPY,7/22/50,0,15.0,102,102,0,-1041.2,0.0,-5.15,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/22/50,0,20.0,46,46,0,-1521.8,0.0,-7.53,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/22/50,0,30.0,32,32,0,-1458.2,0.0,-7.22,0.0,0.0,0.0,303.1
S5/S30/M1,GBP_JPY,7/22/50,1,15.0,4979,3351,1628,-10775.9,-4991.5,-53.33,-49.41,-4999.3,28.9,303.1
S5/S30/M1,GBP_JPY,7/22/50,1,20.0,4819,3237,1582,-10802.7,-5025.6,-53.46,-49.75,-5024.4,26.5,303.1
