tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_JPY,7/22/50,1,30.0,89,62,27,-154.7,-49.9,-40.09,-25.86,-44.2,22.2,5.8
S5/S30/M1,EUR_JPY,10/22/50,0,15.0,3,3,0,-89.4,0.0,-23.19,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,10/22/50,0,20.0,8,5,3,92.5,43.4,23.98,22.47,0.0,100.0,5.8
S5/S30/M1,EUR_JPY,10/22/50,0,30.0,2,2,0,-75.7,0.0,-19.62,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,10/22/50,1,15.0,85,55,30,-136.4,-65.4,-35.36,-33.9,-62.3,13.3,5.8
S5/S30/M1,EUR_JPY,10/22/50,1,20.0,84,55,29,-136.4,-63.7,-35.36,-33.04,-60.7,13.8,5.8
S5/S30/M1,EUR_JPY,10/22/50,1,30.0,84,55,29,-136.4,-63.7,-35.36,-33.04,-60.7,13.8,5.8
S5/S30/M1,GBP_JPY,5/10/22,0,15.0,5,5,0,-86.3,0.0,-22.37,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/10/22,0,20.0,4,4,0,-83.9,0.0,-21.75,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/10/22,0,30.0,3,3,0,-81.5,0.0,-21.12,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/10/22,1,15.0,154,104,50,-313.9,-150.9,-81.35,-78.22,-150.8,12.0,5.8
S5/S30/M1,GBP_JPY,5/10/22,1,20.0,152,102,50,-318.7,-162.4,-82.61,-84.21,-162.4,12.0,5.8
S5/S30/M1,GBP_JPY,5/10/22,1,30.0,152,102,50,-308.7,-162.4,-80.02,-84.21,-162.4,12.0,5.8
S5/S30/M1,GBP_JPY,5/15/35,0,15.0,3,3,0,-111.5,0.0,-28.9,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/15/35,0,20.0,3,3,0,-101.5,0.0,-26.31,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/15/35,0,30.0,3,3,0,-81.5,0.0,-21.12,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/15/35,1,15.0,130,87,43,-310.4,-151.1,-80.47,-78.31,-143.5,9.3,5.8
S5/S30/M1,GBP_JPY,5/15/35,1,20.0,128,85,43,-313.2,-146.1,-81.18,-75.71,-138.5,9.3,5.8
S5/S30/M1,GBP_JPY,5/15/35,1,30.0,128,85,43,-310.0,-156.5,-80.34,-81.13,-148.9,9.3,5.8
S5/S30/M1,GBP_JPY,5/22/50,0,15.0,13,9,4,113.4,50.4,29.39,26.13,0.0,100.0,5.8
S5/S30/M1,GBP_JPY,5/22/50,0,20.0,3,3,0,-3.9,0.0,-1.01,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/22/50,0,30.0,3,3,0,16.1,0.0,4.17,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,5/22/50,1,15.0,92,66,26,-233.0,-81.1,-60.38,-42.04,-82.7,23.1,5.8
S5/S30/M1,GBP_JPY,5/22/50,1,20.0,91,65,26,-251.5,-76.1,-65.19,-39.45,-77.7,23.1,5.8
S5/S30/M1,GBP_JPY,5/22/50,1,30.0,91,65,26,-241.5,-86.5,-62.6,-44.87,-88.1,23.1,5.8
S5/S30/M1,GBP_JPY,7/15/35,0,15.0,4,4,0,-98.9,0.0,-25.63,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/15/35,0,20.0,4,4,0,-83.9,0.0,-21.75,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/15/35,0,30.0,3,3,0,-81.5,0.0,-21.12,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/15/35,1,15.0,130,90,40,-321.8,-128.3,-83.4,-66.51,-121.0,12.5,5.8
S5/S30/M1,GBP_JPY,7/15/35,1,20.0,129,89,40,-335.7,-123.3,-87.0,-63.92,-116.0,12.5,5.8
S5/S30/M1,GBP_JPY,7/15/35,1,30.0,128,88,40,-322.9,-133.8,-83.7,-69.34,-126.4,12.5,5.8
S5/S30/M1,GBP_JPY,7/22/50,0,15.0,3,3,0,-50.4,0.0,-13.08,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/22/50,0,20.0,3,3,0,-40.4,0.0,-10.48,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/22/50,0,30.0,2,2,0,-48.0,0.0,-12.45,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,7/22/50,1,15.0,87,64,23,-244.7,-49.9,-63.43,-25.84,-47.7,21.7,5.8
S5/S30/M1,GBP_JPY,7/22/50,1,20.0,86,63,23,-240.4,-44.9,-62.3,-23.25,-42.7,21.7,5.8
S5/S30/M1,GBP_JPY,7/22/50,1,30.0,86,63,23,-249.5,-51.2,-64.66,-26.52,-49.0,21.7,5.8
S5/S30/M1,GBP_JPY,10/22/50,0,15.0,3,3,0,-50.4,0.0,-13.08,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,10/22/50,0,20.0,4,4,0,-22.8,0.0,-5.92,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,10/22/50,0,30.0,2,2,0,-48.0,0.0,-12.45,0.0,0.0,0.0,5.8
S5/S30/M1,GBP_JPY,10/22/50,1,15.0,94,65,29,-251.4,-99.5,-65.15,-51.58,-100.7,24.1,5.8
S5/S30/M1,GBP_JPY,10/22/50,1,20.0,93,64,29,-257.3,-94.5,-66.69,-48.99,-95.7,24.1,5.8
S5/S30/M1,GBP_JPY,10/22/50,1,30.0,92,64,28,-266.4,-90.9,-69.05,-47.12,-92.1,25.0,5.8
S5/S30/M1,EUR_USD,5/10/22,0,15.0,3,3,0,-27.7,0.0,-7.17,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/10/22,0,20.0,2,2,0,-23.6,0.0,-6.13,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/10/22,0,30.0,2,2,0,-26.6,0.0,-6.91,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/10/22,1,15.0,184,121,63,-179.8,-57.5,-46.61,-29.81,-64.2,25.4,5.8
S5/S30/M1,EUR_USD,5/10/22,1,20.0,184,121,63,-179.9,-52.5,-46.64,-27.22,-64.2,25.4,5.8
S5/S30/M1,EUR_USD,5/10/22,1,30.0,184,121,63,-185.2,-42.5,-48.0,-22.04,-64.2,25.4,5.8
S5/S30/M1,EUR_USD,5/15/35,0,15.0,7,7,0,74.4,0.0,19.29,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/15/35,0,20.0,4,4,0,35.2,0.0,9.12,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/15/35,0,30.0,2,2,0,-13.6,0.0,-3.54,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_USD,5/15/35,1,15.0,122,83,39,-132.1,-18.6,-34.23,-9.63,-21.1,35.9,5.8
