pair,af_start,af_max,activate,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
NZD_USD,0.005,0.2,10.0,False,29,28,1,454.0,-132.5,3.78,-2.21,0.0,0.0,True
NZD_USD,0.005,0.2,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.005,0.2,20.0,False,36,16,20,321.0,100.5,2.67,1.67,-132.5,70.0,True
NZD_USD,0.01,0.1,0.0,True,1154,729,425,-1302.5,-527.0,-10.85,-8.78,-662.0,38.4,False
NZD_USD,0.01,0.1,0.0,False,1031,669,362,-1149.7,-425.3,-9.58,-7.09,-577.1,34.5,False
NZD_USD,0.01,0.1,10.0,True,34,34,0,39.8,0.0,0.33,0.0,0.0,0.0,False
NZD_USD,0.01,0.1,10.0,False,52,15,37,129.0,2.3,1.07,0.04,-127.5,59.5,False
NZD_USD,0.01,0.1,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.01,0.1,20.0,False,40,26,14,431.3,2.9,3.59,0.05,-108.4,57.1,True
NZD_USD,0.01,0.15,0.0,True,1235,783,452,-1341.6,-559.0,-11.18,-9.32,-689.5,38.1,False
NZD_USD,0.01,0.15,0.0,False,1110,721,389,-1187.1,-455.1,-9.89,-7.58,-602.4,34.7,False
NZD_USD,0.01,0.15,10.0,True,35,35,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.01,0.15,10.0,False,53,15,38,130.2,18.4,1.09,0.31,-127.5,60.5,False
NZD_USD,0.01,0.15,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.01,0.15,20.0,False,36,25,11,378.0,6.5,3.15,0.11,-108.4,63.6,True
NZD_USD,0.01,0.2,0.0,True,1241,783,458,-1341.6,-566.0,-11.18,-9.43,-689.5,38.0,False
NZD_USD,0.01,0.2,0.0,False,1116,721,395,-1187.1,-462.1,-9.89,-7.7,-602.4,34.7,False
NZD_USD,0.01,0.2,10.0,True,35,35,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.01,0.2,10.0,False,53,15,38,130.2,18.4,1.09,0.31,-127.5,60.5,False
NZD_USD,0.01,0.2,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.01,0.2,20.0,False,36,25,11,378.0,6.5,3.15,0.11,-108.4,63.6,True
NZD_USD,0.02,0.1,0.0,True,2170,1428,742,-2052.1,-905.6,-17.1,-15.09,-1028.4,34.6,False
