pair,tf_pair,conf,af_s,activate,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,H1+M30,OR,0.005,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,OR,0.005,20.0,False,15,14,1,377.8,-665.5,3.15,-11.09,0.0,0.0,False
USD_JPY,H1+M30,OR,0.01,0.0,True,4477,2881,1596,-3370.4,-1988.2,-28.09,-33.14,-2124.5,42.7,False
USD_JPY,H1+M30,OR,0.01,0.0,False,4114,2656,1458,-2952.0,-1425.1,-24.6,-23.75,-1668.5,39.3,False
USD_JPY,H1+M30,OR,0.01,10.0,True,39,39,0,-428.9,0.0,-3.57,0.0,0.0,0.0,False
USD_JPY,H1+M30,OR,0.01,10.0,False,89,70,19,858.1,32.1,7.15,0.53,-124.5,68.4,True
USD_JPY,H1+M30,OR,0.01,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,OR,0.01,20.0,False,37,30,7,740.6,-9.8,6.17,-0.16,-93.1,85.7,True
USD_JPY,H1+M30,OR,0.02,0.0,True,6061,3907,2154,-4639.8,-2703.7,-38.67,-45.06,-2751.7,42.3,False
USD_JPY,H1+M30,OR,0.02,0.0,False,5708,3683,2025,-4239.1,-2127.8,-35.33,-35.46,-2189.1,40.4,False
USD_JPY,H1+M30,OR,0.02,10.0,True,38,38,0,-419.0,0.0,-3.49,0.0,0.0,0.0,False
USD_JPY,H1+M30,OR,0.02,10.0,False,22,22,0,-465.6,0.0,-3.88,0.0,0.0,0.0,False
USD_JPY,H1+M30,OR,0.02,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,OR,0.02,20.0,False,35,29,6,706.0,-37.2,5.88,-0.62,-105.7,66.7,True
USD_JPY,H1+M15,AND,0.005,0.0,True,833,581,252,-67.0,-33.8,-0.56,-0.56,-438.7,69.4,False
USD_JPY,H1+M15,AND,0.005,0.0,False,425,323,102,359.4,415.7,3.0,6.93,-280.9,40.2,True
USD_JPY,H1+M15,AND,0.005,10.0,True,25,25,0,-1009.9,0.0,-8.42,0.0,0.0,0.0,False
USD_JPY,H1+M15,AND,0.005,10.0,False,59,48,11,831.2,-172.0,6.93,-2.87,-682.9,63.6,True
USD_JPY,H1+M15,AND,0.005,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M15,AND,0.005,20.0,False,20,20,0,-1137.7,0.0,-9.48,0.0,0.0,0.0,False
USD_JPY,H1+M15,AND,0.01,0.0,True,1164,754,410,-752.3,-589.5,-6.27,-9.83,-862.0,56.6,False
USD_JPY,H1+M15,AND,0.01,0.0,False,762,503,259,-404.3,-77.9,-3.37,-1.3,-512.7,39.4,False
