signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,carry_free_gross_pips,variant
2012-12-30 22:00:00+00:00,2013-01-01 22:00:00+00:00,2013-02-02 22:00:00+00:00,3,3,False,-136.2468135797473,-128.3955058860173,momentum
2013-01-31 22:00:00+00:00,2013-02-02 22:00:00+00:00,2013-03-01 22:00:00+00:00,3,3,False,-209.47715073414307,-197.14452138722504,momentum
2013-02-28 22:00:00+00:00,2013-03-01 22:00:00+00:00,2013-04-01 21:00:00+00:00,3,3,False,-28.79279703852607,-18.382687527773697,momentum
2013-03-31 21:00:00+00:00,2013-04-01 21:00:00+00:00,2013-05-01 21:00:00+00:00,3,3,False,-47.4030375034679,-42.40565318931229,momentum
2013-04-30 21:00:00+00:00,2013-05-01 21:00:00+00:00,2013-06-02 21:00:00+00:00,3,3,False,-125.07897704697366,-120.97968088981563,momentum
2013-05-30 21:00:00+00:00,2013-06-02 21:00:00+00:00,2013-07-01 21:00:00+00:00,3,3,False,-77.9528229606634,-71.52385199119512,momentum
2013-06-30 21:00:00+00:00,2013-07-01 21:00:00+00:00,2013-08-01 21:00:00+00:00,3,3,False,101.5712109660915,116.69142473295373,momentum
2013-07-31 21:00:00+00:00,2013-08-01 21:00:00+00:00,2013-09-01 21:00:00+00:00,3,3,False,78.11923933381813,93.50625800958477,momentum
2013-08-29 21:00:00+00:00,2013-09-01 21:00:00+00:00,2013-10-01 21:00:00+00:00,3,3,False,87.44249101756054,101.5094081492368,momentum
2013-09-30 21:00:00+00:00,2013-10-01 21:00:00+00:00,2013-11-03 22:00:00+00:00,3,3,False,-75.19384878729659,-58.00323335835943,momentum
2013-10-31 21:00:00+00:00,2013-11-03 22:00:00+00:00,2013-12-01 22:00:00+00:00,3,3,False,251.25522708577302,265.8226038454581,momentum
2013-11-28 22:00:00+00:00,2013-12-01 22:00:00+00:00,2014-01-01 22:00:00+00:00,3,3,False,149.92767491655832,165.13379351832282,momentum
2013-12-30 22:00:00+00:00,2014-01-01 22:00:00+00:00,2014-02-02 22:00:00+00:00,3,3,False,-113.8831891858595,-98.34425844796914,momentum
2014-01-30 22:00:00+00:00,2014-02-02 22:00:00+00:00,2014-03-02 22:00:00+00:00,3,3,False,120.35667825456943,134.54629607668187,momentum
2014-02-27 22:00:00+00:00,2014-03-02 22:00:00+00:00,2014-04-01 21:00:00+00:00,3,3,False,-44.876492558702836,-29.641212589552158,momentum
2014-03-31 21:00:00+00:00,2014-04-01 21:00:00+00:00,2014-05-01 21:00:00+00:00,3,3,False,24.03030295886047,40.23692360779292,momentum
2014-04-30 21:00:00+00:00,2014-05-01 21:00:00+00:00,2014-06-01 21:00:00+00:00,3,3,False,-151.53467327544112,-137.06231913421067,momentum
2014-05-29 21:00:00+00:00,2014-06-01 21:00:00+00:00,2014-07-01 21:00:00+00:00,3,3,False,73.6042026519126,85.85611195980627,momentum
2014-06-30 21:00:00+00:00,2014-07-01 21:00:00+00:00,2014-08-03 21:00:00+00:00,3,3,False,-65.41810315132238,-50.457893836423054,momentum
2014-07-31 21:00:00+00:00,2014-08-03 21:00:00+00:00,2014-09-01 21:00:00+00:00,3,3,False,5.806898117912965,12.207214554032227,momentum
2014-08-31 21:00:00+00:00,2014-09-01 21:00:00+00:00,2014-10-01 21:00:00+00:00,3,3,False,-55.82712461915946,-49.259136900895484,momentum
2014-09-30 21:00:00+00:00,2014-10-01 21:00:00+00:00,2014-11-02 22:00:00+00:00,3,3,False,13.862028154435862,19.678509726583727,momentum
2014-10-30 21:00:00+00:00,2014-11-02 22:00:00+00:00,2014-12-01 22:00:00+00:00,3,3,False,193.77055834489045,204.70527644998407,momentum
2014-11-30 22:00:00+00:00,2014-12-01 22:00:00+00:00,2015-01-01 22:00:00+00:00,3,3,False,29.558724753185448,35.18253783144798,momentum
2014-12-30 22:00:00+00:00,2015-01-01 22:00:00+00:00,2015-02-01 22:00:00+00:00,3,3,False,-245.3394976652549,-242.08291792193788,momentum
2015-01-29 22:00:00+00:00,2015-02-01 22:00:00+00:00,2015-03-01 22:00:00+00:00,3,3,False,259.0795028403522,263.9936274120544,momentum
