signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,variant
2022-07-31 21:00:00+00:00,2022-08-01 21:00:00+00:00,2022-09-01 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-08-31 21:00:00+00:00,2022-09-01 21:00:00+00:00,2022-10-02 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-09-29 21:00:00+00:00,2022-10-02 21:00:00+00:00,2022-11-01 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-10-31 21:00:00+00:00,2022-11-01 21:00:00+00:00,2022-12-01 22:00:00+00:00,3,3,True,0.0,carry_gated
2022-11-30 22:00:00+00:00,2022-12-01 22:00:00+00:00,2023-01-01 22:00:00+00:00,3,3,False,-88.27672143816746,carry_gated
2022-12-29 22:00:00+00:00,2023-01-01 22:00:00+00:00,2023-02-01 22:00:00+00:00,3,3,True,0.0,carry_gated
2023-01-31 22:00:00+00:00,2023-02-01 22:00:00+00:00,2023-03-01 22:00:00+00:00,3,3,False,-43.977388243884356,carry_gated
2023-02-28 22:00:00+00:00,2023-03-01 22:00:00+00:00,2023-04-02 21:00:00+00:00,3,3,False,-42.74860036010721,carry_gated
2023-03-30 21:00:00+00:00,2023-04-02 21:00:00+00:00,2023-05-01 21:00:00+00:00,3,3,False,-87.98412643609318,carry_gated
2023-04-30 21:00:00+00:00,2023-05-01 21:00:00+00:00,2023-06-01 21:00:00+00:00,3,3,False,49.074677579868926,carry_gated
2023-05-31 21:00:00+00:00,2023-06-01 21:00:00+00:00,2023-07-02 21:00:00+00:00,3,3,False,-76.01537362762927,carry_gated
2023-06-29 21:00:00+00:00,2023-07-02 21:00:00+00:00,2023-08-01 21:00:00+00:00,3,3,False,-55.98782743582613,carry_gated
2023-07-31 21:00:00+00:00,2023-08-01 21:00:00+00:00,2023-09-03 21:00:00+00:00,3,3,False,-18.68758914556956,carry_gated
2023-08-31 21:00:00+00:00,2023-09-03 21:00:00+00:00,2023-10-01 21:00:00+00:00,3,3,False,-49.655840545430685,carry_gated
2023-09-28 21:00:00+00:00,2023-10-01 21:00:00+00:00,2023-11-01 21:00:00+00:00,3,3,False,-60.43589232082396,carry_gated
2023-10-31 21:00:00+00:00,2023-11-01 21:00:00+00:00,2023-12-03 22:00:00+00:00,3,3,True,0.0,carry_gated
2023-11-30 22:00:00+00:00,2023-12-03 22:00:00+00:00,2024-01-01 22:00:00+00:00,3,3,False,-16.353752656026906,carry_gated
2023-12-28 22:00:00+00:00,2024-01-01 22:00:00+00:00,2024-02-01 22:00:00+00:00,3,3,False,-94.99717232260275,carry_gated
2024-01-31 22:00:00+00:00,2024-02-01 22:00:00+00:00,2024-03-03 22:00:00+00:00,3,3,False,1.7423828054643007,carry_gated
