pair,zw,tgt_frac,tgt,pf,body_thresh,ta,td,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,cum_l5,growth_r,risk_adj_p5,is_wf,oos_wf,perm_p,gate_pass
GBP_USD,30.0,1.0,30.0,1.25,0.0,6.0,1.0,732.9,391.6,1.0,2800,0.0,83.3,4.1,92,2.669,4.2566,2,2,0.0,False
GBP_USD,30.0,1.0,30.0,1.25,0.5,6.0,1.0,86.2,-1533.5,0.558,2933,41.7,83.9,3.4,92,2.669,-16.6687,2,2,0.47,False
GBP_USD,30.0,1.0,30.0,1.1,0.0,6.0,1.0,372.4,173.1,1.0,2828,0.0,83.5,4.2,68,2.349,2.5456,1,3,0.0,False
GBP_USD,30.0,1.0,30.0,1.1,0.5,6.0,1.0,-116.5,-737.5,0.448,2933,41.7,83.9,3.7,68,2.349,-10.8451,2,2,0.53,False
GBP_USD,30.0,1.0,30.0,1.05,0.0,6.0,1.0,310.5,169.5,1.0,2830,0.0,83.4,4.3,56,2.242,3.0259,1,3,0.0,False
GBP_USD,30.0,1.0,30.0,1.05,0.5,6.0,1.0,-171.4,-615.9,0.27,2917,41.6,83.8,3.9,56,2.242,-10.9991,1,2,0.71,False
EUR_JPY,50.0,0.7,35.0,1.25,0.0,6.0,1.0,17971.7,1049.7,1.0,4585,0.0,89.4,1.3,178,3.22,5.8975,3,3,0.0,True
EUR_JPY,50.0,0.7,35.0,1.25,0.5,6.0,1.0,-2276.4,-10851.0,0.332,4535,39.0,89.9,1.4,178,3.22,-60.9605,3,2,0.535,False
EUR_JPY,50.0,0.7,35.0,1.1,0.0,6.0,1.0,-3191.5,-10928.0,0.326,4575,0.0,89.3,1.6,101,2.833,-108.1979,3,2,0.55,False
EUR_JPY,50.0,0.7,35.0,1.1,0.5,6.0,1.0,195.0,-753.2,0.658,4555,39.0,89.9,1.6,101,2.833,-7.4573,3,2,0.335,False
EUR_JPY,50.0,0.7,35.0,1.05,0.0,6.0,1.0,224.8,-129.6,0.842,4613,0.0,89.4,1.7,94,2.705,-1.379,3,3,0.13,False
EUR_JPY,50.0,0.7,35.0,1.05,0.5,6.0,1.0,-254.7,-976.9,0.278,4549,38.9,89.9,1.7,94,2.705,-10.393,3,2,0.69,False
EUR_JPY,50.0,0.8,40.0,1.25,0.0,6.0,1.0,500.9,-2546.4,0.686,4035,0.0,89.1,1.7,142,2.961,-17.9325,2,2,0.42,False
EUR_JPY,50.0,0.8,40.0,1.25,0.5,6.0,1.0,-470.3,-4839.7,0.442,4221,38.9,90.1,1.6,142,2.961,-34.0826,1,2,0.515,False
EUR_JPY,50.0,0.8,40.0,1.1,0.0,6.0,1.0,-439.4,-1760.0,0.316,4009,0.0,88.9,2.0,80,2.605,-22.0,2,1,0.735,False
EUR_JPY,50.0,0.8,40.0,1.1,0.5,6.0,1.0,238.9,-287.8,0.82,4223,39.0,90.1,1.8,80,2.605,-3.5977,2,3,0.175,False
EUR_JPY,50.0,0.8,40.0,1.05,0.0,6.0,1.0,-825.9,-1936.7,0.078,4085,0.0,89.1,1.9,74,2.487,-26.1722,2,1,0.89,False
EUR_JPY,50.0,0.8,40.0,1.05,0.5,6.0,1.0,-114.4,-686.0,0.352,4241,38.9,90.1,1.8,74,2.487,-9.2696,2,2,0.54,False
EUR_JPY,50.0,0.9,45.0,1.25,0.0,6.0,1.0,641.9,183.1,0.99,3809,0.0,89.7,2.0,94,2.762,1.9476,3,3,0.005,True
EUR_JPY,50.0,0.9,45.0,1.25,0.5,6.0,1.0,202.1,-1335.8,0.632,2900,38.5,89.8,2.0,94,2.762,-14.2104,1,2,0.485,False
EUR_JPY,50.0,0.9,45.0,1.1,0.0,6.0,1.0,303.5,85.7,0.984,3819,0.0,89.7,2.2,69,2.43,1.2416,3,3,0.0,True
EUR_JPY,50.0,0.9,45.0,1.1,0.5,6.0,1.0,108.6,-192.0,0.774,2864,38.5,89.6,2.1,69,2.43,-2.7824,2,2,0.34,False
EUR_JPY,50.0,0.9,45.0,1.05,0.0,6.0,1.0,-67.5,-510.9,0.472,3769,0.0,89.4,2.1,64,2.32,-7.9835,3,2,0.5,False
EUR_JPY,50.0,0.9,45.0,1.05,0.5,6.0,1.0,-84.2,-470.9,0.382,2874,38.5,89.6,2.1,64,2.32,-7.3574,3,2,0.56,False
EUR_JPY,50.0,1.0,50.0,1.25,0.0,6.0,1.0,418.7,247.9,1.0,2610,0.0,88.7,2.7,75,2.604,3.3054,1,3,0.0,False
EUR_JPY,50.0,1.0,50.0,1.25,0.5,6.0,1.0,-447.1,-1787.5,0.278,3515,38.7,90.1,2.4,75,2.604,-23.8339,1,2,0.75,False
EUR_JPY,50.0,1.0,50.0,1.1,0.0,6.0,1.0,171.8,64.0,0.996,2624,0.0,88.7,2.8,57,2.292,1.1223,1,3,0.0,False
EUR_JPY,50.0,1.0,50.0,1.1,0.5,6.0,1.0,-66.6,-557.6,0.436,3547,38.7,90.1,2.5,57,2.292,-9.7818,3,2,0.49,False
EUR_JPY,50.0,1.0,50.0,1.05,0.0,6.0,1.0,104.1,19.4,0.978,2618,0.0,88.5,2.9,52,2.188,0.3729,2,3,0.025,False
EUR_JPY,50.0,1.0,50.0,1.05,0.5,6.0,1.0,-7.9,-259.0,0.552,3551,38.7,90.1,2.5,52,2.188,-4.9807,2,2,0.5,False
