JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    20    atr 2.0×ATR   0.5    8  0.25 | 2387637204547856384.0 -515586221965389824.0   8380  77.7% 66.4%  3.9%    2/3    2/3   0.285 | 2/2 p=0.28
    20    atr 3.0×ATR   0.5    8  0.25 | 468070813568094528.0 -470825572712917184.0   1898  89.6% 69.9%  3.2%    3/3    3/3   0.255 | 3/3 p=0.26
    20    atr 4.0×ATR   0.5    8  0.25 | 211902998129432384.0 -14709615664325938.0   2290  95.9% 67.7%  2.7%    3/3    2/3   0.100 | 3/2 p=0.10
    20    atr 5.0×ATR   0.5    8  0.25 | 399735813974422144.0 -182546607140643968.0   1231  98.4% 70.5%  2.3%    2/3    3/3   0.260 | 2/3 p=0.26
    20    atr 2.0×ATR   0.5   10  0.00 | 7795860972810636288.0 -874243350199815680.0   9784  59.9% 65.4%  3.9%    2/3    2/3   0.350 | 2/2 p=0.35
    20    atr 3.0×ATR   0.5   10  0.00 | 588417241600459904.0 -284596475618374880.0   2134  83.1% 69.1%  3.1%    2/3    1/3   0.260 | 2/1 p=0.26
    20    atr 4.0×ATR   0.5   10  0.00 | 29388797002959364.0 -396057500930838784.0   2663  94.0% 67.1%  2.9%    3/3    1/3   0.450 | 3/1 p=0.45
    20    atr 5.0×ATR   0.5   10  0.00 | 507485541175971008.0 -107738472057645440.0   1456  97.7% 68.2%  3.0%    2/3    3/3   0.150 | 2/3 p=0.15
    20    atr 2.0×ATR   0.5   10  0.15 | 2329561646161532928.0 -469638056883437888.0   8947  71.5% 65.6%  4.1%    3/3    2/3   0.370 | 3/2 p=0.37
    20    atr 3.0×ATR   0.5   10  0.15 | 269407337995105024.0 -741571963309126400.0   1958  87.0% 69.1%  3.1%    2/3    1/3   0.375 | 2/1 p=0.38
    20    atr 4.0×ATR   0.5   10  0.15 | 324654290106186624.0 23160289784416580.0   2317  95.1% 66.9%  2.9%    3/3    2/3   0.080 | 3/2 p=0.08
