zone_width,tgt,ez,variant,gates,verdict,n,avg_legs,esc_pct,pnl_$,sharpe,sqn,wr,max_dd
35,24,0.7,boundary,5,PASS,3743,9.610205717339033,9.537803900614481,7562.518382349462,0.16574236474685805,10.140128169764367,61.741918247395134,-153.8985380579019
35,30,0.85,center,5,PASS,1603,9.527136618839675,9.91890205864005,4493.04791348097,0.22132495354153836,8.861293940584698,64.504054897068,-142.335200410423
35,30,0.85,boundary,5,PASS,3704,9.797516198704104,5.426565874730022,9627.658057569946,0.20297263739908375,12.353015430949185,61.33909287257019,-321.92495753890836
35,35,1.0,center,5,PASS,1580,9.648101265822785,7.405063291139241,5648.527286621088,0.28122969146708177,11.178659141105369,65.75949367088607,-126.85302362708026
35,35,1.0,boundary,5,PASS,3673,9.861965695616663,3.675469643343316,10706.47236451706,0.22944488982937852,13.90557186105483,62.53743533895998,-321.92495753890836
35,44,1.25,center,5,PASS,1573,9.806738715829624,3.814367450731087,5996.730860999778,0.2876980834628118,11.410412109556749,64.907819453274,-147.60302749714234
35,44,1.25,boundary,5,PASS,3653,9.929373117985218,1.834108951546674,9417.884185652792,0.18263638252678643,11.0385526296107,59.92335067068163,-233.3545982477622
35,52,1.5,center,5,PASS,1543,9.86649384316267,2.851587815942968,6083.893860355211,0.27170726482757157,10.672943580090902,64.87362281270252,-187.05669691825256
35,52,1.5,boundary,5,PASS,3702,9.942463533225284,1.431658562938952,11831.598349329186,0.22716147653103638,13.821427184844325,61.37223122636413,-199.67439053888114
35,70,2.0,center,5,PASS,1534,9.939374185136897,1.108213820078227,6421.034033231828,0.27433257915369885,10.744595402023045,64.60234680573663,-185.2645911319263
35,70,2.0,boundary,5,PASS,3478,9.97556066705003,0.5462909718228868,13133.824933988202,0.25851428247344777,15.245768852252898,63.05347901092582,-189.02443260989966
35,88,2.5,center,5,PASS,1533,9.97129810828441,0.45662100456621,6744.427855597177,0.2736653517990934,10.714968365822081,64.57925636007828,-205.75443141719035
35,88,2.5,boundary,5,PASS,3470,9.985590778097983,0.2881844380403458,13918.982497852483,0.27104388407884167,15.966302365451106,62.96829971181557,-134.0576286540134
40,20,0.5,center,5,PASS,1376,8.866279069767442,24.563953488372093,2958.2502006504824,0.2071257879581267,7.68322215241042,64.02616279069767,-194.36461107204363
40,20,0.5,boundary,5,PASS,3402,9.397413286302175,14.814814814814813,6973.609792655954,0.178981789136027,10.439411086149336,63.25690770135215,-279.080202754433
40,28,0.7,center,5,PASS,1318,9.437784522003035,11.836115326251896,3266.9654331349057,0.2001397173281208,7.265926279833382,63.42943854324734,-205.86074186154002
