pair,reg_N,zw_mode,zw_val,atr_mult,tgt_frac,ta,wick_thresh,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,is_wf,oos_wf,perm_p,gate_pass
EUR_USD,30,atr,0.0,2.0,1.0,10.0,0.15,6.891380866221363e+17,-3.109165554031012e+17,0.85,4444,61.2,53.4,9.9,2,2,0.17,False
EUR_USD,30,atr,0.0,3.0,1.0,10.0,0.15,6055071799275307.0,2031933299423575.5,1.0,2438,80.6,59.6,7.5,2,3,0.0,False
EUR_USD,30,atr,0.0,4.0,1.0,10.0,0.15,1.0744796593599787e+17,93132058.0,1.0,1568,90.8,64.9,6.3,3,3,0.0,True
EUR_USD,30,atr,0.0,5.0,1.0,10.0,0.15,293466197821584.0,669.3,1.0,1138,96.0,66.8,6.4,2,3,0.005,False
EUR_JPY,20,fixed,30.0,0.0,0.5,6.0,0.0,3308332733735.8,695414444496.5,1.0,4618,94.1,83.9,1.5,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,0.5,6.0,0.0,404.8,170.5,1.0,1287,98.8,89.4,0.6,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.5,6.0,0.15,1355757890200.3,260177040840.0,1.0,3915,95.2,83.2,1.5,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,0.5,6.0,0.15,407.6,179.2,1.0,1037,99.0,89.5,0.7,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.5,10.0,0.0,3520196900338.2,657725080199.8,1.0,3564,94.6,75.3,2.2,3,3,0.0,True
EUR_JPY,20,fixed,50.0,0.0,0.5,10.0,0.0,1555.8,250.4,1.0,1020,99.0,81.9,1.0,3,3,0.0,True
EUR_JPY,20,fixed,30.0,0.0,0.5,10.0,0.15,1536968213350.7,429423999063.6,1.0,3134,95.6,74.8,2.3,3,3,0.005,True
EUR_JPY,20,fixed,50.0,0.0,0.5,10.0,0.15,427.8,196.3,1.0,881,99.1,82.6,1.0,3,3,0.0,True
