half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
15.0,20,1.0,0.6666666666666666,14762,-37071.100000018254,-2.511251862892444,0.8796910987671047,-0.03492746442911466,-4.243650994379916,0.7783137876120402,-39200.40000001598,2.9495325836607504,0.19868581493022625,0.04538680395610351,0.1934019780517545
15.0,20,1.1,0.6666666666666666,14762,-39573.500000018736,-2.6807681885936008,0.8813168947297114,-0.03536353032235371,-4.296632551779099,0.7687449342555301,-41554.600000016384,2.9495325836607504,0.19868581493022625,0.04538680395610351,0.1934019780517545
8.0,20,1.1,1.25,19921,-45219.7999999293,-2.2699563274900507,0.8128608001606346,-0.036777734642757104,-5.190874663251881,0.8391754879884795,-46712.39999993213,4.094422970734401,0.31835751217308367,0.05968575874705085,0.3112293559560263
10.25,20,1.5,0.975609756097561,17886,-59984.45000004284,-3.353709605280266,0.8508889634350889,-0.036952696060280135,-4.9420000233876875,0.791124785150844,-61181.700000039265,3.5842558425584254,0.2636139997763614,0.055294643855529464,0.25763166722576314
12.0,15,1.0,0.625,17093,-41621.500000036445,-2.435002632658775,0.8535072836833791,-0.03782525508736323,-4.9452814302115415,0.781503424844346,-43971.90000003334,3.204060141578424,0.20909144094073598,0.08617562744983326,0.2019540162639677
12.0,20,1.0,0.8333333333333334,16486,-40875.60000004165,-2.4794128351353666,0.8571515225039428,-0.038014609441974496,-4.880992953743354,0.7978056984564894,-42037.30000003749,3.3238505398519957,0.23674633021958025,0.05216547373529055,0.2315297828460512
8.0,20,1.19,1.25,19921,-48978.49999992788,-2.4586366146241594,0.81381456754179,-0.03837825414921325,-5.416774823628937,0.8293369618054457,-50439.9999999309,4.094422970734401,0.31835751217308367,0.05968575874705085,0.3112293559560263
12.0,15,1.1,0.625,17093,-45015.50000003715,-2.6335634470272713,0.8554964020359211,-0.03839601255523971,-5.019902375940128,0.7690797559857984,-47204.40000003401,3.204060141578424,0.20909144094073598,0.08617562744983326,0.2019540162639677
12.0,20,1.1,0.8333333333333334,16486,-45326.90000004283,-2.7494176877376457,0.8589105908043189,-0.03972101584038594,-5.100091814132336,0.7827242196853114,-46466.10000004299,3.3238505398519957,0.23674633021958025,0.05216547373529055,0.2315297828460512
15.0,20,1.19,0.6666666666666666,14762,-53484.00000002155,-3.623086302670475,0.8821297927110148,-0.0409772216097441,-4.97869026777002,0.7354071743420666,-54992.20000001878,2.9495325836607504,0.19868581493022625,0.04538680395610351,0.1934019780517545
