pair,pip,swing_w,cluster_tol,min_touches,wick_thresh,stop_atr_frac,range_bars,tgt_pips,ppd,p5,p_pos,nc,hit_pct,stop_pct,perm_p,is_wf,oos_wf,gate_pass
EUR_USD,0.0001,5,10,2,0.15,1.5,50,30,5.4,2.2,0.994,1910,31.4,68.6,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,15,1.9,-1.1,0.85,3644,44.7,55.3,0.105,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,20,4.4,1.1,0.99,2745,39.5,60.5,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,25,6.2,3.1,0.998,2264,35.4,64.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,30,5.8,2.7,0.998,1903,31.8,68.2,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,15,4.2,1.7,0.998,5236,32.4,67.6,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,20,5.2,2.6,1.0,4087,27.1,72.9,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.25,0.5,0,25,5.8,2.9,1.0,3510,23.2,76.8,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,30,5.9,2.9,1.0,3007,20.5,79.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,15,-0.2,-3.0,0.464,5234,30.4,69.6,0.57,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,20,2.0,-1.2,0.852,4168,25.5,74.5,0.145,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,25,3.5,0.7,0.98,3618,22.0,78.0,0.02,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,30,3.5,0.7,0.966,3123,19.2,80.8,0.02,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,15,1.3,-1.1,0.806,5228,30.9,69.1,0.195,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,20,3.4,0.6,0.984,4116,26.1,73.9,0.05,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,25,4.8,1.7,0.994,3569,22.5,77.5,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,30,4.8,1.7,0.994,3085,19.8,80.2,0.01,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,15,3.7,1.1,0.988,4166,39.6,60.4,0.015,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,20,4.9,1.9,1.0,3256,33.7,66.3,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.25,1.0,0,25,6.4,3.1,1.0,2713,29.8,70.2,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,30,6.2,3.3,1.0,2299,26.4,73.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,15,1.3,-1.5,0.798,4141,38.4,61.6,0.195,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,20,3.1,0.3,0.958,3228,32.9,67.1,0.06,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,25,4.4,1.2,0.996,2729,28.8,71.2,0.01,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,30,4.8,1.9,0.998,2332,25.6,74.4,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,100,15,2.8,0.1,0.952,4122,39.0,61.0,0.035,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,100,20,4.9,2.1,0.992,3227,33.7,66.3,0.0,1,3,False
EUR_USD,0.0001,5,10,2,0.25,1.0,100,25,5.9,3.1,1.0,2718,29.4,70.6,0.005,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,100,30,5.3,2.1,0.994,2326,25.8,74.2,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,0,15,2.5,-0.4,0.906,3514,45.1,54.9,0.095,1,1,False
EUR_USD,0.0001,5,10,2,0.25,1.5,0,20,4.9,1.9,0.998,2696,39.5,60.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,0,25,6.5,3.3,1.0,2213,35.5,64.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,0,30,5.9,2.8,1.0,1865,31.7,68.3,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,50,15,0.0,-2.7,0.488,3464,43.7,56.3,0.515,1,1,False
EUR_USD,0.0001,5,10,2,0.25,1.5,50,20,2.9,-0.2,0.936,2697,38.4,61.6,0.03,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,50,25,4.3,1.3,0.99,2216,34.3,65.7,0.02,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,50,30,3.2,-0.0,0.948,1902,30.0,70.0,0.045,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,100,15,1.1,-2.1,0.69,3482,44.3,55.7,0.28,1,1,False
EUR_USD,0.0001,5,10,2,0.25,1.5,100,20,3.8,0.8,0.986,2701,38.9,61.1,0.03,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,100,25,5.1,2.0,1.0,2229,34.6,65.4,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.5,100,30,3.3,0.1,0.952,1900,30.1,69.9,0.08,2,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,0,15,3.0,0.4,0.97,4772,32.5,67.5,0.05,2,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,0,20,3.8,1.0,0.988,3836,26.8,73.2,0.005,3,3,True
EUR_USD,0.0001,5,10,2,0.35,0.5,0,25,4.1,1.1,0.998,3278,23.0,77.0,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,0,30,5.0,2.2,1.0,2813,20.5,79.5,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,50,15,-1.4,-4.0,0.216,4792,30.2,69.8,0.82,0,1,False
EUR_USD,0.0001,5,10,2,0.35,0.5,50,20,-0.0,-2.7,0.52,3902,25.0,75.0,0.47,1,1,False
EUR_USD,0.0001,5,10,2,0.35,0.5,50,25,1.2,-1.6,0.744,3357,21.6,78.4,0.235,1,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,50,30,1.0,-1.9,0.716,2915,18.6,81.4,0.26,1,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,100,15,-0.1,-2.7,0.474,4758,30.8,69.2,0.495,1,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,100,20,1.3,-1.3,0.794,3863,25.6,74.4,0.18,1,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,100,25,1.5,-1.6,0.808,3362,21.7,78.3,0.185,1,2,False
EUR_USD,0.0001,5,10,2,0.35,0.5,100,30,1.5,-1.4,0.768,2902,18.9,81.1,0.2,3,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,0,15,2.4,-0.2,0.924,3853,39.3,60.7,0.065,1,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,0,20,2.9,-0.1,0.946,3084,32.8,67.2,0.075,2,2,False
EUR_USD,0.0001,5,10,2,0.35,1.0,0,25,4.4,1.4,0.992,2600,29.1,70.9,0.005,3,2,False
