  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.25    0.5    100    25 |      4.8      1.7   3569  22.5%  77.5%    2/3    2/3   0.000 | 2/2 p=0.00
  0.25    0.5    100    30 |      4.8      1.7   3085  19.8%  80.2%    2/3    2/3   0.010 | 2/2 p=0.01
  0.25    1.0      0    15 |      3.7      1.1   4166  39.6%  60.4%    2/3    2/3   0.015 | 2/2 p=0.01
  0.25    1.0      0    20 |      4.9      1.9   3256  33.7%  66.3%    3/3    3/3   0.000 | 🟢 PASS
  0.25    1.0      0    25 |      6.4      3.1   2713  29.8%  70.2%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    1.0      0    30 |      6.2      3.3   2299  26.4%  73.6%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    1.0     50    15 |      1.3     -1.5   4141  38.4%  61.6%    1/3    2/3   0.195 | 1/2 p=0.20
  0.25    1.0     50    20 |      3.1      0.3   3228  32.9%  67.1%    1/3    2/3   0.060 | 1/2 p=0.06
  0.25    1.0     50    25 |      4.4      1.2   2729  28.8%  71.2%    2/3    2/3   0.010 | 2/2 p=0.01
  0.25    1.0     50    30 |      4.8      1.9   2332  25.6%  74.4%    2/3    2/3   0.000 | 2/2 p=0.00
  0.25    1.0    100    15 |      2.8      0.1   4122  39.0%  61.0%    1/3    2/3   0.035 | 1/2 p=0.04
  0.25    1.0    100    20 |      4.9      2.1   3227  33.7%  66.3%    1/3    3/3   0.000 | 1/3 p=0.00
  0.25    1.0    100    25 |      5.9      3.1   2718  29.4%  70.6%    2/3    2/3   0.005 | 2/2 p=0.01
  0.25    1.0    100    30 |      5.3      2.1   2326  25.8%  74.2%    2/3    2/3   0.000 | 2/2 p=0.00
  0.25    1.5      0    15 |      2.5     -0.4   3514  45.1%  54.9%    1/3    1/3   0.095 | 1/1 p=0.10
  0.25    1.5      0    20 |      4.9      1.9   2696  39.5%  60.5%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    1.5      0    25 |      6.5      3.3   2213  35.5%  64.5%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    1.5      0    30 |      5.9      2.8   1865  31.7%  68.3%    3/3    2/3   0.005 | 3/2 p=0.01
  0.25    1.5     50    15 |      0.0     -2.7   3464  43.7%  56.3%    1/3    1/3   0.515 | 1/1 p=0.52
  0.25    1.5     50    20 |      2.9     -0.2   2697  38.4%  61.6%    2/3    2/3   0.030 | 2/2 p=0.03
  0.25    1.5     50    25 |      4.3      1.3   2216  34.3%  65.7%    3/3    2/3   0.020 | 3/2 p=0.02
  0.25    1.5     50    30 |      3.2     -0.0   1902  30.0%  70.0%    2/3    2/3   0.045 | 2/2 p=0.04
  0.25    1.5    100    15 |      1.1     -2.1   3482  44.3%  55.7%    1/3    1/3   0.280 | 1/1 p=0.28
  0.25    1.5    100    20 |      3.8      0.8   2701  38.9%  61.1%    1/3    2/3   0.030 | 1/2 p=0.03
  0.25    1.5    100    25 |      5.1      2.0   2229  34.6%  65.4%    3/3    2/3   0.005 | 3/2 p=0.01
  0.25    1.5    100    30 |      3.3      0.1   1900  30.1%  69.9%    2/3    2/3   0.080 | 2/2 p=0.08
  0.35    0.5      0    15 |      3.0      0.4   4772  32.5%  67.5%    2/3    2/3   0.050 | 2/2 p=0.05
  0.35    0.5      0    20 |      3.8      1.0   3836  26.8%  73.2%    3/3    3/3   0.005 | 🟢 PASS
  0.35    0.5      0    25 |      4.1      1.1   3278  23.0%  77.0%    3/3    2/3   0.000 | 3/2 p=0.00
  0.35    0.5      0    30 |      5.0      2.2   2813  20.5%  79.5%    3/3    2/3   0.005 | 3/2 p=0.01
  0.35    0.5     50    15 |     -1.4     -4.0   4792  30.2%  69.8%    0/3    1/3   0.820 | 0/1 p=0.82
  0.35    0.5     50    20 |     -0.0     -2.7   3902  25.0%  75.0%    1/3    1/3   0.470 | 1/1 p=0.47
  0.35    0.5     50    25 |      1.2     -1.6   3357  21.6%  78.4%    1/3    2/3   0.235 | 1/2 p=0.23
  0.35    0.5     50    30 |      1.0     -1.9   2915  18.6%  81.4%    1/3    2/3   0.260 | 1/2 p=0.26
  0.35    0.5    100    15 |     -0.1     -2.7   4758  30.8%  69.2%    1/3    2/3   0.495 | 1/2 p=0.49
  0.35    0.5    100    20 |      1.3     -1.3   3863  25.6%  74.4%    1/3    2/3   0.180 | 1/2 p=0.18
  0.35    0.5    100    25 |      1.5     -1.6   3362  21.7%  78.3%    1/3    2/3   0.185 | 1/2 p=0.18
  0.35    0.5    100    30 |      1.5     -1.4   2902  18.9%  81.1%    3/3    2/3   0.200 | 3/2 p=0.20
  0.35    1.0      0    15 |      2.4     -0.2   3853  39.3%  60.7%    1/3    2/3   0.065 | 1/2 p=0.07
  0.35    1.0      0    20 |      2.9     -0.1   3084  32.8%  67.2%    2/3    2/3   0.075 | 2/2 p=0.07
  0.35    1.0      0    25 |      4.4      1.4   2600  29.1%  70.9%    3/3    2/3   0.005 | 3/2 p=0.01
  0.35    1.0      0    30 |      5.7      2.6   2220  26.2%  73.8%    3/3    2/3   0.005 | 3/2 p=0.01
  0.35    1.0     50    15 |     -0.2     -2.9   3814  37.9%  62.1%    0/3    1/3   0.570 | 0/1 p=0.57
  0.35    1.0     50    20 |      0.9     -1.7   3035  31.9%  68.1%    1/3    1/3   0.335 | 1/1 p=0.34
  0.35    1.0     50    25 |      2.8     -0.1   2618  28.2%  71.8%    2/3    2/3   0.090 | 2/2 p=0.09
  0.35    1.0     50    30 |      3.0      0.1   2234  24.8%  75.2%    2/3    2/3   0.035 | 2/2 p=0.04
  0.35    1.0    100    15 |      0.1     -2.5   3809  38.0%  62.0%    0/3    1/3   0.455 | 0/1 p=0.46
