pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,15m,summary,6,0.5,follow,-80.3697312999275,-127.12639070443005,18643,40.59432494770155
EUR_USD,15m,summary,6,0.5,fade,-65.07991285403065,-110.60043572984763,18643,44.23107868905219
EUR_USD,15m,osc_rating,1,0.1,follow,-94.70164124909225,-99.83013507625276,23079,30.850556783222842
EUR_USD,15m,osc_rating,1,0.1,fade,-87.42739288307895,-92.37403050108911,23079,32.76571775206898
EUR_USD,15m,osc_rating,1,0.3,follow,-30.092781408859903,-31.85220043572991,6825,30.974358974358974
EUR_USD,15m,osc_rating,1,0.3,fade,-22.800871459694836,-24.377992737835715,6825,36.395604395604394
EUR_USD,15m,osc_rating,1,0.5,follow,-0.9307189542484053,-0.9837037037037458,173,27.167630057803464
EUR_USD,15m,osc_rating,1,0.5,fade,-0.4445606390703832,-0.48539143064627305,173,39.884393063583815
EUR_USD,15m,osc_rating,3,0.1,follow,-93.34611474219287,-114.29138126361624,23079,38.19922873608042
EUR_USD,15m,osc_rating,3,0.1,fade,-88.78291938997833,-109.2325461147423,23079,39.317128125135405
EUR_USD,15m,osc_rating,3,0.3,follow,-28.867392883079074,-35.75434132171379,6825,37.72893772893773
EUR_USD,15m,osc_rating,3,0.3,fade,-24.02625998547566,-30.467636891793738,6825,41.99267399267399
EUR_USD,15m,osc_rating,3,0.5,follow,-0.4496732026143734,-0.6315177923021038,173,44.50867052023121
EUR_USD,15m,osc_rating,3,0.5,fade,-0.9256063907044152,-1.1038721859113874,173,38.72832369942196
EUR_USD,15m,osc_rating,6,0.1,follow,-98.07035584604186,-152.59645025417544,23078,40.68810122194297
EUR_USD,15m,osc_rating,6,0.1,fade,-84.05124183006545,-137.23483514887445,23078,42.616344570586705
EUR_USD,15m,osc_rating,6,0.3,follow,-29.976354393609252,-47.667927378358726,6824,40.811840562719816
EUR_USD,15m,osc_rating,6,0.3,fade,-22.90986201888158,-39.68052287581695,6824,44.7538100820633
EUR_USD,15m,osc_rating,6,0.5,follow,-0.18405228758169762,-0.6052461873638387,173,44.50867052023121
EUR_USD,15m,osc_rating,6,0.5,fade,-1.191227305737091,-1.65791140159766,173,39.30635838150289
EUR_USD,15m,ma_rating,1,0.1,follow,-157.1688017429198,-165.3633928830796,38517,30.371005010774464
EUR_USD,15m,ma_rating,1,0.1,fade,-150.85339143064635,-158.89009731299933,38517,32.21694316795181
EUR_USD,15m,ma_rating,1,0.3,follow,-143.05440813362426,-150.61627305737156,35127,30.591852421214448
EUR_USD,15m,ma_rating,1,0.3,fade,-137.27163398692824,-144.68892955700812,35127,32.47644262248413
EUR_USD,15m,ma_rating,1,0.5,follow,-113.01089324618766,-119.21820769789429,27950,31.23434704830054
EUR_USD,15m,ma_rating,1,0.5,fade,-109.24804647785048,-115.36128976034865,27950,32.955277280858674
EUR_USD,15m,ma_rating,3,0.1,follow,-158.9200871459696,-192.79911692084252,38515,37.06348176035311
EUR_USD,15m,ma_rating,3,0.1,fade,-149.08769789397272,-182.37808569353697,38515,39.53264961703232
EUR_USD,15m,ma_rating,3,0.3,follow,-145.35413217138714,-176.643543936093,35126,37.095029323008596
EUR_USD,15m,ma_rating,3,0.3,fade,-134.96493827160546,-165.6566216412496,35126,39.81666002391391
EUR_USD,15m,ma_rating,3,0.5,follow,-116.19253449527967,-141.86962962962969,27949,37.31797202046585
EUR_USD,15m,ma_rating,3,0.5,fade,-106.05943355119855,-131.20321859114046,27949,40.327024222691335
EUR_USD,15m,ma_rating,6,0.1,follow,-163.01385620915045,-251.6393318809006,38512,40.13813876194433
