tfs,sma,lags,tp,ppd,tpd,mean_h,p50_h,p90_h,n_is3,target
M15+M5,8,"(8, 10, 15)",10,20.57,1.905,98.3,1.8,61.4,12,False
M15+M5,8,"(8, 10, 15)",12,23.12,1.835,102.6,2.5,70.6,12,False
M15+M5,8,"(8, 10, 15)",15,24.38,1.543,118.4,3.4,91.2,11,False
M15+M5,8,"(8, 10, 15)",20,22.31,1.077,176.4,5.9,168.0,10,False
M15+M5,16,"(3, 5, 8)",5,13.02,2.448,78.5,0.8,48.3,12,False
M15+M5,16,"(3, 5, 8)",8,17.25,2.04,85.3,1.2,56.2,12,False
M15+M5,16,"(3, 5, 8)",10,16.68,1.576,117.8,2.1,88.4,12,False
M15+M5,16,"(3, 5, 8)",12,17.06,1.364,136.0,2.8,115.4,12,False
M15+M5,16,"(3, 5, 8)",15,19.96,1.273,140.7,3.2,115.5,12,False
M15+M5,16,"(3, 5, 8)",20,18.06,0.865,203.1,5.2,213.8,10,False
M15+M5,16,"(5, 8, 10)",5,11.99,2.371,85.2,0.9,48.2,12,False
M15+M5,16,"(5, 8, 10)",8,17.28,2.138,86.0,1.3,56.0,12,False
M15+M5,16,"(5, 8, 10)",10,17.18,1.669,115.0,2.3,93.0,12,False
M15+M5,16,"(5, 8, 10)",12,19.74,1.592,120.0,2.8,104.2,12,False
M15+M5,16,"(5, 8, 10)",15,20.9,1.326,138.8,3.5,122.1,12,False
M15+M5,16,"(5, 8, 10)",20,23.63,1.161,166.0,5.0,203.5,10,False
M15+M5,16,"(8, 10, 15)",5,13.74,2.637,72.8,0.8,33.8,12,False
M15+M5,16,"(8, 10, 15)",8,17.9,2.135,78.2,1.2,46.6,12,False
M15+M5,16,"(8, 10, 15)",10,18.46,1.809,111.8,2.2,93.0,12,False
M15+M5,16,"(8, 10, 15)",12,21.24,1.716,116.8,2.8,100.2,12,False
M15+M5,16,"(8, 10, 15)",15,21.84,1.408,126.3,3.9,120.3,12,False
M15+M5,16,"(8, 10, 15)",20,22.51,1.086,173.0,5.2,212.0,10,False
