tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
H1+M30,"(2, 5, 8)",5,11.61,2.007,11,46.6,0.8,34.4,False,False
H1+M30,"(2, 5, 8)",10,17.07,1.541,11,61.0,2.5,81.3,False,False
H1+M30,"(2, 5, 8)",15,17.1,1.061,11,98.3,4.4,111.1,False,False
H1+M30,"(2, 5, 8)",20,18.9,0.907,9,106.4,5.9,120.3,False,False
H1+M30,"(2, 5, 8)",30,16.68,0.543,7,194.6,15.2,494.9,False,False
H1+M30,"(2, 5, 10)",5,12.95,2.217,11,37.0,0.8,36.2,False,False
H1+M30,"(2, 5, 10)",10,17.31,1.56,11,60.2,2.2,75.2,False,False
H1+M30,"(2, 5, 10)",15,17.08,1.066,11,97.8,4.3,110.5,False,False
H1+M30,"(2, 5, 10)",20,17.21,0.825,9,108.7,5.0,109.5,False,False
H1+M30,"(2, 5, 10)",30,18.12,0.588,7,202.3,16.1,538.1,False,False
H1+M30,"(2, 5, 15)",5,13.75,2.42,12,37.5,0.8,29.5,False,False
H1+M30,"(2, 5, 15)",10,16.96,1.52,11,55.8,2.4,81.1,False,False
H1+M30,"(2, 5, 15)",15,17.91,1.091,11,95.5,4.5,110.2,False,False
H1+M30,"(2, 5, 15)",20,16.96,0.825,9,109.8,5.0,106.3,False,False
H1+M30,"(2, 5, 15)",30,17.56,0.576,7,189.2,16.9,509.4,False,False
H1+M30,"(2, 5, 20)",5,14.31,2.464,12,34.1,0.8,31.1,False,False
H1+M30,"(2, 5, 20)",10,14.5,1.308,12,69.8,1.4,45.9,False,False
H1+M30,"(2, 5, 20)",15,16.41,1.012,11,97.8,4.1,109.6,False,False
H1+M30,"(2, 5, 20)",20,16.25,0.767,10,118.2,5.0,116.9,False,False
H1+M30,"(2, 5, 20)",30,17.9,0.564,8,170.7,13.1,434.6,False,False
H1+M30,"(2, 8, 10)",5,12.95,2.217,11,37.0,0.8,36.2,False,False
H1+M30,"(2, 8, 10)",10,17.31,1.56,11,60.2,2.2,75.2,False,False
H1+M30,"(2, 8, 10)",15,17.08,1.066,11,97.8,4.3,110.5,False,False
H1+M30,"(2, 8, 10)",20,17.21,0.825,9,108.7,5.0,109.5,False,False
H1+M30,"(2, 8, 10)",30,18.12,0.588,7,202.3,16.1,538.1,False,False
H1+M30,"(2, 8, 15)",5,11.22,2.058,12,48.1,0.8,27.8,False,False
H1+M30,"(2, 8, 15)",10,14.53,1.35,11,65.8,2.2,65.6,False,False
H1+M30,"(2, 8, 15)",15,16.47,1.019,11,113.4,4.2,116.7,False,False
H1+M30,"(2, 8, 15)",20,17.29,0.837,9,116.1,5.0,111.7,False,False
H1+M30,"(2, 8, 15)",30,15.61,0.515,7,220.9,12.9,540.7,False,False
H1+M30,"(2, 8, 20)",5,13.25,2.408,12,34.7,0.8,27.7,False,False
H1+M30,"(2, 8, 20)",10,15.48,1.445,12,68.9,1.8,57.4,False,False
H1+M30,"(2, 8, 20)",15,17.08,1.084,11,111.4,4.2,113.8,False,False
H1+M30,"(2, 8, 20)",20,18.03,0.874,10,115.7,5.0,109.4,False,False
H1+M30,"(2, 8, 20)",30,19.17,0.625,8,209.1,14.1,380.9,False,False
H1+M30,"(2, 10, 15)",5,12.51,2.187,12,38.2,0.8,21.9,False,False
H1+M30,"(2, 10, 15)",10,17.04,1.53,11,55.5,2.5,79.2,False,False
H1+M30,"(2, 10, 15)",15,17.72,1.087,11,95.9,4.5,110.5,False,False
H1+M30,"(2, 10, 15)",20,16.69,0.807,9,112.4,5.1,109.4,False,False
H1+M30,"(2, 10, 15)",30,17.95,0.587,7,185.4,15.9,499.5,False,False
H1+M30,"(2, 10, 20)",5,13.79,2.457,12,31.2,0.7,22.7,False,False
H1+M30,"(2, 10, 20)",10,14.07,1.298,12,71.4,1.7,62.1,False,False
H1+M30,"(2, 10, 20)",15,16.41,1.021,11,106.7,4.1,112.4,False,False
H1+M30,"(2, 10, 20)",20,18.26,0.874,10,104.3,4.5,105.9,False,False
H1+M30,"(2, 10, 20)",30,17.67,0.564,8,197.2,12.8,538.2,False,False
H1+M30,"(2, 15, 20)",5,14.45,2.497,12,34.7,0.8,31.3,False,False
H1+M30,"(2, 15, 20)",10,13.61,1.229,12,74.4,1.6,60.5,False,False
H1+M30,"(2, 15, 20)",15,16.89,1.045,11,94.7,3.8,112.4,False,False
H1+M30,"(2, 15, 20)",20,16.11,0.76,10,119.2,5.0,113.7,False,False
H1+M30,"(2, 15, 20)",30,15.57,0.513,8,202.8,13.8,558.2,False,False
H1+M30,"(3, 5, 8)",5,12.07,2.042,11,45.9,0.8,33.6,False,False
H1+M30,"(3, 5, 8)",10,17.6,1.59,11,59.1,2.4,73.1,False,False
H1+M30,"(3, 5, 8)",15,18.98,1.18,11,79.9,4.3,97.2,False,False
H1+M30,"(3, 5, 8)",20,18.92,0.907,9,106.4,5.9,120.3,False,False
H1+M30,"(3, 5, 8)",30,14.4,0.471,7,261.8,14.3,514.8,False,False
H1+M30,"(3, 5, 10)",5,13.4,2.25,11,36.5,0.8,36.2,False,False
H1+M30,"(3, 5, 10)",10,17.77,1.604,11,58.5,2.2,73.0,False,False
H1+M30,"(3, 5, 10)",15,19.36,1.21,11,77.8,4.2,96.1,False,False
H1+M30,"(3, 5, 10)",20,17.22,0.825,9,108.7,5.0,109.5,False,False
H1+M30,"(3, 5, 10)",30,15.89,0.518,7,263.6,15.4,624.4,False,False
H1+M30,"(3, 5, 15)",5,12.78,2.25,12,42.5,0.8,29.0,False,False
H1+M30,"(3, 5, 15)",10,17.13,1.537,11,55.2,2.4,79.8,False,False
H1+M30,"(3, 5, 15)",15,17.91,1.091,11,95.5,4.5,110.2,False,False
H1+M30,"(3, 5, 15)",20,17.11,0.83,9,109.2,5.0,105.8,False,False
H1+M30,"(3, 5, 15)",30,12.42,0.417,7,306.1,14.8,842.1,False,False
H1+M30,"(3, 5, 20)",5,14.4,2.467,12,34.1,0.8,31.1,False,False
H1+M30,"(3, 5, 20)",10,14.89,1.345,12,67.9,1.4,46.6,False,False
H1+M30,"(3, 5, 20)",15,16.5,1.017,11,97.3,4.1,109.4,False,False
H1+M30,"(3, 5, 20)",20,16.62,0.786,10,115.4,5.0,116.9,False,False
H1+M30,"(3, 5, 20)",30,16.48,0.527,8,215.2,13.0,474.4,False,False
H1+M30,"(3, 8, 10)",5,13.4,2.25,11,36.5,0.8,36.2,False,False
H1+M30,"(3, 8, 10)",10,17.77,1.604,11,58.5,2.2,73.0,False,False
H1+M30,"(3, 8, 10)",15,19.36,1.21,11,77.8,4.2,96.1,False,False
H1+M30,"(3, 8, 10)",20,17.22,0.825,9,108.7,5.0,109.5,False,False
