pair,ta,td,zw,tgt,sp_med,gate,skip_pct,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
EUR_GBP,30,3,40.0,20.0,1.4,1.6,35.1,-42.3,0.3,-132.18,4.2,2,,
EUR_GBP,30,5,40.0,20.0,1.4,1.6,35.1,-42.4,0.3,-132.26,4.2,2,,
EUR_GBP,30,7,40.0,20.0,1.4,1.6,35.1,-42.4,0.3,-132.35,4.2,2,,
EUR_USD,3,1,30.0,15.0,1.6,1.7,25.3,-36.2,11.7,-3.1,91.7,2,,
EUR_USD,4,1,30.0,15.0,1.6,1.7,29.6,-225.8,8.7,-25.89,87.9,3,-754.7,0.346
EUR_USD,4,2,30.0,15.0,1.6,1.7,30.2,-227.3,8.5,-26.59,87.8,3,-757.1,0.345
EUR_USD,5,1,30.0,15.0,1.6,1.7,29.7,-156.1,6.9,-22.51,84.9,2,,
EUR_USD,5,2,30.0,15.0,1.6,1.7,28.9,-285.0,7.0,-40.56,85.2,2,,
EUR_USD,5,3,30.0,15.0,1.6,1.7,32.1,252.1,6.3,40.06,83.0,3,-498.0,0.704
EUR_USD,6,1,30.0,15.0,1.6,1.7,29.9,-437.2,6.2,-70.0,83.7,3,-1654.3,0.381
EUR_USD,6,2,30.0,15.0,1.6,1.7,29.5,516.2,6.4,80.58,84.4,3,-1102.9,0.702
EUR_USD,6,3,30.0,15.0,1.6,1.7,30.9,-435.9,6.0,-72.42,83.1,2,,
EUR_USD,7,1,30.0,15.0,1.6,1.7,31.0,-774.0,5.3,-146.26,80.8,3,-2041.4,0.148
EUR_USD,7,2,30.0,15.0,1.6,1.7,30.7,-779.3,5.3,-145.79,80.9,3,-2040.9,0.157
EUR_USD,7,3,30.0,15.0,1.6,1.7,28.4,-173.4,5.0,-34.43,79.3,3,-1489.1,0.436
EUR_USD,7,5,30.0,15.0,1.6,1.7,30.3,-23.8,5.1,-4.66,77.5,3,-538.6,0.527
EUR_USD,8,1,30.0,15.0,1.6,1.7,28.2,-168.0,4.7,-36.11,78.8,2,,
EUR_USD,8,2,30.0,15.0,1.6,1.7,28.7,-172.6,4.7,-36.47,80.0,2,,
EUR_USD,8,3,30.0,15.0,1.6,1.7,27.0,-263.1,4.7,-55.76,79.5,2,,
