atr_s,thresh,frac,cap,ppd,is_wf,oos_wf,p5,nc,d1,d5p,delta_ppd
atr3,2.5,0.75,5.0,1566.799023495408,3,3,569.6671533991802,608,74,3,-0.46545252328655806
atr3,2.5,0.75,10.0,1566.4054742113815,3,3,594.5024171277848,608,74,3,-0.8590018073130068
atr3,2.5,0.75,20.0,1566.193101070828,3,3,575.5657294592345,608,74,3,-1.0713749478663885
atr3,3.0,0.33,5.0,1567.0601773950325,3,3,542.1550161548164,608,74,3,-0.20429862366199814
atr3,3.0,0.33,10.0,1566.9341949120628,3,3,602.4845375226213,608,74,3,-0.33028110663167354
atr3,3.0,0.33,20.0,1566.8856343670886,3,3,587.783923258775,608,74,3,-0.37884165160585326
atr3,3.0,0.5,5.0,1567.027912693239,3,3,488.90174469623906,608,74,3,-0.23656332545556324
atr3,3.0,0.5,10.0,1566.856412623727,3,3,588.8785396913827,608,74,3,-0.4080633949674848
atr3,3.0,0.5,20.0,1566.732848047055,3,3,624.8590614210553,608,74,3,-0.5316279716394092
atr3,3.0,0.75,5.0,1567.0058912835352,3,3,611.1279888781507,608,74,3,-0.2585847351592747
atr3,3.0,0.75,10.0,1566.7898479080313,3,3,626.387244265464,608,74,3,-0.47462811066316135
atr3,3.0,0.75,20.0,1566.6031664121322,3,3,622.825953566179,608,74,3,-0.6613096065623267
atr5,1.5,0.33,5.0,1566.2551880998842,3,3,552.1956117114565,608,74,3,-1.009287918810287
atr5,1.5,0.33,10.0,1565.9593671628622,3,3,574.6969818436623,608,74,3,-1.305108855832259
atr5,1.5,0.33,20.0,1565.9106050886235,3,3,556.2387846406574,608,74,3,-1.3538709300710252
atr5,1.5,0.5,5.0,1566.2140948147462,3,3,604.5533468650631,610,74,3,-1.050381203948291
atr5,1.5,0.5,10.0,1565.5724710138286,3,3,578.0176415961755,610,74,3,-1.692005004865905
atr5,1.5,0.5,20.0,1565.408444877307,3,3,579.2329484777348,610,74,3,-1.8560311413875752
atr5,1.5,0.75,5.0,1563.971274294796,3,3,436.7747210899756,606,74,3,-3.2932017238983917
atr5,1.5,0.75,10.0,1564.586705964475,3,3,604.196286723391,608,74,3,-2.677770054219536
atr5,1.5,0.75,20.0,1564.2737016547294,3,3,638.956396941669,609,74,3,-2.9907743639651017
atr5,2.0,0.33,5.0,1566.808131016609,3,3,561.3543382290171,608,74,3,-0.4563450020855271
atr5,2.0,0.33,10.0,1566.5674383431763,3,3,635.7359594941358,608,74,3,-0.6970376755182315
atr5,2.0,0.33,20.0,1566.5186762689377,3,3,571.4834512442962,608,74,3,-0.7457997497567703
atr5,2.0,0.5,5.0,1567.0246161549378,3,3,581.8104944252088,610,74,3,-0.239859863756692
atr5,2.0,0.5,10.0,1566.613015988109,3,3,567.6030970110614,610,74,3,-0.6514600305854401
atr5,2.0,0.5,20.0,1566.4741476438855,3,3,589.1720708468672,610,74,3,-0.7903283748089507
atr5,2.0,0.75,5.0,1566.9773368556191,3,3,593.400892200807,610,74,3,-0.28713916307538057
atr5,2.0,0.75,10.0,1566.4161579316653,3,3,640.4194877244284,610,74,3,-0.8483180870291562
atr5,2.0,0.75,20.0,1566.1814297236854,3,3,624.4239171418682,610,74,3,-1.083046295009126
atr5,2.5,0.33,5.0,1567.0242424582884,3,3,613.6954283330995,608,74,3,-0.24023356040606814
atr5,2.5,0.33,10.0,1566.7919806481952,3,3,588.9597659059499,608,74,3,-0.47249537049924584
atr5,2.5,0.33,20.0,1566.7432185739565,3,3,678.3858648797919,608,74,3,-0.521257444738012
atr5,2.5,0.5,5.0,1567.0242424582884,3,3,621.0458172113584,608,74,3,-0.24023356040606814
atr5,2.5,0.5,10.0,1566.6645594331249,3,3,555.3267730293766,607,74,3,-0.5999165855696447
atr5,2.5,0.5,20.0,1566.5256910889013,3,3,526.525126094849,607,74,3,-0.7387849297931552
atr5,2.5,0.75,5.0,1567.0242424582884,3,3,523.2214128180909,608,74,3,-0.24023356040606814
atr5,2.5,0.75,10.0,1566.6645594331249,3,3,581.5006812178749,607,74,3,-0.5999165855696447
atr5,2.5,0.75,20.0,1566.4621292927104,3,3,588.131167524031,607,74,3,-0.80234672598408
atr5,3.0,0.33,5.0,1567.2644760186945,3,3,607.306475517908,608,74,3,0.0
atr5,3.0,0.33,10.0,1567.2644760186945,3,3,591.2806154873158,608,74,3,0.0
atr5,3.0,0.33,20.0,1567.2644760186945,3,3,537.2428561101462,608,74,3,0.0
atr5,3.0,0.5,5.0,1567.2644760186945,3,3,593.9536762964868,608,74,3,0.0
atr5,3.0,0.5,10.0,1567.2644760186945,3,3,639.2934132631418,608,74,3,0.0
atr5,3.0,0.5,20.0,1567.2644760186945,3,3,636.9341034895582,608,74,3,0.0
atr5,3.0,0.75,5.0,1567.2644760186945,3,3,688.0675085221823,608,74,3,0.0
atr5,3.0,0.75,10.0,1567.2644760186945,3,3,687.51858551396,608,74,3,0.0
atr5,3.0,0.75,20.0,1567.2644760186945,3,3,633.4256364799944,608,74,3,0.0
