pair,N,zw,tf,tp,ppd,cpd,ppc,ml,avgl,usd,wf,oos_days
USD_JPY,1,30.0,1.0,-100118.59999999643,-174.64154161477424,2.8851493112253555,-60.53119709794222,0.12091898428053204,2.006650544135429,-6.407590399999771,2,573.2805555555555
USD_JPY,1,30.0,0.5,-2134822.3999999384,-3723.8702399929157,6.940755205178773,-536.5223422970441,0.0,1.4641869816536819,-136.62863359999605,2,573.2805555555555
USD_JPY,1,40.0,0.25,-597381.6000000827,-1042.0405754407132,9.09327893556093,-114.5945904469754,0.0,1.209859965470938,-38.23242240000529,1,573.2805555555555
USD_JPY,3,20.0,1.0,-326026.7999999954,-568.7037469534422,5.384798019197505,-105.6128279883367,0.09718172983479105,2.036281179138322,-20.865715199999705,1,573.2805555555555
AUD_JPY,2,25.0,1.0,9417.49999999769,16.414022822667594,2.4540423821950244,6.68856534090745,0.07102272727272728,2.000710227272727,0.6309724999998453,2,573.7472222222221
AUD_JPY,3,25.0,0.5,36344.599999997525,63.346014747101705,5.4623358137778455,11.596873005742669,0.0,1.48468410976388,2.4350881999998344,2,573.7472222222221
AUD_JPY,3,25.0,1.0,-287570.6000000077,-501.21480133044844,2.419183825629754,-207.18342939481823,0.21613832853025938,1.9610951008645534,-19.26723020000052,1,573.7472222222221
AUD_JPY,1,25.0,1.0,-226032.39999999755,-393.9581600491851,2.530731206638619,-155.66969696969528,0.2066115702479339,2.053030303030303,-15.144170799999836,1,573.7472222222221
AUD_JPY,1,40.0,1.0,-106000.40000000256,-184.751046967068,1.0178698517058908,-181.50753424657972,0.17123287671232876,2.0256849315068495,-7.102026800000171,2,573.7472222222221
AUD_JPY,2,20.0,1.0,-121114.00000000211,-211.09296099231062,3.5451152026879824,-59.54473942969622,0.09832841691248771,2.084562438544739,-8.114638000000141,1,573.7472222222221
AUD_JPY,1,20.0,0.5,-5349241.800000773,-9323.342393331744,8.98827881035493,-1037.2778359512843,0.01939111886755866,1.4857475276323444,-358.3992006000518,1,573.7472222222221
AUD_JPY,1,30.0,1.0,49734.799999999115,86.68416695311855,1.8509893536158493,46.83126177024399,0.0,1.933145009416196,3.332231599999941,3,573.7472222222221
AUD_JPY,1,30.0,0.5,78886.40000002676,137.49330183157332,4.491525013435069,30.611719053172976,0.0,1.4819557625145519,5.285388800001793,3,573.7472222222221
AUD_JPY,1,40.0,0.25,50283.199999965,87.6399885740788,5.742947194128271,15.260455235194234,0.0,1.229742033383915,3.368974399997655,3,573.7472222222221
AUD_JPY,3,20.0,1.0,-295739.90000000305,-515.4533016378734,3.421367326881273,-150.6571064696908,0.15282730514518594,2.0585838003056547,-19.814573300000205,1,573.7472222222221
CAD_JPY,2,25.0,1.0,-259183.99999999485,-451.81173832987633,2.1563488499061214,-209.52627324170965,0.2425222312045271,2.059013742926435,-17.883695999999645,0,573.654861111111
CAD_JPY,3,25.0,0.5,25902.699999999008,45.15380546035663,4.971630493073774,9.082293127629386,0.0,1.452664796633941,1.7872862999999315,3,573.654861111111
CAD_JPY,3,25.0,1.0,-37298.89999999878,-65.01975757296749,2.0447835092480844,-31.797868712701433,0.08525149190110827,2.0920716112531967,-2.5736240999999156,2,573.654861111111
CAD_JPY,1,25.0,1.0,-17363.20000000074,-30.267676920526725,2.2243339793696126,-13.607523510972365,0.07836990595611285,2.0250783699059562,-1.198060800000051,2,573.654861111111
CAD_JPY,1,40.0,1.0,84134.40000000146,146.663796829058,0.9082116012943324,161.48637236084733,0.0,2.103646833013436,5.805273600000101,3,573.654861111111
CAD_JPY,2,20.0,1.0,-538327.3000000175,-938.416697031613,3.2301652537397274,-290.5166216945588,0.21586616297895306,2.0572045331894224,-37.144583700001206,0,573.654861111111
CAD_JPY,1,20.0,0.5,15111.799999929686,26.343017421066858,8.100689656842155,3.2519474929911096,0.0,1.4587906176027545,1.0427141999951484,2,573.654861111111
CAD_JPY,1,30.0,1.0,-86082.3999999961,-150.05956688532763,1.6107246057504092,-93.16277056276634,0.10822510822510822,2.022727272727273,-5.93968559999973,2,573.654861111111
CAD_JPY,1,30.0,0.5,22484.00000002206,39.19429873996508,3.9413943004347134,9.94427244583019,0.0,1.4896063688633348,1.5513960000015221,2,573.654861111111
CAD_JPY,1,40.0,0.25,20945.199999988392,36.51184958045971,5.199990799733193,7.021521957756752,0.0,1.220583305397251,1.445218799999199,3,573.654861111111
CAD_JPY,3,20.0,1.0,-646428.6000000061,-1126.859796407791,3.092451786364963,-364.39041713641836,0.3382187147688839,2.0366403607666292,-44.60357340000042,0,573.654861111111
CHF_JPY,2,25.0,1.0,-199461.19999999047,-348.9087532054348,3.6332052570009736,-96.03331728454043,0.14443909484833894,2.099181511795859,-21.34234839999898,1,571.6715277777777
CHF_JPY,3,25.0,0.5,139286.10000000848,243.64708269003086,8.219755177008944,29.641647158971796,0.0,1.481591828048521,14.903612700000906,3,571.6715277777777
CHF_JPY,3,25.0,1.0,-57408.49999999582,-100.42217813987733,3.591223106703418,-27.96322454943781,0.0974184120798831,2.0077934729663904,-6.142709499999553,1,571.6715277777777
CHF_JPY,1,25.0,1.0,-666743.3000000127,-1166.304892937036,3.7853905518296136,-308.10688539741807,0.27726432532347506,2.074399260628466,-71.34153310000136,0,571.6715277777777
CHF_JPY,1,40.0,1.0,-38448.799999999304,-67.25680418169307,1.5725813798959438,-42.76840934371447,0.11123470522803114,1.9655172413793103,-4.1140215999999254,2,571.6715277777777
CHF_JPY,2,20.0,1.0,-867214.7999999658,-1516.9809197443062,5.515404995341392,-275.04433872501295,0.3488740881699968,2.058991436726927,-92.79198359999634,0,571.6715277777777
CHF_JPY,1,20.0,0.5,-108417.20000001891,-189.64946605170664,14.0517755558444,-13.496477032244357,0.0,1.463463214241255,-11.600640400002023,1,571.6715277777777
CHF_JPY,1,30.0,1.0,-364873.40000001324,-638.2570799325312,2.6886068753059686,-237.3932335719019,0.2602472348731295,2.058555627846454,-39.04145380000141,1,571.6715277777777
CHF_JPY,1,30.0,0.5,-537033.6000000513,-939.4093879183171,6.78011727305526,-138.55356037153027,0.0,1.4791021671826625,-57.46259520000549,2,571.6715277777777
CHF_JPY,1,40.0,0.25,21331.199999963894,37.31373518440442,8.970186113577753,4.1597503900085595,0.0,1.2234789391575662,2.2824383999961366,2,571.6715277777777
CHF_JPY,3,20.0,1.0,-529800.5999999727,-926.7570173722537,5.27925539991764,-175.54691848905657,0.19880715705765406,2.0361166335321403,-56.688664199997085,0,571.6715277777777
EUR_USD,2,25.0,1.0,89682.59999999772,156.4441730901281,1.4356581371768735,108.97035236937755,0.0,2.040097205346294,8.968259999999773,3,573.2562499999999
EUR_USD,3,25.0,0.5,78134.89999999592,136.3001275607478,3.396386868874086,40.130919363120654,0.0,1.4889573703133026,7.813489999999592,3,573.2562499999999
EUR_USD,3,25.0,1.0,77216.79999999722,134.69857502643404,1.4426358194960807,93.3697702539265,0.0,2.064087061668682,7.721679999999723,3,573.2562499999999
EUR_USD,1,25.0,1.0,69248.59999999765,120.79868296245817,1.4705465487729095,82.14543297745865,0.0,2.0984578884934755,6.924859999999765,3,573.2562499999999
EUR_USD,1,40.0,1.0,65958.19999999992,115.05884148668233,0.6210137264094374,185.275842696629,0.0,2.050561797752809,6.595819999999993,3,573.2562499999999
EUR_USD,2,20.0,1.0,65854.7999999997,114.87846839873042,2.2380916038856973,51.32876071706913,0.0,2.010132501948558,6.58547999999997,3,573.2562499999999
EUR_USD,1,20.0,0.5,35179.599999944614,61.36801822909845,5.754843492766107,10.663716277643108,0.0,1.4595331918763261,3.5179599999944617,3,573.2562499999999
EUR_USD,1,30.0,1.0,37446.799999998,65.3229685677182,1.1024738064347317,59.25126582278165,0.0,1.9525316455696202,3.7446799999998004,3,573.2562499999999
EUR_USD,1,30.0,0.5,36295.20000001538,63.314093828048776,2.709085160432181,23.37102382486502,0.0,1.5054732775273665,3.629520000001538,3,573.2562499999999
EUR_USD,1,40.0,0.25,46778.79999991214,81.60190141827873,3.713871414398012,21.97219351804234,0.0,1.213715359323626,4.677879999991214,3,573.2562499999999
EUR_USD,3,20.0,1.0,41472.599999999744,72.34565693788728,2.140404051416797,33.79999999999979,0.0,2.0448247758761204,4.147259999999974,3,573.2562499999999
GBP_USD,2,25.0,1.0,-22870.199999999826,-39.91081562883604,1.896925107281314,-21.03974241030343,0.09199632014719411,2.0294388224471023,-2.2870199999999827,2,573.0326388888889
GBP_USD,3,25.0,0.5,-449700.79999999795,-784.7734482837984,4.409870971573027,-177.9583696082303,0.0,1.5001978630787496,-44.9700799999998,2,573.0326388888889
GBP_USD,3,25.0,1.0,-183942.59999998932,-320.99846940072086,1.8690034865669616,-171.74845938374352,0.18674136321195145,2.0065359477124183,-18.394259999998933,2,573.0326388888889
GBP_USD,1,25.0,1.0,-59848.199999996694,-104.4411713022882,2.0138468940226644,-51.8615251299798,0.08665511265164644,1.9696707105719238,-5.98481999999967,2,573.0326388888889
GBP_USD,1,40.0,1.0,45681.79999999992,79.71936832180624,0.8010014942429836,99.52461873638327,0.0,2.0718954248366015,4.568179999999993,3,573.0326388888889
GBP_USD,2,20.0,1.0,-305901.89999999857,-533.8298017249816,2.870691629694353,-185.95860182370734,0.182370820668693,2.019452887537994,-30.590189999999858,2,573.0326388888889
GBP_USD,1,20.0,0.5,27837.399999915244,48.57908277945913,7.261366487026263,6.690074501301429,0.0,1.4806536890170632,2.7837399999915244,3,573.0326388888889
GBP_USD,1,30.0,1.0,103604.79999999542,180.8008706116379,1.3559437059407369,133.33951093950503,0.0,2.063063063063063,10.360479999999542,3,573.0326388888889
GBP_USD,1,30.0,0.5,62891.2000000263,109.75151454195075,3.624575388981867,30.279826673098846,0.0,1.4496870486278286,6.28912000000263,3,573.0326388888889
GBP_USD,1,40.0,0.25,10866.39999997331,18.962968708105834,4.720499002020198,4.017153419583479,0.0,1.2147874306839186,1.086639999997331,2,573.0326388888889
GBP_USD,3,20.0,1.0,105798.00000000064,184.62822677106686,2.755514944247649,67.00316656111504,0.0,2.0557314756174794,10.579800000000064,3,573.0326388888889
AUD_USD,2,25.0,1.0,-7969.69999999799,-13.913835432583355,0.886887636894002,-15.688385826767696,0.19685039370078738,2.001968503937008,-0.796969999999799,1,572.7895833333333
AUD_USD,3,25.0,0.5,16273.099999999426,28.410258275471012,2.095010165891343,13.560916666666188,0.0,1.5075,1.6273099999999425,3,572.7895833333333
AUD_USD,3,25.0,1.0,-83911.19999999629,-146.49568086011158,0.8589541680154507,-170.55121951218757,0.20325203252032523,2.069105691056911,-8.39111999999963,2,572.7895833333333
