pair,ta,td,zw,tgt,sp_med,gate,ppd,cday,ppc,is_wf,oos_wf,boot_p5,prob_pos
NZD_JPY,5,1,40.0,20.0,2.8,3.6,-347.6,7.1,-49.02,1,0,,
NZD_JPY,6,1,40.0,20.0,2.8,3.6,-1595.5,6.4,-250.01,3,2,,
NZD_JPY,6,2,40.0,20.0,2.8,3.6,-1601.4,6.4,-250.93,3,2,,
NZD_JPY,7,1,40.0,20.0,2.8,3.6,-217.7,5.3,-40.98,1,1,,
NZD_JPY,7,2,40.0,20.0,2.8,3.6,-220.3,5.3,-41.57,1,1,,
NZD_JPY,7,3,40.0,20.0,2.8,3.6,-226.1,5.5,-41.42,2,1,,
NZD_JPY,8,1,40.0,20.0,2.8,3.6,123.1,4.8,25.7,3,3,50.1,0.999
NZD_JPY,8,2,40.0,20.0,2.8,3.6,119.0,4.8,24.9,3,3,43.8,0.998
NZD_JPY,8,3,40.0,20.0,2.8,3.6,-9.4,5.2,-1.82,3,2,,
NZD_JPY,10,1,40.0,20.0,2.8,3.6,101.3,3.6,28.32,2,3,,
NZD_JPY,10,2,40.0,20.0,2.8,3.6,98.5,3.6,27.55,2,3,,
NZD_JPY,10,3,40.0,20.0,2.8,3.6,-24.7,3.6,-6.9,2,2,,
NZD_JPY,10,5,40.0,20.0,2.8,3.6,-49.5,3.6,-13.91,1,2,,
NZD_JPY,14,1,40.0,20.0,2.8,3.6,63.6,2.9,21.88,1,3,,
NZD_JPY,14,2,40.0,20.0,2.8,3.6,61.5,2.9,21.16,1,3,,
NZD_JPY,14,3,40.0,20.0,2.8,3.6,24.3,2.9,8.28,1,2,,
NZD_JPY,14,5,40.0,20.0,2.8,3.6,59.1,2.9,20.07,1,1,,
NZD_JPY,14,7,40.0,20.0,2.8,3.6,7.5,2.8,2.66,2,1,,
NZD_JPY,20,1,40.0,20.0,2.8,3.6,59.6,2.1,28.49,1,2,,
NZD_JPY,20,2,40.0,20.0,2.8,3.6,58.2,2.1,27.81,2,2,,
NZD_JPY,20,3,40.0,20.0,2.8,3.6,119.0,2.1,56.53,2,2,,
NZD_JPY,20,5,40.0,20.0,2.8,3.6,94.7,2.1,44.99,3,2,,
NZD_JPY,20,7,40.0,20.0,2.8,3.6,116.8,2.0,58.87,3,2,,
