pair,box_pips,reversal,direction,obs_ppd,n_cycles,perm_null_median,perm_null_p95,p_value,boot_p5,boot_p25,boot_median,boot_p75,boot_p95,sharpe,prob_pos,gate_perm,gate_p5,gate_prob,gates
CHF_JPY,10,2.5,alt,216.5,2429,89.5,493.0,0.181,61.0,138.0,210.0,288.0,401.0,2.02,1.0,0,1,1,2
CAD_JPY,5,1.0,alt,205.8,3755,45.5,105.7,0.032,-35.0,48.0,199.0,307.0,597.0,1.04,0.912,1,0,0,1
EUR_JPY,5,3.0,col,202.0,3905,127.5,493.0,0.227,137.0,172.0,199.0,230.0,278.0,4.68,1.0,0,1,1,2
EUR_JPY,5,2.5,col,179.7,4173,140.1,530.3,0.3375,75.0,138.0,179.0,224.0,289.0,2.78,0.994,0,1,1,2
NZD_JPY,10,1.0,col,177.5,2215,95.0,346.1,0.176,69.0,113.0,164.0,224.0,327.0,2.18,1.0,0,1,1,2
NZD_JPY,5,1.5,col,171.8,2771,118.8,343.1,0.205,70.0,102.0,158.0,215.0,324.0,2.13,1.0,0,1,1,2
CHF_JPY,15,1.0,col,186.7,3491,162.3,1171.3,0.404,57.0,123.0,179.0,241.0,345.0,2.15,0.995,0,1,1,2
USD_JPY,10,2.5,col,169.4,1883,66.7,376.3,0.1985,69.0,104.0,159.0,215.0,313.0,2.18,1.0,0,1,1,2
NZD_JPY,5,3.0,col,162.3,1875,61.4,327.1,0.138,58.0,96.0,148.0,211.0,309.0,1.98,1.0,0,1,1,2
NZD_JPY,5,1.5,alt,161.7,2849,115.8,344.1,0.2305,63.0,99.0,154.0,214.0,318.0,2.07,1.0,0,1,1,2
EUR_JPY,5,2.0,col,161.6,4650,154.3,550.0,0.4645,16.0,84.0,156.0,220.0,372.0,1.51,0.968,0,1,1,2
NZD_JPY,10,1.0,alt,159.2,2225,85.6,335.9,0.174,49.0,92.0,146.0,206.0,311.0,1.93,1.0,0,1,1,2
EUR_JPY,15,1.0,alt,155.4,3324,111.6,477.3,0.293,95.0,124.0,150.0,179.0,225.0,3.83,1.0,0,1,1,2
EUR_JPY,5,1.0,col,148.5,5507,185.8,581.9,0.686,121.0,136.0,148.0,160.0,179.0,8.36,1.0,0,1,1,2
USD_JPY,15,1.0,alt,147.9,2539,85.0,422.8,0.3175,58.0,80.0,142.0,195.0,294.0,1.93,1.0,0,1,1,2
EUR_JPY,5,1.0,alt,146.0,5642,179.2,585.3,0.675,114.0,132.0,145.0,159.0,180.0,7.22,1.0,0,1,1,2
USD_JPY,10,2.5,alt,144.4,1949,63.2,386.3,0.226,55.0,75.0,141.0,206.0,298.0,1.9,1.0,0,1,1,2
EUR_JPY,5,3.0,alt,138.4,3909,127.2,499.5,0.431,109.0,125.0,137.0,150.0,172.0,7.25,1.0,0,1,1,2
USD_JPY,15,1.0,col,138.2,2492,82.0,433.1,0.31,42.0,71.0,132.0,189.0,288.0,1.76,1.0,0,1,1,2
EUR_JPY,15,1.0,col,138.2,3187,108.9,479.2,0.3215,91.0,115.0,135.0,158.0,199.0,4.21,1.0,0,1,1,2
CHF_JPY,10,2.5,col,146.3,2343,87.2,504.7,0.295,56.0,78.0,140.0,193.0,297.0,1.91,1.0,0,1,1,2
NZD_JPY,5,2.0,alt,131.5,2609,92.2,337.2,0.3065,34.0,64.0,120.0,179.0,272.0,1.71,1.0,0,1,1,2
AUD_JPY,5,2.5,alt,112.5,2774,74.3,541.9,0.3255,73.0,90.0,109.0,130.0,168.0,3.77,1.0,0,1,1,2
USD_JPY,10,1.5,alt,102.7,2817,83.9,434.2,0.434,76.0,92.0,103.0,113.0,129.0,6.4,1.0,0,1,1,2
AUD_JPY,5,1.0,alt,97.8,3267,102.0,530.5,0.5325,76.0,88.0,97.0,106.0,122.0,7.03,1.0,0,1,1,2
AUD_JPY,5,1.0,col,93.2,3417,102.4,547.0,0.585,72.0,83.0,92.0,102.0,118.0,6.59,1.0,0,1,1,2
GBP_USD,10,1.0,alt,91.6,2043,58.1,269.3,0.185,62.0,77.0,90.0,104.0,126.0,4.79,1.0,0,1,1,2
NZD_JPY,5,1.0,col,83.0,3004,131.8,349.3,0.7085,64.0,74.0,82.0,91.0,105.0,6.58,1.0,0,1,1,2
GBP_USD,5,2.5,alt,81.8,2022,54.6,217.5,0.216,59.0,71.0,80.0,91.0,111.0,5.24,1.0,0,1,1,2
GBP_USD,5,3.0,alt,77.3,1805,48.4,216.6,0.187,49.0,64.0,76.0,90.0,114.0,3.98,1.0,0,1,1,2
NZD_JPY,5,2.0,col,75.3,2533,105.8,342.5,0.5835,47.0,59.0,73.0,89.0,117.0,3.52,1.0,0,1,1,2
USD_JPY,10,1.5,col,74.4,2735,80.3,442.4,0.525,42.0,62.0,76.0,87.0,105.0,3.88,1.0,0,1,1,2
NZD_JPY,5,2.5,col,74.1,2235,76.8,328.9,0.5115,47.0,57.0,71.0,86.0,113.0,3.58,1.0,0,1,1,2
GBP_USD,5,2.0,alt,72.9,2099,61.7,234.2,0.3525,53.0,62.0,72.0,82.0,102.0,4.89,1.0,0,1,1,2
GBP_USD,10,1.5,alt,61.7,1651,44.9,118.1,0.2405,36.0,50.0,60.0,72.0,92.0,3.67,1.0,0,1,1,2
AUD_JPY,15,1.0,alt,60.2,1964,58.1,513.3,0.4745,44.0,52.0,60.0,68.0,81.0,5.23,1.0,0,1,1,2
CHF_JPY,15,2.0,alt,68.1,1830,62.6,402.9,0.454,41.0,51.0,66.0,82.0,108.0,3.22,1.0,0,1,1,2
AUD_JPY,15,1.0,col,57.8,1960,56.2,514.0,0.4875,39.0,49.0,57.0,66.0,80.0,4.5,1.0,0,1,1,2
USD_JPY,15,1.5,alt,57.2,1918,64.4,382.1,0.548,-209.0,-32.0,71.0,157.0,273.0,0.37,0.655,0,0,0,0
USD_JPY,5,1.0,col,54.3,3822,67.5,565.6,0.5135,-16.0,29.0,58.0,83.0,113.0,1.34,0.901,0,0,0,0
USD_JPY,15,1.5,col,53.2,1871,61.8,380.8,0.5625,-181.0,-28.0,75.0,158.0,271.0,0.43,0.676,0,0,0,0
AUD_JPY,10,2.0,col,53.0,1710,45.8,440.0,0.443,36.0,45.0,52.0,60.0,71.0,4.79,1.0,0,1,1,2
AUD_JPY,10,2.0,alt,52.6,1776,45.1,452.6,0.4415,40.0,46.0,52.0,58.0,68.0,6.13,1.0,0,1,1,2
CAD_JPY,10,1.0,alt,51.8,2739,32.6,68.9,0.1875,39.0,46.0,51.0,58.0,67.0,6.0,1.0,0,1,1,2
