pair,tp,sl,n_rev,atr_mult,accel,is_pd,is_wr,is_n,wave_pct,tp_pct,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_JPY,20,0,3,1.0,False,-70.63,0.069,7263,0.998,0.002,-60.67,-71.71,-79.51,False,-67.23,0.048,2744,
EUR_JPY,20,0,3,1.0,True,-51.76,0.065,5284,0.999,0.001,-44.92,-53.05,-57.3,False,-50.32,0.042,2050,
EUR_JPY,20,0,3,2.0,False,-14.34,0.069,1434,0.997,0.003,-11.09,-14.53,-17.4,False,-13.05,0.067,539,
EUR_JPY,20,0,3,2.0,True,-12.83,0.065,1287,0.998,0.002,-9.76,-12.86,-15.87,False,-11.77,0.068,486,
EUR_JPY,20,5,1,0.0,False,-298.54,0.028,31531,0.996,0.0,-277.16,-306.8,-311.67,False,-302.0,0.016,12522,
EUR_JPY,20,5,1,0.0,True,-103.66,0.027,10897,0.996,0.0,-96.38,-106.88,-107.72,False,-106.41,0.015,4393,
EUR_JPY,20,5,1,0.5,False,-152.11,0.029,15971,0.995,0.0,-136.11,-158.82,-161.4,False,-149.22,0.018,6182,
EUR_JPY,20,5,1,0.5,True,-82.68,0.028,8687,0.996,0.0,-74.78,-85.9,-87.35,False,-83.85,0.016,3460,
EUR_JPY,20,5,1,1.0,False,-69.65,0.032,7307,0.994,0.001,-57.28,-71.77,-79.9,False,-66.03,0.023,2762,
EUR_JPY,20,5,1,1.0,True,-50.71,0.031,5302,0.995,0.0,-42.05,-52.73,-57.34,False,-49.14,0.021,2058,
EUR_JPY,20,5,1,2.0,False,-13.7,0.035,1438,0.985,0.002,-9.37,-14.38,-17.34,False,-12.53,0.037,539,
EUR_JPY,20,5,1,2.0,True,-12.36,0.033,1291,0.99,0.001,-8.3,-12.82,-15.95,False,-11.49,0.035,486,
EUR_JPY,20,5,2,0.0,False,-298.54,0.043,31340,0.993,0.0,-278.14,-306.16,-311.33,False,-303.23,0.026,12459,
EUR_JPY,20,5,2,0.0,True,-104.01,0.045,10881,0.992,0.0,-96.68,-107.08,-108.28,False,-107.4,0.024,4388,
EUR_JPY,20,5,2,0.5,False,-152.62,0.048,15911,0.991,0.001,-137.15,-158.59,-162.11,False,-151.14,0.029,6168,
EUR_JPY,20,5,2,0.5,True,-83.1,0.047,8674,0.992,0.001,-75.61,-85.9,-87.79,False,-84.67,0.026,3456,
EUR_JPY,20,5,2,1.0,False,-70.28,0.05,7295,0.989,0.001,-58.59,-71.63,-80.61,False,-66.85,0.033,2756,
EUR_JPY,20,5,2,1.0,True,-51.21,0.047,5297,0.991,0.001,-43.04,-52.71,-57.88,False,-49.55,0.03,2054,
EUR_JPY,20,5,2,2.0,False,-13.8,0.052,1437,0.979,0.003,-9.71,-14.19,-17.51,False,-12.58,0.046,539,
EUR_JPY,20,5,2,2.0,True,-12.47,0.049,1290,0.985,0.002,-8.78,-12.57,-16.05,False,-11.44,0.045,486,
EUR_JPY,20,5,3,0.0,False,-293.33,0.059,30717,0.988,0.001,-274.47,-301.65,-303.86,False,-297.17,0.04,12215,
EUR_JPY,20,5,3,0.0,True,-103.79,0.06,10817,0.987,0.001,-97.26,-107.22,-106.9,False,-106.97,0.039,4361,
