be,ts,tg,ppd,wr,avg_mfe,avg_mae,cap,wf,pct_tp,pct_be,pct_trail,pct_timeout
7.0,5.0,7.0,-24.95269679428109,48.558866336429396,9.305770104707557,-6.974035349371022,-28.08383918137923,2,11.046478923543788,5.201291648199307,41.24503128339896,42.507198144857945
7.0,10.0,5.0,-25.72340723298204,49.578290890454326,9.096287058563616,-6.977449503865095,-28.072488338815315,2,7.793660553506399,17.750042825754445,32.53795720821955,41.9183394125196
7.0,10.0,3.0,-26.011555942447416,49.668080840511195,8.567645705307443,-6.975938618422097,-28.04347956893927,2,4.121862726506055,17.712727089371334,37.41191815263381,40.7534920314888
5.0,0.0,0.0,-26.20186216323136,28.512720383216646,9.153945747596547,-5.85514864615449,-28.09670167261168,1,15.757335036565738,46.7020261123182,0.0,37.540638851116064
7.0,8.0,3.0,-26.215847832691605,59.15337088146805,8.006080504012408,-6.96881607961364,-28.00860628286166,2,3.526716622280794,7.694315277680017,50.108260037358185,38.67070806268101
7.0,8.0,5.0,-26.91563654889468,57.51604194561013,8.760716898947582,-6.970550246530804,-28.056348284401384,2,6.909879985050454,7.836359138903658,45.082071267957545,40.17168960808834
5.0,12.0,7.0,-31.476726233088108,35.28879335158547,8.87105493126414,-5.845108728555786,-28.093094238655063,1,10.95426714051893,39.65908040944209,15.845326883753913,33.54132556628507
5.0,10.0,7.0,-32.78774792008668,39.24318859178726,8.737565966720604,-5.8401853535252455,-28.08915449802848,1,10.138366914466287,34.84788755480721,22.503909214070198,32.509836316656305
5.0,12.0,5.0,-33.67000711455967,35.34446733005223,8.660952895840097,-5.844670358439455,-28.08672191082885,1,7.9182424749236855,39.64019361607982,19.791487555477442,32.650076353519054
5.0,8.0,7.0,-33.717834040193814,39.685431009483544,8.62162212650935,-5.834925714458204,-28.085331991939704,1,9.686951839401555,27.28569048046885,31.21014169294963,31.817215987179964
0.0,5.0,3.0,-34.07863719707264,60.11098349879463,6.731662966819413,-5.818999310592194,-27.960689408914252,1,2.7942683918941773,0.0,69.97975636232188,27.225975245783943
5.0,5.0,7.0,-34.16685536301174,39.35101816799403,8.597222265981522,-5.834166045351815,-28.085683307614033,1,9.616000361422865,24.50725171487166,34.15953134398609,31.717216579719388
5.0,12.0,3.0,-34.233279701537185,35.394224721639844,8.358384635129042,-5.844572486721059,-28.071864017825867,1,4.555851487172783,39.623049950269646,23.810933572242384,32.01016499031519
7.0,5.0,3.0,-34.37075594488904,60.014782425722984,6.731662966819413,-5.818999310592194,-27.961800857302194,1,2.7942683918941773,0.17725058824513876,69.80250577407675,27.225975245783943
5.0,10.0,5.0,-35.19672382274649,39.99423515486887,8.413874497415495,-5.836975297439967,-28.07684209515341,1,6.769190891895795,34.74968709056332,27.250346277534483,31.230775740006408
5.0,5.0,3.0,-35.27641322080686,59.74852702681427,6.731662966819413,-5.818999310592194,-27.966806682680755,1,2.7942683918941773,1.2628906533508222,68.71686570897106,27.225975245783943
5.0,10.0,3.0,-35.42430721073708,40.060682689046416,7.969231196572404,-5.835484497081847,-28.052376564450974,1,3.635410213895361,34.720933373846044,31.247431323570495,30.396225088688105
5.0,8.0,3.0,-35.655012912349896,47.87971620668162,7.5032471859480285,-5.82912036531422,-28.02337850850558,1,3.128712495352099,26.523911553170368,41.41693709260458,28.930438858872957
0.0,5.0,5.0,-35.76621376893473,46.03173100097101,7.866994086499056,-5.824810249604873,-28.043392790908207,1,5.589469059122061,0.0,65.36023533695473,29.050295603923217
5.0,8.0,5.0,-36.11381137855727,46.661605903561686,8.135126707985204,-5.830727485998002,-28.062936316684702,1,6.0057447394776435,26.62697509843394,37.37068903019605,29.99659113189237
7.0,5.0,5.0,-36.17190285408975,45.84189752470612,7.866994086499056,-5.824810249604873,-28.044866575508166,1,5.589469059122061,0.38601599494443517,64.97421934201029,29.050295603923217
