pair,thr,sd,tp,n_events,fill_rate,long_tp_pct,short_tp_pct,dual_tp_pct,total_pnl,ppd,ev_per_day
GBP_JPY,3.0,5,5,13106,98.76392491988403,71.51600280926341,71.16621705747342,20.189226308560965,-100788.28,-264.22803,34.35888021861352
GBP_JPY,3.0,5,8,13106,98.76392491988403,57.850907996382276,57.916580203355686,11.445139630703496,-110304.484,-289.17584,34.35888021861352
GBP_JPY,3.0,5,10,13106,98.76392491988403,49.804354369414085,50.51877982983497,8.11078895162521,-115925.1,-303.91092,34.35888021861352
GBP_JPY,3.0,5,15,13106,98.76392491988403,32.73803551720349,35.982568997713635,3.2122691896841147,-129327.305,-339.04633,34.35888021861352
GBP_JPY,3.0,5,20,13106,98.76392491988403,22.133039028792805,25.264577713215886,1.403937128032962,-138890.28,-364.11676,34.35888021861352
GBP_JPY,3.0,7,5,13106,95.4219441477186,70.23877527703985,70.40949554895306,13.520524950404395,-89762.984,-235.32394,34.35888021861352
GBP_JPY,3.0,7,8,13106,95.4219441477186,56.711984462463526,57.79228486646198,8.11078895162521,-96520.41,-253.03929,34.35888021861352
GBP_JPY,3.0,7,10,13106,95.4219441477186,48.18919227692812,50.04154302670029,5.623378605218984,-102381.24,-268.40414,34.35888021861352
GBP_JPY,3.0,7,15,13106,95.4219441477186,32.057580258193525,35.857566765574376,2.327178391576377,-113657.5,-297.96616,34.35888021861352
GBP_JPY,3.0,7,20,13106,95.4219441477186,21.341254427051144,24.84272997032346,1.0300625667633145,-123653.39,-324.1715,34.35888021861352
GBP_JPY,3.0,10,5,13106,86.53288570120556,69.64085297417654,70.98702434756218,8.11078895162521,-71523.07,-187.50592,34.35888021861352
GBP_JPY,3.0,10,8,13106,86.53288570120556,54.615600448926116,57.96763376584663,4.738287807111247,-79154.42,-207.51237,34.35888021861352
GBP_JPY,3.0,10,10,13106,86.53288570120556,45.77721661054352,50.561306312866215,3.2122691896841147,-84925.28,-222.64134,34.35888021861352
GBP_JPY,3.0,10,15,13106,86.53288570120556,30.948372615034934,35.50080186615607,1.403937128032962,-94488.266,-247.7118,34.35888021861352
GBP_JPY,3.0,10,20,13106,86.53288570120556,20.959595959593017,24.682898381684694,0.6867083778422097,-102890.75,-269.73987,34.35888021861352
USD_JPY,2.0,2,5,18272,99.93432574430823,66.02736222988965,66.34889753566365,22.701401050788093,-67446.516,-184.95396,50.10605676133872
USD_JPY,2.0,2,8,18272,99.93432574430823,49.87213911264225,50.33073929960763,10.310858143607705,-76878.56,-210.81882,50.10605676133872
USD_JPY,2.0,2,10,18272,99.93432574430823,40.646976090011464,41.51102464331767,5.976357267950963,-82101.36,-225.14095,50.10605676133872
USD_JPY,2.0,2,15,18272,99.93432574430823,24.523718194602704,26.154345006483386,1.9538091068301227,-89926.45,-246.59915,50.10605676133872
USD_JPY,2.0,2,20,18272,99.93432574430823,14.914972509908264,16.595330739298532,0.662215411558669,-94002.29,-257.77603,50.10605676133872
USD_JPY,2.0,3,5,18272,99.63331873905429,65.17461197338794,65.79909960607303,17.63901050788091,-61824.957,-169.53835,50.10605676133872
USD_JPY,2.0,3,8,18272,99.63331873905429,49.168514412413444,49.901519414740434,7.990367775831873,-70020.75,-192.0131,50.10605676133872
USD_JPY,2.0,3,10,18272,99.63331873905429,39.95288248336752,41.200056274617246,4.744964973730298,-74593.7,-204.5532,50.10605676133872
USD_JPY,2.0,3,15,18272,99.63331873905429,23.925997782703444,25.893359594820915,1.5871278458844131,-82588.92,-226.47795,50.10605676133872
USD_JPY,2.0,3,20,18272,99.63331873905429,14.447062084256205,16.453292065277402,0.5089754816112084,-86684.195,-237.70813,50.10605676133872
USD_JPY,2.0,5,5,18272,96.72723292469352,63.18645715210892,63.78205128204604,10.310858143607705,-58356.742,-160.0277,50.10605676133872
USD_JPY,2.0,5,8,18272,96.72723292469352,46.703385711967705,48.134451019062446,4.744964973730298,-64570.363,-177.0669,50.10605676133872
USD_JPY,2.0,5,10,18272,96.72723292469352,38.15000809978631,40.04766600920118,2.917031523642732,-68710.57,-188.42029,50.10605676133872
USD_JPY,2.0,5,15,18272,96.72723292469352,22.711809492951343,24.975345167650804,1.034369527145359,-74974.5,-205.59744,50.10605676133872
USD_JPY,2.0,5,20,18272,96.72723292469352,13.931637777416658,16.35437212360155,0.3776269702276707,-77328.86,-212.05363,50.10605676133872
USD_JPY,2.0,7,5,18272,89.81501751313485,61.56080557706607,62.56475417847106,5.976357267950963,-51127.36,-140.20306,50.10605676133872
USD_JPY,2.0,7,8,18272,89.81501751313485,45.604182804023466,47.62975271234018,2.917031523642732,-56258.383,-154.27351,50.10605676133872
USD_JPY,2.0,7,10,18272,89.81501751313485,37.141750580941405,39.419411592215866,1.9538091068301227,-58952.45,-161.66127,50.10605676133872
USD_JPY,2.0,7,15,18272,89.81501751313485,22.589078233925,25.01221776952155,0.662215411558669,-63028.29,-172.83817,50.10605676133872
