pair,direction,signal_idx,entry_idx,exit_idx,entry_ts,exit_ts,entry_fill,exit_fill,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,exit_reason,arm
GBP_USD,-1,1298,1299,1305,2006-05-14 00:00:00+00:00,2006-05-21 00:00:00+00:00,1.8951500000000001,1.870160999261786,0.01256950036910702,249.89000738214082,2.9999999999996696,1.2132695353424674,251.1032769174833,tp,axis1_alone
USD_JPY,-1,1328,1329,1338,2006-06-12 00:00:00+00:00,2006-06-22 00:00:00+00:00,114.38400000000001,116.6,0.9680389285696348,-221.59999999999798,5.999999999999517,-26.252492353424664,-247.85249235342263,timecap,axis1_alone
AUD_USD,1,1323,1324,1333,2006-06-19 00:00:00+00:00,2006-06-29 00:00:00+00:00,0.7366,0.7424,0.006014199117534829,57.99999999999916,5.999999999999894,1.7559432739726026,59.755943273971766,timecap,axis1_alone
EUR_USD,-1,1394,1395,1402,2006-08-07 00:00:00+00:00,2006-08-14 00:00:00+00:00,1.283985,1.2699279704663744,0.007066014766812812,140.5702953362553,1.4999999999998348,7.284482493150685,147.85477782940598,tp,axis1_alone
USD_CHF,1,1376,1377,1380,2006-08-07 00:00:00+00:00,2006-08-10 00:00:00+00:00,1.2256999999999998,1.2426540648973035,0.008727032448651905,169.54064897303667,6.500000000000394,4.112672216562886,173.65332118959955,tp,axis1_alone
AUD_USD,-1,1391,1392,1394,2006-09-04 00:00:00+00:00,2006-09-06 00:00:00+00:00,0.7704,0.7616665838403858,0.004416708079807118,87.33416159614204,1.9999999999997797,-0.28407768493150676,87.05008391121054,tp,axis1_alone
AUD_USD,1,1409,1410,1419,2006-09-24 00:00:00+00:00,2006-10-03 00:00:00+00:00,0.75,0.7458,0.00480533627990186,-41.999999999999815,1.9999999999997797,1.067674520547945,-40.93232547945187,timecap,axis1_alone
NZD_USD,-1,1368,1369,1377,2006-12-25 00:00:00+00:00,2007-01-04 00:00:00+00:00,0.69775,0.6890480066852573,0.004600996657371275,87.0199331474264,7.499999999999729,-4.911604849315069,82.10832829811133,tp,axis1_alone
USD_CHF,-1,1539,1540,1542,2007-01-29 00:00:00+00:00,2007-01-31 00:00:00+00:00,1.2531999999999999,1.2403168251509413,0.006516587424529236,128.83174849058543,3.00000000000078,-1.410074630443835,127.4216738601416,tp,axis1_alone
USD_CAD,-1,1529,1530,1537,2007-02-05 00:00:00+00:00,2007-02-12 00:00:00+00:00,1.1824000000000001,1.1705886545876925,0.006005672706153835,118.11345412307661,3.9999999999995595,-2.7558593586301363,115.35759476444647,tp,axis1_alone
USD_JPY,-1,1549,1550,1551,2007-02-12 00:00:00+00:00,2007-02-13 00:00:00+00:00,121.92500000000001,120.80010622353429,0.5669468882328624,112.48937764657256,1.8999999999998352,-2.1854141136986303,110.30396353287394,tp,axis1_alone
EUR_USD,-1,1575,1576,1585,2007-02-18 00:00:00+00:00,2007-02-28 00:00:00+00:00,1.3155099999999997,1.31875,0.006025886038691775,-32.40000000000354,1.2000000000012,7.76739695890411,-24.63260304109943,timecap,axis1_alone
USD_CHF,1,1564,1565,1574,2007-02-26 00:00:00+00:00,2007-03-07 00:00:00+00:00,1.2303000000000002,1.2273,0.006352151130604762,-30.000000000001137,2.9999999999996696,6.319539444722542,-23.680460555278593,timecap,axis1_alone
EUR_USD,-1,1596,1597,1606,2007-03-14 00:00:00+00:00,2007-03-24 00:00:00+00:00,1.32214,1.3289499999999999,0.006323951483154704,-68.0999999999976,5.600000000000049,9.457597589041097,-58.64240241095651,timecap,axis1_alone
USD_CHF,1,1584,1585,1594,2007-03-19 00:00:00+00:00,2007-03-29 00:00:00+00:00,1.2123,1.21502,0.0074876147073395976,27.200000000000557,6.500000000000394,8.217043653967629,35.417043653968186,timecap,axis1_alone
EUR_USD,1,1677,1678,1687,2007-06-11 00:00:00+00:00,2007-06-21 00:00:00+00:00,1.33585,1.3464,0.005297107937630911,105.50000000000058,5.599999999998939,-8.654830684931508,96.84516931506907,timecap,axis1_alone
NZD_USD,-1,1526,1527,1536,2007-06-25 00:00:00+00:00,2007-07-04 00:00:00+00:00,0.76532,0.782,0.0058506996873391014,-166.80000000000027,5.0000000000005596,-5.8304796986301355,-172.6304796986304,timecap,axis1_alone
EUR_USD,-1,1695,1696,1703,2007-07-01 00:00:00+00:00,2007-07-09 00:00:00+00:00,1.35409,1.3728136767757335,0.004665919193933401,-187.236767757335,1.1999999999989797,4.935762136986302,-182.3010056203487,sl,axis1_alone
AUD_USD,-1,1733,1734,1743,2007-09-24 00:00:00+00:00,2007-10-04 00:00:00+00:00,0.86787,0.8980300000000001,0.009429204751094674,-301.60000000000076,6.499999999999839,-3.9179841780821922,-305.51798417808294,timecap,axis1_alone
USD_CAD,1,1742,1743,1752,2007-10-08 00:00:00+00:00,2007-10-17 00:00:00+00:00,0.9870700000000001,0.97346,0.00790412327525663,-136.10000000000122,4.000000000000115,0.8266748899128191,-135.2733251100884,timecap,axis1_alone
USD_JPY,1,1778,1779,1788,2007-10-21 00:00:00+00:00,2007-10-31 00:00:00+00:00,114.13,114.654,0.7453154033808749,52.40000000000009,2.0000000000003126,17.013646419178084,69.41364641917818,timecap,axis1_alone
USD_CAD,-1,1784,1785,1794,2007-11-24 00:00:00+00:00,2007-12-04 00:00:00+00:00,0.98692,1.01195,0.012264721943714406,-250.29999999999885,7.999999999999674,-0.21700406161981245,-250.51700406161865,timecap,axis1_alone
USD_CAD,1,1816,1817,1826,2007-12-31 00:00:00+00:00,2008-01-10 00:00:00+00:00,0.9991000000000001,1.0183999999999997,0.00992632359182089,192.9999999999965,10.000000000000565,-0.6823284085337956,192.3176715914627,timecap,axis1_alone
NZD_USD,-1,1742,1743,1752,2008-02-21 00:00:00+00:00,2008-03-03 00:00:00+00:00,0.79986,0.8014000000000001,0.007512889889307553,-15.400000000000968,7.500000000000284,-7.383815753424656,-22.783815753425625,timecap,axis1_alone
AUD_USD,1,1893,1894,1903,2008-03-24 00:00:00+00:00,2008-04-03 00:00:00+00:00,0.90595,0.9223300000000001,0.012090749390761043,163.8000000000006,6.500000000000394,11.362848208196375,175.16284820819698,timecap,axis1_alone
USD_CHF,-1,1951,1952,1961,2008-05-05 00:00:00+00:00,2008-05-14 00:00:00+00:00,1.0534500000000002,1.05727,0.01179590783932547,-38.199999999997125,2.9999999999996696,0.1821537568832879,-38.01784624311384,timecap,axis1_alone
USD_JPY,-1,1953,1954,1957,2008-05-05 00:00:00+00:00,2008-05-08 00:00:00+00:00,104.845,102.86163833343247,1.0166808332837705,198.33616665675322,6.000000000000227,-3.225072828767123,195.1110938279861,tp,axis1_alone
NZD_USD,-1,1867,1868,1877,2008-07-12 00:00:00+00:00,2008-07-21 00:00:00+00:00,0.76088,0.75973,0.006363301111333705,11.499999999999844,7.500000000000284,-6.971259698630137,4.528740301369707,timecap,axis1_alone
AUD_USD,-1,1993,1994,2003,2008-07-13 00:00:00+00:00,2008-07-22 00:00:00+00:00,0.9705,0.96229,0.006990990625725375,82.1000000000005,3.9999999999995595,-7.999958211541195,74.10004178845931,timecap,axis1_alone
AUD_USD,1,2037,2038,2041,2008-09-01 00:00:00+00:00,2008-09-04 00:00:00+00:00,0.8504700000000001,0.810900006952374,0.009767498261906519,-395.69993047626093,6.099999999999994,4.801415514321292,-390.89851496193967,sl,axis1_alone
EUR_USD,1,2073,2074,2079,2008-09-01 00:00:00+00:00,2008-09-07 00:00:00+00:00,1.461885,1.4125407927911429,0.01231105180221432,-493.44207208857233,1.7500000000003624,2.7783260821917812,-490.66374600638056,sl,axis1_alone
NZD_USD,1,1956,1957,1966,2008-10-22 00:00:00+00:00,2008-11-02 00:00:00+00:00,0.5923,0.59128,0.020493501221151723,-10.200000000000209,7.499999999999729,9.52160621917808,-0.6783937808221285,timecap,axis1_alone
GBP_USD,1,2108,2109,2110,2008-10-27 00:00:00+00:00,2008-10-28 00:00:00+00:00,1.55565,1.619944927981559,0.03239746399077948,642.94927981559,10.999999999999899,1.281772695890411,644.2310525114804,tp,axis1_alone
GBP_USD,1,2126,2127,2134,2008-11-16 00:00:00+00:00,2008-11-24 00:00:00+00:00,1.4649,1.5336419330390199,0.03457096651950986,687.4193303901976,8.00000000000023,6.072845564931507,693.4921759551291,tp,axis1_alone
USD_CHF,1,2152,2153,2154,2008-12-14 00:00:00+00:00,2008-12-15 00:00:00+00:00,1.17719,1.12412172786175,0.013167068034562544,-530.6827213825005,7.000000000000339,0.0,-530.6827213825005,sl,axis1_alone
AUD_USD,-1,2145,2146,2155,2008-12-31 00:00:00+00:00,2009-01-11 00:00:00+00:00,0.7019,0.68195,0.013889277254020177,199.50000000000023,9.500000000000064,-9.518659343858818,189.9813406561414,timecap,axis1_alone
USD_CHF,-1,2196,2197,2206,2009-02-02 00:00:00+00:00,2009-02-12 00:00:00+00:00,1.1612149999999999,1.16106,0.016110442526645605,1.5499999999990521,6.249999999999867,-0.32221620188493266,1.2277837981141195,timecap,axis1_alone
USD_CAD,1,2216,2217,2223,2009-03-23 00:00:00+00:00,2009-03-29 00:00:00+00:00,1.22213,1.2547773277981324,0.016523663899066256,326.47327798132505,7.499999999999174,-0.9612802194271494,325.51199776189793,tp,axis1_alone
NZD_USD,-1,2101,2102,2111,2009-04-06 00:00:00+00:00,2009-04-16 00:00:00+00:00,0.58805,0.5683400000000001,0.011828169318396767,197.09999999999894,7.500000000000284,-6.038320438356164,191.0616795616428,timecap,axis1_alone
USD_CHF,-1,2263,2264,2268,2009-04-19 00:00:00+00:00,2009-04-23 00:00:00+00:00,1.16522,1.140181166775889,0.012769416612055459,250.38833224110934,7.500000000000284,-0.06373173393773353,250.3246005071716,tp,axis1_alone
NZD_USD,-1,2143,2144,2153,2009-05-25 00:00:00+00:00,2009-06-03 00:00:00+00:00,0.6203799999999999,0.6346,0.011062796971659888,-142.2000000000012,5.5000000000005045,-4.903791287671233,-147.10379128767244,timecap,axis1_alone
GBP_USD,-1,2315,2316,2325,2009-06-11 00:00:00+00:00,2009-06-22 00:00:00+00:00,1.65862,1.64575,0.022633110155783558,128.69999999999936,7.500000000000284,-0.6395830991780822,128.06041690082128,timecap,axis1_alone
USD_CAD,-1,2306,2307,2316,2009-06-30 00:00:00+00:00,2009-07-11 00:00:00+00:00,1.1620300000000001,1.1632799999999999,0.0121516333111036,-12.499999999997513,13.999999999999568,0.3616276590286441,-12.13837234096887,timecap,axis1_alone
USD_CAD,1,2329,2330,2339,2009-07-27 00:00:00+00:00,2009-08-06 00:00:00+00:00,1.0814599999999999,1.0808299999999997,0.01180557544208344,-6.300000000001305,9.000000000000119,-0.2795237552677469,-6.579523755269052,timecap,axis1_alone
USD_JPY,1,2405,2406,2413,2009-09-13 00:00:00+00:00,2009-09-20 00:00:00+00:00,90.3055,91.8696897787691,0.7870948893845476,156.4189778769105,1.749999999999119,0.19798795342465764,156.61696583033515,tp,axis1_alone
GBP_USD,1,2426,2427,2429,2009-10-12 00:00:00+00:00,2009-10-14 00:00:00+00:00,1.57994,1.604148071740259,0.01219153587012961,242.08071740259072,3.750000000000142,0.24023830794520554,242.32095571053594,tp,axis1_alone
