is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p,n_filtered,pair,strategy,filter,nc,dm
0.1,1.0,11,0.3,0.56,0.21,3,1.46,1.0,53,,5,EUR_JPY,PriceMom,nc3_dm2.5,3,2.5
1.29,1.0,117,0.43,0.56,4.35,3,2.74,1.0,111,0.0,137,GBP_USD,PriceMom,nc3_dm2.5,3,2.5
0.13,1.0,12,0.4,0.24,0.99,3,2.32,0.988,85,,11,AUD_JPY,PriceMom,nc3_dm2.5,3,2.5
0.55,1.0,46,1.64,0.03,0.71,3,0.9,1.0,34,0.0,47,EUR_USD,PriceMom,nc3_dm2.5,3,2.5
1.02,0.99,104,2.93,0.6,0.54,3,0.27,1.0,13,0.0,62,EUR_GBP,PriceMom,nc3_dm2.5,3,2.5
1.54,1.0,151,1.12,3.73,1.49,3,0.69,1.0,26,0.0,122,AUD_USD,PriceMom,nc3_dm2.5,3,2.5
0.06,1.0,8,0.18,0.02,0.41,3,1.85,0.988,82,,2,NZD_JPY,PriceMom,nc3_dm2.5,3,2.5
0.07,1.0,9,0.21,0.29,0.03,3,1.37,1.0,52,,4,CHF_JPY,PriceMom,nc3_dm2.5,3,2.5
2.33,0.996,250,1.89,0.34,0.57,3,1.21,1.0,49,0.0,186,NZD_USD,PriceMom,nc3_dm2.5,3,2.5
0.13,1.0,13,0.39,0.05,0.93,3,1.41,0.97,67,,6,CAD_JPY,PriceMom,nc3_dm2.5,3,2.5
0.24,1.0,25,0.72,1.28,0.37,3,2.9,0.982,110,0.0,19,GBP_JPY,PriceMom,nc3_dm3.0,3,3.0
0.23,1.0,23,0.69,0.21,2.29,3,1.08,1.0,37,0.0,9,USD_JPY,PriceMom,nc3_dm3.0,3,3.0
0.1,1.0,11,0.3,0.61,0.1,3,1.51,1.0,55,,5,EUR_JPY,PriceMom,nc3_dm3.0,3,3.0
1.13,1.0,106,0.43,0.53,3.92,3,2.85,1.0,115,0.0,109,GBP_USD,PriceMom,nc3_dm3.0,3,3.0
0.13,1.0,12,0.4,0.24,0.99,3,2.34,0.988,86,,11,AUD_JPY,PriceMom,nc3_dm3.0,3,3.0
0.55,1.0,46,1.64,0.03,0.73,3,0.9,1.0,34,0.0,47,EUR_USD,PriceMom,nc3_dm3.0,3,3.0
0.78,0.976,85,0.14,0.69,0.6,3,0.3,1.0,14,0.0,42,EUR_GBP,PriceMom,nc3_dm3.0,3,3.0
1.4,1.0,139,1.12,3.34,1.53,3,0.69,1.0,26,0.0,104,AUD_USD,PriceMom,nc3_dm3.0,3,3.0
0.06,1.0,8,0.19,0.02,0.41,3,1.86,0.988,82,,0,NZD_JPY,PriceMom,nc3_dm3.0,3,3.0
0.12,0.929,14,0.35,0.29,0.03,3,1.34,1.0,52,,3,CHF_JPY,PriceMom,nc3_dm3.0,3,3.0
0.64,1.0,67,1.72,0.08,0.57,3,1.21,1.0,50,0.0,33,NZD_USD,PriceMom,nc3_dm3.0,3,3.0
0.13,1.0,13,0.39,0.05,0.92,3,1.36,0.969,65,,6,CAD_JPY,PriceMom,nc3_dm3.0,3,3.0
