rebal_idx,entry_ts,exit_ts,pair,direction,side,gross_pips,spread_rt_pips,carry_pips,net_pips
3840,2023-05-01 09:00:00+00:00,2023-05-16 01:00:00+00:00,CAD_JPY,1,long,5.400000000000205,2.1000000000000796,14.628869311937379,17.928869311937504
3840,2023-05-01 09:00:00+00:00,2023-05-16 01:00:00+00:00,EUR_JPY,-1,short,294.39999999999884,2.049999999999841,-30.69907093150685,261.65092906849213
3840,2023-05-01 09:00:00+00:00,2023-05-16 01:00:00+00:00,NZD_JPY,-1,short,-22.89999999999992,1.850000000000307,-24.45139171232876,-49.201391712328984
3840,2023-05-01 09:00:00+00:00,2023-05-16 01:00:00+00:00,AUD_JPY,-1,short,9.199999999999875,1.7499999999998295,-22.23330760273973,-14.783307602739683
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,AUD_USD,1,long,-176.20000000000078,1.2499999999998623,-6.406047123287671,-183.8560471232883
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,AUD_JPY,1,long,9.199999999999875,1.8000000000000682,11.279457095890407,18.679457095890214
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,NZD_USD,1,long,-207.8000000000002,1.6500000000002624,-1.8158717260273964,-211.26587172602788
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,USD_JPY,-1,short,-381.79999999999836,2.1000000000000796,-37.83611938630138,-421.73611938629983
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,EUR_GBP,-1,short,39.29999999999989,1.9500000000000073,0.07601165369862999,37.42601165369851
3904,2023-05-16 01:00:00+00:00,2023-05-30 17:00:00+00:00,EUR_JPY,-1,short,-208.0999999999989,2.349999999998431,-29.719464695890405,-240.1694646958877
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,USD_JPY,1,long,-10.200000000000387,2.1499999999988972,26.961431280821913,14.611431280822629
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,CAD_JPY,1,long,218.39999999999975,2.199999999999136,15.338058533228944,231.53805853322956
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,CHF_JPY,1,long,107.79999999999745,2.750000000000341,0.745659064212356,105.79565906420947
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,EUR_USD,-1,short,-97.00000000000041,1.6500000000008175,4.2333410958904105,-94.41665890411082
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,AUD_USD,-1,short,-288.1,1.2000000000000899,0.5109585205479442,-288.7890414794522
3968,2023-05-30 17:00:00+00:00,2023-06-14 09:00:00+00:00,GBP_USD,-1,short,-262.8000000000008,1.7999999999995797,-2.065520806575343,-266.6655208065757
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,USD_JPY,1,long,489.0000000000015,1.649999999999352,30.533204987671237,517.8832049876734
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,EUR_GBP,1,long,79.79999999999987,1.4500000000000624,-8.953648587397257,69.39635141260256
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,CAD_JPY,1,long,392.50000000000114,1.9499999999993634,17.67540492582811,408.2254049258299
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,NZD_USD,-1,short,122.40000000000028,1.4500000000000624,-3.159804328767121,117.79019567123309
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,GBP_USD,-1,short,54.20000000000202,1.5999999999993797,-2.7750755156164377,49.8249244843862
4032,2023-06-14 09:00:00+00:00,2023-06-29 01:00:00+00:00,AUD_USD,-1,short,195.49999999999955,1.30000000000019,0.36605983561643796,194.5660598356158
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,EUR_USD,1,long,341.00000000000017,1.7499999999992522,-11.759280821917805,327.4907191780831
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,EUR_GBP,1,long,-78.59999999999978,1.4500000000000624,-7.999571278904109,-88.04957127890395
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,GBP_USD,1,long,515.3000000000008,1.6500000000008175,-6.717274546849316,506.9327254531507
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,AUD_JPY,-1,short,45.300000000000296,1.75000000000054,-21.878662095890405,21.67133790410935
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,USD_JPY,-1,short,653.0000000000001,1.7000000000010118,-37.81392342739726,613.4860765726017
4096,2023-06-29 01:00:00+00:00,2023-07-13 17:00:00+00:00,NZD_JPY,-1,short,-36.299999999999955,2.400000000000091,-22.811170986301367,-61.51117098630141
