pair,arm,direction,signal_ts,entry_ts,entry_px,exit_ts,exit_px,exit_reason,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,hours_held,touches,vrel,net_base,net_spread1p5,net_carry2p0
NZD_JPY,continuation,-1,2022-04-26 09:00:00+00:00,2022-04-26 13:00:00+00:00,84.188,2022-04-28 07:40:00+00:00,85.24023956597085,sl,0.526119782985427,-105.22395659708508,1.9000000000005457,-3.21435660958904,-110.33831320667467,42.666666666666664,1,0.8356344011644359,-110.33831320667467,-111.28831320667494,-111.24603029571576
NZD_JPY,continuation,-1,2022-05-02 09:00:00+00:00,2022-05-02 13:00:00+00:00,83.568,2022-05-04 13:00:00+00:00,83.856,timecap,0.5147144069706904,-28.79999999999967,1.950000000000074,-3.741009760273972,-34.49100976027371,48.0,1,0.6843855873297017,-34.49100976027371,-35.46600976027375,-35.39872684931481
NZD_JPY,continuation,1,2022-05-31 17:00:00+00:00,2022-05-31 21:00:00+00:00,83.822,2022-06-01 12:55:00+00:00,84.54408781799921,tp,0.36104390899960664,72.20878179992098,8.099999999999596,0.0,64.10878179992139,15.916666666666666,1,0.6644802753825471,64.10878179992139,60.05878179992159,64.10878179992139
NZD_JPY,continuation,1,2022-06-07 17:00:00+00:00,2022-06-07 21:00:00+00:00,86.07,2022-06-08 13:50:00+00:00,86.80693767893575,tp,0.36846883946787834,73.69376789357602,8.549999999999613,0.0,65.14376789357641,16.833333333333332,1,0.5965656913273737,65.14376789357641,60.8687678935766,65.14376789357641
NZD_JPY,continuation,-1,2022-06-14 09:00:00+00:00,2022-06-14 13:00:00+00:00,84.028,2022-06-16 09:30:00+00:00,83.04908125674886,tp,0.4894593716255725,97.89187432511426,2.049999999999841,-4.348686472602739,91.49318785251168,44.5,1,1.0758610907543555,91.49318785251168,90.46818785251176,90.58547076347058
NZD_JPY,continuation,1,2022-06-20 05:00:00+00:00,2022-06-20 09:00:00+00:00,85.538,2022-06-22 09:00:00+00:00,85.137,timecap,0.5374005519232024,-40.099999999999625,1.8999999999998352,1.5635015410958897,-40.43649845890357,48.0,1,0.7007501749172521,-40.43649845890357,-41.38649845890349,-42.31396630136933
NZD_JPY,continuation,1,2022-08-04 05:00:00+00:00,2022-08-04 09:00:00+00:00,84.635,2022-08-04 14:35:00+00:00,83.73200384100838,sl,0.45149807949581094,-90.29961589916269,2.099999999999369,0.0,-92.39961589916206,5.583333333333333,1,0.9668873191098514,-92.39961589916206,-93.44961589916174,-92.39961589916206
NZD_JPY,continuation,1,2022-09-05 21:00:00+00:00,2022-09-06 01:00:00+00:00,85.95,2022-09-06 22:50:00+00:00,86.58075203235683,tp,0.3153760161784089,63.07520323568241,2.300000000000324,2.2342247123287664,63.00942794801085,21.833333333333332,1,0.91343230456642,63.00942794801085,61.85942794801069,61.507453674038246
NZD_JPY,continuation,1,2022-09-08 21:00:00+00:00,2022-09-09 01:00:00+00:00,87.462,2022-09-11 21:00:00+00:00,86.506,sl_gap,0.34950561223741666,-95.6000000000003,5.950000000000699,0.5585561780821916,-100.99144382191882,68.0,1,0.8584624046423863,-100.99144382191882,-103.96644382191917,-101.36693739041196
NZD_JPY,continuation,-1,2022-09-13 17:00:00+00:00,2022-09-13 21:00:00+00:00,86.704,2022-09-14 07:00:00+00:00,85.92398746610189,tp,0.39000626694904944,78.00125338981019,7.549999999999102,0.0,70.45125338981109,10.0,1,0.7261598246263116,70.45125338981109,66.67625338981154,70.45125338981109
