pair,res,lag_fast_base,lag_slow_base,fast_lags,slow_lags,atr_mult,accel,tp,sl,is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,False,10,5,-153.78,0.364,51417,-156.04,-154.4,-150.85,False,-161.11,0.323,20600,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,False,10,5,-121.45,0.364,40893,-113.9,-124.72,-125.71,False,-133.07,0.316,16598,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,False,10,5,-51.61,0.351,16848,-37.12,-52.33,-65.37,False,-61.54,0.305,7417,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,2,1,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,2,2,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,2,2,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,2,2,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,2,2,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0.0,0,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,3,1,-43.78,0.128,20657,-44.35,-46.81,-40.18,False,-30.96,0.13,6038,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,3,1,-39.79,0.125,18457,-39.79,-42.68,-36.89,False,-27.25,0.129,5328,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,3,1,-31.84,0.123,14632,-30.16,-34.44,-30.91,False,-21.75,0.129,4270,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,3,1,-12.13,0.123,5662,-10.5,-13.01,-12.87,False,-9.28,0.13,1844,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,3,2,-44.09,0.297,18538,-46.04,-46.44,-39.81,False,-32.79,0.28,5428,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,3,2,-41.82,0.291,16920,-42.77,-44.8,-37.88,False,-29.61,0.277,4883,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,3,2,-34.68,0.288,13729,-34.48,-36.86,-32.69,False,-24.6,0.274,3994,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,3,2,-14.41,0.281,5507,-13.03,-15.6,-14.61,False,-11.47,0.266,1799,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,3,3,-44.81,0.364,17502,-45.5,-47.86,-41.07,False,-33.77,0.331,5202,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,3,3,-42.86,0.358,16070,-42.64,-46.79,-39.14,False,-30.83,0.329,4693,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,3,3,-36.06,0.354,13219,-34.85,-39.21,-34.11,False,-25.77,0.325,3874,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,3,3,-15.41,0.346,5434,-13.96,-16.34,-15.94,False,-12.04,0.314,1769,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,True,5,1,-117.75,0.095,49005,-115.16,-118.84,-119.24,False,-112.42,0.091,18943,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,True,5,1,-106.45,0.094,44173,-102.49,-107.84,-109.03,False,-102.12,0.089,17091,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,True,5,1,-86.3,0.093,35550,-77.78,-88.9,-92.22,False,-84.96,0.088,14154,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,True,5,1,-34.64,0.091,14396,-26.11,-35.25,-42.57,False,-39.21,0.083,6438,
