pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
CAD_JPY,48,512,ctr,554,48.014440433213,-3.00590521542403,238,51.68067226890757,-1.065489874426613,-1001.7999999999895
GBP_USD,12,256,trd,1105,50.2262443438914,-0.6048856439995158,474,48.10126582278481,-1.0668872381963,-1412.9999999999932
NZD_USD,48,512,ctr,554,46.75090252707581,-1.17123148815938,238,47.89915966386555,-1.093204255860116,-1040.9000000000665
NZD_JPY,12,256,ctr,1105,47.05882352941176,-2.8345176300891097,474,48.10126582278481,-1.1211515312548506,-1043.2000000000212
NZD_USD,48,3072,trd,93,45.16129032258064,0.3546259101551992,40,50.0,-1.1276725621801829,-909.600000000007
CAD_JPY,48,128,trd,2201,46.524307133121305,-4.003259467095968,944,50.529661016949156,-1.1535237919201875,-1149.6999999999898
EUR_USD,12,64,ctr,4368,46.38278388278388,-5.520253707307476,1872,48.29059829059829,-1.155154049651582,-1149.2999999999115
EUR_GBP,3,512,trd,554,48.194945848375454,-1.021752832966195,238,50.42016806722689,-1.159113246999331,-735.7999999999998
GBP_JPY,48,3072,trd,93,51.61290322580645,0.32494926841797106,40,45.0,-1.1872934163556679,-3106.5999999999913
EUR_JPY,1,3072,ctr,93,50.53763440860215,-2.943166006382197,40,42.5,-1.2012670540531476,-1913.900000000018
NZD_JPY,1,128,ctr,2201,47.751022262607904,-3.463303925152308,944,49.36440677966102,-1.2014999480146065,-1364.7999999999402
CAD_JPY,1,512,ctr,554,49.458483754512635,-2.097282130825248,238,51.68067226890757,-1.2506405739171216,-1623.9999999999511
EUR_JPY,48,3072,ctr,93,51.61290322580645,1.7060085557059506,40,60.0,-1.251572149763801,-2151.1
GBP_USD,12,128,ctr,2201,46.84234438891413,-3.2269862377615857,944,47.88135593220339,-1.261120802190202,-2174.7999999999697
EUR_JPY,3,512,trd,554,50.54151624548736,2.843878718422486,238,53.78151260504202,-1.262751059921674,-2318.3999999999883
CHF_JPY,48,256,ctr,1105,47.511312217194565,-2.914883569290318,474,49.57805907172996,-1.270669454617025,-1896.400000000029
EUR_GBP,12,512,ctr,554,48.91696750902527,-1.8207316808109484,238,43.27731092436975,-1.2939588507792672,-1091.800000000005
EUR_USD,48,256,ctr,1105,45.61085972850679,-2.4751115897212013,474,49.789029535864984,-1.302575927359358,-1443.6000000000072
EUR_USD,3,512,trd,554,49.63898916967509,0.9824163447574669,238,44.957983193277315,-1.3274955812530624,-1125.9000000000178
GBP_USD,48,128,ctr,2201,47.069513857337576,-4.925625426056169,944,50.317796610169495,-1.3302903087923796,-1289.599999999981
GBP_USD,12,3072,ctr,93,47.31182795698925,-0.09490550193144742,40,50.0,-1.3447297344130735,-1356.1
EUR_GBP,1,512,trd,554,50.722021660649816,0.14330432033504667,238,47.05882352941176,-1.3640599332278307,-589.3000000000048
NZD_JPY,12,512,ctr,554,50.54151624548736,-0.662745136782565,238,46.21848739495798,-1.3836230260041564,-923.6000000000004
GBP_JPY,3,3072,ctr,93,47.31182795698925,-1.4980728914531833,40,50.0,-1.3875822233517845,-2484.6000000000117
AUD_USD,12,256,trd,1105,49.23076923076923,-2.9615894249101964,474,47.04641350210971,-1.4206531659020905,-1430.399999999949
AUD_USD,48,256,ctr,1105,48.32579185520362,-0.7719910293520102,474,48.52320675105485,-1.4465043956422061,-907.3999999999272
NZD_USD,12,512,trd,554,45.12635379061371,-1.8157523785061198,238,46.21848739495798,-1.472122731421273,-1409.5000000000757
GBP_USD,48,256,ctr,1105,45.97285067873303,-4.886786868078111,474,48.52320675105485,-1.480041126116182,-1382.4999999999573
GBP_USD,3,512,trd,554,48.91696750902527,2.372836720378618,238,51.68067226890757,-1.5897341820408468,-1350.4000000000265
EUR_GBP,3,128,ctr,2201,44.70695138573376,-3.9771679230186767,944,46.186440677966104,-1.6141880480115463,-1088.8000000000525
EUR_GBP,12,256,ctr,1105,48.959276018099544,-0.4457471423350955,474,46.835443037974684,-1.6430668992527429,-972.7000000000683
NZD_USD,48,256,ctr,1105,47.420814479638004,-1.3552665013486698,474,47.89029535864979,-1.6446971569842312,-1009.4000000001114
AUD_USD,48,3072,trd,93,46.236559139784944,-0.8687886661594999,40,45.0,-1.6460945207536208,-849.4999999999784
EUR_USD,3,128,trd,2201,46.706042707860064,-4.538833223011397,944,48.516949152542374,-1.6486563543313089,-1443.3999999999098
EUR_JPY,12,512,ctr,554,48.91696750902527,-3.612085478022823,238,48.319327731092436,-1.6528484456407893,-1277.2999999999738
AUD_JPY,12,128,ctr,2201,48.114493412085416,-5.8694023849275805,944,48.728813559322035,-1.664493143722071,-2327.0000000000487
EUR_JPY,12,512,trd,554,49.458483754512635,1.236659520445769,238,50.0,-1.675904947841456,-2390.8000000000075
AUD_USD,48,512,trd,554,47.833935018050546,-0.5386609233443312,238,48.739495798319325,-1.6782338874575917,-1594.5999999999615
GBP_JPY,1,512,trd,554,48.55595667870036,-2.3691520366729333,238,50.42016806722689,-1.681028614997141,-2165.0999999999676
CAD_JPY,3,3072,trd,93,44.086021505376344,-1.3515818176429257,40,40.0,-1.7199219065882334,-1198.099999999998
AUD_USD,12,3072,trd,93,41.935483870967744,-0.8754609312480864,40,45.0,-1.7434441967121623,-939.2999999999784
AUD_USD,48,256,trd,1105,48.68778280542986,-2.4492192177356746,474,47.04641350210971,-1.7469376061364343,-1231.0999999999542
CAD_JPY,12,256,ctr,1105,46.244343891402714,-4.088305950463786,474,46.41350210970464,-1.7546231068700828,-1449.8999999999824
AUD_USD,12,256,ctr,1105,47.601809954751126,-0.2849156778863939,474,48.52320675105485,-1.77278883587655,-1822.7999999999354
NZD_JPY,12,3072,trd,93,48.38709677419355,0.14350349242732843,40,37.5,-1.7760493513395013,-1363.000000000011
EUR_JPY,3,3072,trd,93,51.61290322580645,0.3596052124601116,40,47.5,-1.7942150803460812,-2090.6999999999925
EUR_GBP,12,256,trd,1105,44.25339366515837,-3.3952866556675256,474,44.72573839662447,-1.8165729006620426,-823.8000000000429
EUR_GBP,12,3072,trd,93,50.53763440860215,-0.7088534761260361,40,45.0,-1.8216965678176553,-1095.4999999999934
EUR_GBP,48,512,trd,554,47.65342960288809,-1.6935602999437263,238,45.378151260504204,-1.8230939315874508,-1078.9000000000106
AUD_JPY,3,256,ctr,1105,49.049773755656105,-2.340570841442722,474,47.89029535864979,-1.8326425840140026,-2692.2000000000335
NZD_USD,48,256,trd,1105,48.1447963800905,-2.650781375038384,474,47.89029535864979,-1.8496438432128084,-1048.0000000001348
AUD_JPY,12,512,ctr,554,51.26353790613718,0.06054831602763093,238,48.319327731092436,-1.8594253896006332,-1115.0000000000105
GBP_JPY,48,512,trd,554,52.166064981949454,2.823463578972359,238,51.26050420168067,-1.866412208449201,-2712.899999999937
CHF_JPY,12,3072,ctr,93,49.46236559139785,0.8183981268339019,40,42.5,-1.8687411480655776,-2277.1999999999966
CAD_JPY,1,512,trd,554,47.65342960288809,-0.324152580049136,238,45.378151260504204,-1.879454270300199,-1057.799999999995
EUR_GBP,48,3072,trd,93,61.29032258064516,0.9371046937827898,40,42.5,-1.9414040640920478,-1002.1999999999987
CAD_JPY,12,3072,ctr,93,52.68817204301075,1.471184659006696,40,45.0,-1.9688855515635733,-1036.099999999993
NZD_JPY,3,256,ctr,1105,47.873303167420815,-3.734974658907911,474,49.57805907172996,-2.0196564351976907,-1996.4000000000256
GBP_USD,1,64,ctr,4368,45.97069597069597,-10.450659263576757,1872,46.63461538461539,-2.045973452860612,-2689.9000000000065
CAD_JPY,48,512,trd,554,49.09747292418773,0.40471769134253976,238,45.378151260504204,-2.064604969790708,-1650.499999999964
EUR_JPY,3,512,ctr,554,48.014440433213,-5.203570080716119,238,44.537815126050425,-2.0660023335605704,-2738.8999999999987
NZD_USD,3,128,trd,2201,46.06996819627442,-5.375953526512069,944,47.66949152542373,-2.132377112623998,-1198.3000000003103
