pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
CAD_JPY,3,512,trd,554,51.624548736462096,3.606010729210986,238,47.89915966386555,-2.1896690271824353,-2462.399999999963
EUR_GBP,1,128,ctr,2201,45.11585642889596,-3.599338464122611,944,48.41101694915254,-2.195957164146528,-1145.3000000000313
NZD_USD,12,128,ctr,2201,47.478418900499776,-3.3368296466080656,944,46.186440677966104,-2.216451832769965,-1637.3000000002485
EUR_USD,48,3072,trd,93,48.38709677419355,0.2400023710963643,40,37.5,-2.241371486662942,-1549.700000000018
AUD_JPY,12,3072,trd,93,39.784946236559136,-1.9551728430432909,40,45.0,-2.268852974134463,-1823.400000000005
CHF_JPY,12,512,ctr,554,47.65342960288809,-1.3484946502138877,238,50.42016806722689,-2.2856213393714424,-1234.00000000004
NZD_JPY,12,512,trd,554,47.292418772563174,-2.2034408559657876,238,47.05882352941176,-2.3119383570347525,-2140.0000000000005
NZD_USD,1,3072,trd,93,46.236559139784944,-1.6070200258844725,40,42.5,-2.3349948592354988,-1420.8000000000097
EUR_USD,1,512,trd,554,49.81949458483754,0.7129365040160989,238,44.537815126050425,-2.338721162621603,-1513.1000000000538
NZD_USD,3,512,trd,554,51.44404332129964,-0.1256775901758212,238,44.957983193277315,-2.3848341670230755,-1025.30000000009
EUR_GBP,1,256,trd,1105,44.52488687782805,-3.4828227901876865,474,43.037974683544306,-2.423028776729258,-1353.6000000000734
EUR_USD,48,256,trd,1105,50.497737556561084,-1.0360932236041582,474,45.9915611814346,-2.4316458533091323,-2117.199999999977
EUR_GBP,12,128,trd,2201,44.025442980463424,-3.8434238631089173,944,44.597457627118644,-2.4512089460857727,-1376.3000000000566
EUR_USD,1,128,trd,2201,47.79645615629259,-2.39295310169024,944,49.25847457627119,-2.455633931356415,-1490.7000000000007
AUD_USD,1,64,ctr,4368,45.83333333333333,-8.53731255989417,1872,47.59615384615385,-2.4735667664005176,-1798.6999999996706
