id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
108,asi_mc_008,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-008,1147,1,1.32907,1.32766,2026-04-01 06:48:06.381508,2026-04-01 07:07:26.94228,-14.1,S5_SOFT_STOP,0.32,8,2.2,15.3,-6.41,,,false,""
107,range_neat,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-007,2824,1,1.32907,1.32766,2026-04-01 06:48:06.388726,2026-04-01 07:07:26.965977,-14.1,S5_SOFT_STOP,0.32,12,2.2,15.3,-6.41,,,false,""
109,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1681,-1,109.878,109.756,2026-04-01 06:58:01.387355,2026-04-01 07:10:44.959086,12.2,GATE_CLOSE,0.21,9,12.8,9.1,0.95,,,false,""
110,range_neat,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2848,1,109.756,109.861,2026-04-01 07:10:44.751054,2026-04-01 07:32:44.22913,10.5,S5_TRAIL_TP,0.37,31,17.6,4.8,0.6,,,false,""
112,wf_pnlmae,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-013,638,1,109.756,109.861,2026-04-01 07:10:44.745545,2026-04-01 07:32:44.246832,10.5,S5_TRAIL_TP,0.37,31,17.6,4.8,0.6,,,false,""
113,ensemble_long,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-005,653,1,109.756,109.861,2026-04-01 07:10:44.744397,2026-04-01 07:32:44.262126,10.5,S5_TRAIL_TP,0.37,34,17.6,4.8,0.6,,,false,""
111,perpair_a,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,279,1,109.756,109.861,2026-04-01 07:10:44.748453,2026-04-01 07:32:44.27654,10.5,S5_TRAIL_TP,0.37,13,17.6,4.8,0.6,,,false,""
114,asi_mc_008,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1171,1,109.756,109.861,2026-04-01 07:10:44.755014,2026-04-01 07:32:44.295564,10.5,S5_TRAIL_TP,0.37,29,17.6,4.8,0.6,,,false,""
115,pnl_mae_a,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,431,1,109.756,109.861,2026-04-01 07:10:44.770729,2026-04-01 07:32:44.31883,10.5,S5_TRAIL_TP,0.37,11,17.6,4.8,0.6,,,false,""
116,ensemble_short,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-004,1648,-1,1.32866,1.32755,2026-04-01 06:27:39.703767,2026-04-01 07:35:57.977217,11.1,GATE_CLOSE,1.14,13,11.2,8.5,0.99,,,false,""
117,strength_rev3_short,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-006,1595,-1,1.32918,1.32799,2026-04-01 06:48:17.908045,2026-04-01 07:37:23.625566,11.9,S5_TRAIL_TP,0.82,9,19.0,2.9,0.63,,,false,""
118,ensemble_short,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-004,1644,-1,1.15844,1.15984,2026-04-01 06:26:53.088463,2026-04-01 07:46:54.461144,-14.0,S5_SOFT_STOP,1.33,20,5.0,15.0,-2.8,,,false,""
119,wf_pnlmae,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-013,650,1,1.1598,1.15837,2026-04-01 07:46:46.396025,2026-04-01 07:48:42.347927,-14.3,S5_SOFT_STOP,0.03,7,0.6,15.1,-23.83,,,false,""
121,range_neat,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-007,2860,1,1.1598,1.15837,2026-04-01 07:46:46.398733,2026-04-01 07:48:42.36335,-14.3,S5_SOFT_STOP,0.03,7,0.6,15.1,-23.83,,,false,""
122,pnl_mae_a,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-012,443,1,1.1598,1.15837,2026-04-01 07:46:46.40731,2026-04-01 07:48:42.376672,-14.3,S5_SOFT_STOP,0.03,4,0.6,15.1,-23.83,,,false,""
120,asi_mc_008,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-008,1183,1,1.1598,1.15837,2026-04-01 07:46:46.410049,2026-04-01 07:48:42.39626,-14.3,S5_SOFT_STOP,0.03,7,0.6,15.1,-23.83,,,false,""
123,ensemble_short,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-004,1669,-1,0.57633,0.57567,2026-04-01 06:45:58.614549,2026-04-01 07:50:08.713844,6.6,GATE_CLOSE,1.07,15,8.3,11.0,0.8,,,false,""
124,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1693,-1,109.984,109.831,2026-04-01 07:46:45.929718,2026-04-01 07:50:54.196765,15.3,GATE_CLOSE,0.07,18,14.7,3.0,1.04,,,false,""
125,ensemble_short,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-004,1673,-1,0.69392,0.69295,2026-04-01 06:55:48.942916,2026-04-01 07:50:54.990618,9.7,GATE_CLOSE,0.92,8,9.5,9.3,1.02,,,false,""
126,ensemble_long,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-005,661,1,210.274,210.391,2026-04-01 07:35:04.476893,2026-04-01 07:54:40.674735,11.7,GATE_CLOSE,0.33,35,12.0,10.8,0.97,,,false,""
127,pnl_mae_a,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-012,415,1,0.69407,0.69262,2026-04-01 06:55:48.97063,2026-04-01 07:55:24.087986,-14.5,S5_SOFT_STOP,0.99,8,6.1,15.1,-2.38,,,false,""
128,perpair_a,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-011,267,1,0.69407,0.69262,2026-04-01 06:55:48.953142,2026-04-01 07:55:24.17881,-14.5,S5_SOFT_STOP,0.99,14,6.1,15.1,-2.38,,,false,""
129,ensemble_short,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1701,-1,158.521,158.666,2026-04-01 07:48:40.532419,2026-04-01 07:55:26.090248,-14.5,S5_SOFT_STOP,0.11,17,4.9,15.4,-2.96,,,false,""
130,range_neat,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2856,1,210.274,210.48,2026-04-01 07:35:04.459104,2026-04-01 07:57:29.724924,20.6,S5_TRAIL_TP,0.37,31,28.4,10.8,0.73,,,false,""
132,wf_pnlmae,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-013,646,1,210.274,210.48,2026-04-01 07:35:04.457489,2026-04-01 07:57:29.740027,20.6,S5_TRAIL_TP,0.37,31,28.4,10.8,0.73,,,false,""
133,pnl_mae_a,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-012,439,1,210.274,210.48,2026-04-01 07:35:04.486067,2026-04-01 07:57:29.756963,20.6,S5_TRAIL_TP,0.37,11,28.4,10.8,0.73,,,false,""
131,asi_mc_008,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1179,1,210.274,210.48,2026-04-01 07:35:04.471467,2026-04-01 07:57:29.774281,20.6,S5_TRAIL_TP,0.37,29,28.4,10.8,0.73,,,false,""
