pair,T_q_h,X,T_s_h,W,is_net,is_dd,oos_net,oos_dd,oos_trades,oos_tp,oos_q,oos_s,oos_end
NZD_USD,,,24.0,5.0,352.4000000000024,-58.99999999999983,674.2000000000008,-15.799999999999955,52,39,0,13,0
NZD_USD,0.5,2.0,24.0,5.0,195.39999999998838,-99.30000000000487,111.80000000000001,-221.6999999999989,83,28,49,5,1
NZD_USD,0.5,3.0,24.0,5.0,35.69999999998754,-143.400000000008,24.20000000000084,-248.19999999999754,65,20,37,7,1
NZD_USD,0.5,5.0,24.0,5.0,-253.40000000000543,-285.6000000000039,-72.9999999999994,-345.3999999999984,194,27,158,8,1
NZD_USD,0.5,8.0,24.0,5.0,-1270.8000000000009,-1289.0999999999985,-385.4000000000028,-508.5000000000008,471,35,430,5,1
NZD_USD,1.0,2.0,24.0,5.0,68.80000000001095,-131.699999999993,156.4000000000013,-180.89999999999785,58,25,25,7,1
NZD_USD,1.0,3.0,24.0,5.0,329.9000000000024,-45.10000000000261,549.8000000000039,-84.39999999999975,138,58,66,14,0
NZD_USD,1.0,5.0,24.0,5.0,-253.59999999999692,-333.59999999999656,-6.699999999997942,-267.6999999999972,84,25,55,3,1
NZD_USD,1.0,8.0,24.0,5.0,-584.7999999999953,-601.5999999999954,84.7000000000053,-192.59999999999593,154,32,115,6,1
NZD_USD,2.0,2.0,24.0,5.0,239.10000000000045,-62.60000000000096,594.2000000000003,-84.99999999999943,99,56,32,10,1
NZD_USD,2.0,3.0,24.0,5.0,74.30000000000243,-59.59999999999948,401.4000000000008,-73.70000000000056,83,41,30,11,1
NZD_USD,2.0,5.0,24.0,5.0,208.80000000000405,-76.69999999999901,324.29999999999995,-69.30000000000109,99,43,44,11,1
NZD_USD,2.0,8.0,24.0,5.0,-166.60000000000952,-314.7000000000055,190.4000000000031,-125.19999999999789,148,45,94,9,0
NZD_USD,4.0,2.0,24.0,5.0,363.20000000000334,-41.89999999999992,108.69999999999806,-238.59999999999974,39,24,8,6,1
NZD_USD,4.0,3.0,24.0,5.0,282.9000000000023,-57.10000000000187,87.19999999999824,-238.59999999999974,40,24,9,6,1
NZD_USD,4.0,5.0,24.0,5.0,363.8999999999978,-69.39999999999911,130.9999999999981,-192.80000000000032,58,31,18,8,1
NZD_USD,4.0,8.0,24.0,5.0,-74.00000000000165,-262.9000000000048,111.00000000000328,-146.39999999999915,120,49,60,11,0
GBP_USD,,,8.0,15.0,608.9199999999979,-144.2400000000007,777.7800000000016,-239.83999999999867,103,68,0,34,1
GBP_USD,0.5,2.0,8.0,15.0,-50.320000000014716,-323.10000000000514,120.05999999999139,-243.2599999999983,126,50,59,16,1
GBP_USD,0.5,3.0,8.0,15.0,-95.38000000000422,-318.8800000000008,-45.28000000000566,-348.24000000000166,102,41,50,10,1
GBP_USD,0.5,5.0,8.0,15.0,-507.7400000000054,-597.0599999999939,-164.36000000001255,-405.56000000000387,119,39,69,10,1
GBP_USD,0.5,8.0,8.0,15.0,-799.7000000000095,-839.900000000009,-406.3200000000079,-727.5199999999968,778,140,610,27,1
GBP_USD,1.0,2.0,8.0,15.0,-259.76000000000727,-445.4200000000048,139.6199999999982,-227.4200000000022,87,43,26,17,1
GBP_USD,1.0,3.0,8.0,15.0,-339.02000000000874,-515.5600000000071,-76.43999999999812,-326.640000000001,71,35,23,12,1
GBP_USD,1.0,5.0,8.0,15.0,-286.2800000000076,-467.30000000001087,-13.000000000000227,-256.51999999999555,115,42,56,16,1
GBP_USD,1.0,8.0,8.0,15.0,-210.100000000028,-362.9000000000033,120.54000000001054,-334.63999999998975,419,135,255,28,1
GBP_USD,2.0,2.0,8.0,15.0,-148.6200000000101,-377.08000000001,172.72000000000529,-243.17999999999947,77,43,17,16,1
GBP_USD,2.0,3.0,8.0,15.0,-204.52000000001385,-413.5600000000115,-18.079999999993845,-326.640000000001,62,36,15,10,1
GBP_USD,2.0,5.0,8.0,15.0,-168.5200000000096,-351.1000000000072,-190.4399999999997,-499.560000000002,41,23,9,8,1
GBP_USD,2.0,8.0,8.0,15.0,-318.06000000001256,-462.1000000000101,219.90000000001416,-318.47999999999126,280,126,125,28,1
GBP_USD,4.0,2.0,8.0,15.0,-198.24000000000473,-392.3200000000061,128.44000000000227,-301.11999999999773,74,42,11,20,1
GBP_USD,4.0,3.0,8.0,15.0,-268.0800000000106,-451.72000000001015,-41.90000000000043,-336.17999999999984,55,33,11,10,1
GBP_USD,4.0,5.0,8.0,15.0,-258.6000000000114,-480.6000000000095,25.919999999998964,-261.1999999999964,82,43,24,14,1
GBP_USD,4.0,8.0,8.0,15.0,-233.68000000000416,-397.9400000000004,258.22000000000077,-375.139999999988,227,120,82,24,1
