pair,dir,entry_bar,exit_bar,bars,hours,pips,reason,mfe,mae
GBP_JPY,-1,1314,51839,50525,4210.416666666667,-1814.6999999999991,end,0.0,-1992.0999999999992
AUD_JPY,-1,378,390,12,1.0,20.0,TP,15.399999999999636,0.0
AUD_JPY,-1,391,902,511,42.583333333333336,20.0,TP,8.199999999999363,-99.39999999999998
AUD_JPY,-1,906,940,34,2.8333333333333335,20.0,TP,7.099999999999795,-18.999999999999773
AUD_JPY,-1,941,943,2,0.16666666666666666,20.0,TP,14.60000000000008,0.0
AUD_JPY,-1,944,1238,294,24.5,20.0,TP,15.099999999999625,-66.10000000000014
AUD_JPY,-1,1266,4509,3243,270.25,20.0,TP,14.099999999999113,-173.4000000000009
AUD_JPY,-1,4510,4647,137,11.416666666666666,20.0,TP,6.100000000000705,-21.19999999999891
AUD_JPY,-1,4648,4659,11,0.9166666666666666,20.0,TP,7.599999999999341,0.0
AUD_JPY,-1,4660,51839,47179,3931.5833333333335,-1736.999999999999,end,0.0,-1939.7999999999995
EUR_USD,-1,379,386,7,0.5833333333333334,20.0,TP,13.499999999999623,0.0
EUR_USD,-1,387,388,1,0.08333333333333333,20.0,TP,16.499999999999293,0.0
EUR_USD,-1,389,406,17,1.4166666666666667,20.0,TP,18.099999999998673,0.0
EUR_USD,-1,407,51839,51432,4286.0,-266.4,end,9.699999999999154,-632.8
GBP_USD,-1,380,400,20,1.6666666666666667,20.0,TP,8.799999999999919,-11.699999999998933
GBP_USD,-1,401,403,2,0.16666666666666666,20.0,TP,13.000000000000789,0.0
GBP_USD,-1,404,586,182,15.166666666666666,20.0,TP,15.400000000000968,-41.199999999999015
GBP_USD,-1,600,614,14,1.1666666666666667,20.0,TP,10.499999999999954,-7.099999999999884
GBP_USD,-1,615,627,12,1.0,20.0,TP,13.799999999999368,-2.4000000000001798
GBP_USD,-1,628,853,225,18.75,20.0,TP,16.40000000000086,-39.799999999998725
GBP_USD,-1,854,862,8,0.6666666666666666,20.0,TP,18.299999999999983,0.0
GBP_USD,-1,863,19329,18466,1538.8333333333333,20.0,TP,9.40000000000163,-553.9999999999989
GBP_USD,-1,19330,19616,286,23.833333333333332,20.0,TP,12.600000000000389,-44.90000000000105
GBP_USD,-1,19617,20131,514,42.833333333333336,20.0,TP,3.5999999999991594,-48.09999999999981
GBP_USD,-1,20132,20137,5,0.4166666666666667,20.0,TP,10.499999999999954,0.0
GBP_USD,-1,20138,20173,35,2.9166666666666665,20.0,TP,13.400000000001189,-2.4000000000001798
GBP_USD,-1,20174,20201,27,2.25,20.0,TP,12.900000000000134,-9.999999999998899
GBP_USD,-1,20202,20242,40,3.3333333333333335,20.0,TP,14.799999999999258,-11.700000000001154
GBP_USD,-1,20243,51839,31596,2633.0,-381.89999999999947,end,6.500000000000394,-824.1000000000009
CAD_JPY,1,419,573,154,12.833333333333334,20.0,TP,20.300000000000296,-61.89999999999998
CAD_JPY,1,593,606,13,1.0833333333333333,20.0,TP,20.199999999999818,-7.000000000000739
CAD_JPY,1,607,616,9,0.75,20.0,TP,21.599999999999397,0.0
CAD_JPY,1,617,688,71,5.916666666666667,20.0,TP,20.600000000000307,-10.799999999998988
CAD_JPY,1,689,14563,13874,1156.1666666666667,20.0,TP,24.59999999999951,-370.80000000000126
CAD_JPY,1,14564,14666,102,8.5,20.0,TP,20.400000000000773,-12.800000000000011
CAD_JPY,1,14667,14670,3,0.25,20.0,TP,22.400000000000375,-0.9999999999990905
CAD_JPY,1,14671,14942,271,22.583333333333332,20.0,TP,21.60000000000082,-24.59999999999951
CAD_JPY,1,14947,19249,4302,358.5,20.0,TP,43.80000000000024,-348.0000000000004
CAD_JPY,1,19250,19272,22,1.8333333333333333,20.0,TP,21.19999999999891,-15.400000000001057
CAD_JPY,1,19273,21861,2588,215.66666666666666,20.0,TP,21.50000000000034,-211.4999999999995
CAD_JPY,1,21862,22801,939,78.25,20.0,TP,20.10000000000076,-96.89999999999941
CAD_JPY,1,22802,23094,292,24.333333333333332,20.0,TP,25.0,-55.29999999999973
CAD_JPY,1,23095,23101,6,0.5,20.0,TP,20.79999999999984,0.0
CAD_JPY,1,23102,23112,10,0.8333333333333334,20.0,TP,23.099999999999454,0.0
CAD_JPY,1,23113,23314,201,16.75,20.0,TP,21.299999999999386,-34.39999999999941
CAD_JPY,1,23327,23365,38,3.1666666666666665,20.0,TP,25.199999999999534,-12.000000000000455
CAD_JPY,1,23366,23496,130,10.833333333333334,20.0,TP,21.800000000000352,-30.999999999998806
CAD_JPY,1,23497,23552,55,4.583333333333333,20.0,TP,20.000000000000284,-4.200000000000159
CAD_JPY,1,23553,26895,3342,278.5,20.0,TP,22.89999999999992,-167.20000000000113
CAD_JPY,1,26896,27049,153,12.75,20.0,TP,20.199999999999818,-26.00000000000051
CAD_JPY,1,27050,27078,28,2.3333333333333335,20.0,TP,20.600000000000307,-8.100000000000307
CAD_JPY,1,27079,27374,295,24.583333333333332,20.0,TP,20.199999999999818,-33.40000000000032
CAD_JPY,1,27375,27393,18,1.5,20.0,TP,21.19999999999891,-3.2000000000010687
CAD_JPY,1,27394,27407,13,1.0833333333333333,20.0,TP,22.59999999999991,-0.40000000000048885
CAD_JPY,1,27408,29618,2210,184.16666666666666,20.0,TP,28.300000000000125,-103.70000000000061
CAD_JPY,1,29621,29643,22,1.8333333333333333,20.0,TP,24.800000000000466,-6.499999999999773
CAD_JPY,1,29644,29698,54,4.5,20.0,TP,26.500000000000057,-7.199999999998852
CAD_JPY,1,29699,29704,5,0.4166666666666667,20.0,TP,21.800000000000352,0.0
CAD_JPY,1,29705,30851,1146,95.5,20.0,TP,21.89999999999941,-88.900000000001
CAD_JPY,1,30852,35908,5056,421.3333333333333,20.0,TP,24.59999999999951,-182.00000000000074
CAD_JPY,1,35909,36159,250,20.833333333333332,20.0,TP,20.600000000000307,-15.59999999999917
CAD_JPY,1,36160,36228,68,5.666666666666667,20.0,TP,20.699999999999363,-9.199999999999875
CAD_JPY,1,36229,36236,7,0.5833333333333334,20.0,TP,22.59999999999991,-2.7999999999991587
CAD_JPY,1,36237,44655,8418,701.5,20.0,TP,23.399999999999466,-367.3000000000002
CAD_JPY,1,44656,44973,317,26.416666666666668,20.0,TP,20.199999999999818,-59.7999999999999
CAD_JPY,1,44974,44998,24,2.0,20.0,TP,21.099999999999852,-15.400000000001057
CAD_JPY,1,44999,45021,22,1.8333333333333333,20.0,TP,20.49999999999983,-2.1000000000000796
CAD_JPY,1,45022,45064,42,3.5,20.0,TP,42.499999999999716,-2.2999999999996135
CAD_JPY,1,45065,45066,1,0.08333333333333333,20.0,TP,41.59999999999968,0.0
CAD_JPY,1,45067,45112,45,3.75,20.0,TP,21.20000000000033,-30.59999999999974
CAD_JPY,1,45113,45128,15,1.25,20.0,TP,21.79999999999893,-0.30000000000001137
CAD_JPY,1,45129,51839,6710,559.1666666666666,-225.3,end,13.599999999999568,-322.7000000000004
