pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
EUR_USD,48,288.0,10.0,-327.22000000000605,635.4000000000076,-111.62000000000066,145,82,59,4,0
EUR_USD,48,288.0,5.0,-395.4400000000046,393.1000000000076,-230.21999999999832,120,70,45,4,1
EUR_USD,48,96.0,15.0,-210.88000000001412,-74.10000000000056,-275.70000000000306,65,31,19,14,1
EUR_USD,72,,,-273.44000000000483,413.94000000000153,-230.21999999999832,98,65,32,0,1
EUR_USD,72,288.0,10.0,-303.82000000000835,590.6799999999963,-137.8000000000011,136,84,47,4,1
EUR_USD,72,288.0,5.0,-293.7000000000065,350.00000000000034,-230.21999999999832,115,71,39,4,1
EUR_USD,72,96.0,15.0,-439.22,-38.00000000000176,-273.1000000000016,60,32,10,17,1
EUR_USD,144,,,-443.9199999999985,451.18000000000313,-230.21999999999832,76,60,15,0,1
EUR_USD,144,288.0,10.0,-401.03999999999735,612.8600000000058,-203.9000000000011,112,81,26,4,1
EUR_USD,144,288.0,5.0,-430.91999999999985,499.3600000000059,-230.21999999999832,92,69,18,4,1
EUR_USD,144,96.0,15.0,-242.94000000000023,-30.83999999999932,-278.5800000000042,57,32,4,20,1
EUR_USD,288,,,-362.1599999999985,364.9200000000019,-230.21999999999832,59,51,7,0,1
EUR_USD,288,288.0,10.0,-256.90000000000356,516.74,-169.47999999999774,93,73,13,6,1
EUR_USD,288,288.0,5.0,-189.40000000000327,224.0800000000054,-237.4799999999943,76,58,11,6,1
EUR_USD,288,96.0,15.0,-330.94000000000403,-78.06000000000444,-278.5800000000042,53,29,2,21,1
GBP_USD,12,,,-112.30000000001058,258.67999999998113,-241.23999999999893,213,79,133,0,1
GBP_USD,12,288.0,10.0,91.05999999998343,267.31999999997834,-241.23999999999893,222,79,132,10,1
GBP_USD,12,288.0,5.0,156.15999999999613,256.7599999999775,-241.23999999999893,221,79,131,10,1
GBP_USD,12,96.0,15.0,280.49999999998187,127.5199999999833,-241.2399999999989,237,83,135,18,1
GBP_USD,24,,,144.03999999998535,174.75999999999257,-284.52000000000226,131,66,64,0,1
GBP_USD,24,288.0,10.0,153.35999999998688,308.5000000000005,-241.6399999999993,135,65,63,6,1
GBP_USD,24,288.0,5.0,219.19999999999027,245.1799999999937,-241.63999999999928,138,66,65,6,1
