pair,reason,bars,pips,mfe,mae,mfe_30m,mfe_60m,mfe_120m,mfe_240m,mfe_480m,mfe_720m,mfe_1440m
AUD_JPY,TP,12,20.0,15.399999999999636,0.0,6.799999999999784,15.399999999999636,,,,,
AUD_JPY,TP,511,20.0,8.199999999999363,-99.39999999999998,0.0,0.0,0.0,0.0,7.599999999999341,7.599999999999341,7.599999999999341
AUD_JPY,TP,34,20.0,7.099999999999795,-18.999999999999773,0.0,0.0,0.0,,,,
AUD_JPY,TP,2,20.0,14.60000000000008,0.0,,,,,,,
AUD_JPY,TP,294,20.0,15.099999999999625,-66.10000000000014,0.0,0.0,0.0,1.2000000000000455,1.3999999999995794,1.3999999999995794,11.10000000000042
AUD_JPY,TP,3243,20.0,14.099999999999113,-173.4000000000009,0.0,0.0,0.0,8.799999999999386,8.799999999999386,8.799999999999386,8.799999999999386
AUD_JPY,TP,137,20.0,6.100000000000705,-21.19999999999891,0.0,0.0,0.0,5.400000000000205,5.400000000000205,,
AUD_JPY,TP,11,20.0,7.599999999999341,0.0,0.0,,,,,,
AUD_JPY,end,47179,-1736.999999999999,0.0,-1939.7999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUR_USD,TP,7,20.0,13.499999999999623,0.0,2.500000000000835,,,,,,
EUR_USD,TP,1,20.0,16.499999999999293,0.0,,,,,,,
EUR_USD,TP,17,20.0,18.099999999998673,0.0,10.099999999999554,10.099999999999554,,,,,
EUR_USD,end,51432,-266.4,9.699999999999154,-632.8,1.8999999999991246,3.9999999999995595,3.9999999999995595,3.9999999999995595,3.9999999999995595,3.9999999999995595,3.9999999999995595
GBP_USD,TP,20,20.0,8.799999999999919,-11.699999999998933,0.0,0.0,,,,,
GBP_USD,TP,2,20.0,13.000000000000789,0.0,,,,,,,
GBP_USD,TP,182,20.0,15.400000000000968,-41.199999999999015,0.0,0.0,0.0,0.40000000000040004,0.40000000000040004,0.40000000000040004,
GBP_USD,TP,14,20.0,10.499999999999954,-7.099999999999884,0.0,7.500000000000284,,,,,
GBP_USD,TP,12,20.0,13.799999999999368,-2.4000000000001798,8.299999999998864,13.799999999999368,,,,,
GBP_USD,TP,225,20.0,16.40000000000086,-39.799999999998725,1.2000000000012,1.2000000000012,1.2000000000012,1.2000000000012,1.2000000000012,1.2000000000012,
GBP_USD,TP,8,20.0,18.299999999999983,0.0,4.799999999998139,,,,,,
GBP_USD,TP,18466,20.0,9.40000000000163,-553.9999999999989,0.20000000000131024,0.20000000000131024,0.20000000000131024,0.20000000000131024,0.20000000000131024,0.20000000000131024,0.20000000000131024
GBP_USD,TP,286,20.0,12.600000000000389,-44.90000000000105,0.0,0.0,0.0,0.0,0.0,0.0,
GBP_USD,TP,514,20.0,3.5999999999991594,-48.09999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP_USD,TP,5,20.0,10.499999999999954,0.0,,,,,,,
GBP_USD,TP,35,20.0,13.400000000001189,-2.4000000000001798,9.300000000000974,9.300000000000974,9.300000000000974,,,,
GBP_USD,TP,27,20.0,12.900000000000134,-9.999999999998899,0.0,0.0,6.6000000000010495,,,,
GBP_USD,TP,40,20.0,14.799999999999258,-11.700000000001154,0.0,0.0,0.0,,,,
GBP_USD,end,31596,-381.89999999999947,6.500000000000394,-824.1000000000009,0.0,0.0,6.500000000000394,6.500000000000394,6.500000000000394,6.500000000000394,6.500000000000394
CAD_JPY,TP,154,20.0,20.300000000000296,-61.89999999999998,0.10000000000047748,0.6000000000000227,0.6000000000000227,0.6000000000000227,0.6000000000000227,13.2000000000005,
CAD_JPY,TP,13,20.0,20.199999999999818,-7.000000000000739,2.7999999999991587,14.799999999999613,,,,,
CAD_JPY,TP,9,20.0,21.599999999999397,0.0,18.200000000000216,,,,,,
CAD_JPY,TP,71,20.0,20.600000000000307,-10.799999999998988,7.200000000000273,16.500000000000625,17.80000000000115,19.300000000001205,,,
CAD_JPY,TP,13874,20.0,24.59999999999951,-370.80000000000126,2.7999999999991587,2.7999999999991587,2.7999999999991587,2.7999999999991587,5.19999999999925,5.19999999999925,5.19999999999925
CAD_JPY,TP,102,20.0,20.400000000000773,-12.800000000000011,2.400000000000091,9.199999999999875,15.900000000000603,15.900000000000603,18.80000000000024,,
CAD_JPY,TP,3,20.0,22.400000000000375,-0.9999999999990905,,,,,,,
CAD_JPY,TP,271,20.0,21.60000000000082,-24.59999999999951,6.60000000000025,9.600000000000364,12.400000000000944,12.400000000000944,12.400000000000944,12.400000000000944,
CAD_JPY,TP,4302,20.0,43.80000000000024,-348.0000000000004,0.9000000000000341,0.9000000000000341,0.9000000000000341,0.9000000000000341,0.9000000000000341,0.9000000000000341,0.9000000000000341
CAD_JPY,TP,22,20.0,21.19999999999891,-15.400000000001057,3.7999999999996703,3.7999999999996703,,,,,
CAD_JPY,TP,2588,20.0,21.50000000000034,-211.4999999999995,0.30000000000001137,0.30000000000001137,3.4000000000006025,3.4000000000006025,7.399999999999807,7.399999999999807,7.399999999999807
CAD_JPY,TP,939,20.0,20.10000000000076,-96.89999999999941,1.0000000000005116,1.0000000000005116,1.0000000000005116,5.299999999999727,6.100000000000705,6.100000000000705,10.900000000000887
CAD_JPY,TP,292,20.0,25.0,-55.29999999999973,2.600000000001046,2.600000000001046,2.600000000001046,2.600000000001046,2.600000000001046,2.600000000001046,19.900000000001228
CAD_JPY,TP,6,20.0,20.79999999999984,0.0,20.79999999999984,,,,,,
CAD_JPY,TP,10,20.0,23.099999999999454,0.0,14.19999999999959,,,,,,
CAD_JPY,TP,201,20.0,21.299999999999386,-34.39999999999941,19.40000000000026,19.40000000000026,19.40000000000026,19.40000000000026,19.40000000000026,19.40000000000026,
CAD_JPY,TP,38,20.0,25.199999999999534,-12.000000000000455,0.6000000000000227,5.999999999998806,7.199999999998852,,,,
CAD_JPY,TP,130,20.0,21.800000000000352,-30.999999999998806,7.9999999999998295,7.9999999999998295,7.9999999999998295,7.9999999999998295,17.600000000000193,,
CAD_JPY,TP,55,20.0,20.000000000000284,-4.200000000000159,10.000000000000853,10.000000000000853,10.000000000000853,15.800000000000125,,,
CAD_JPY,TP,3342,20.0,22.89999999999992,-167.20000000000113,12.699999999999534,13.89999999999958,13.89999999999958,13.89999999999958,17.900000000000205,18.09999999999974,18.09999999999974
CAD_JPY,TP,153,20.0,20.199999999999818,-26.00000000000051,3.4000000000006025,12.600000000000477,12.600000000000477,12.600000000000477,12.600000000000477,17.199999999999704,
CAD_JPY,TP,28,20.0,20.600000000000307,-8.100000000000307,0.0,0.0,6.999999999999318,,,,
CAD_JPY,TP,295,20.0,20.199999999999818,-33.40000000000032,3.6000000000001364,4.200000000000159,4.200000000000159,9.600000000000364,9.600000000000364,9.600000000000364,18.200000000000216
CAD_JPY,TP,18,20.0,21.19999999999891,-3.2000000000010687,13.799999999999102,13.799999999999102,,,,,
CAD_JPY,TP,13,20.0,22.59999999999991,-0.40000000000048885,14.300000000000068,19.79999999999933,,,,,
CAD_JPY,TP,2210,20.0,28.300000000000125,-103.70000000000061,11.400000000000432,14.000000000000057,14.000000000000057,14.000000000000057,14.000000000000057,14.000000000000057,14.000000000000057
CAD_JPY,TP,22,20.0,24.800000000000466,-6.499999999999773,1.7000000000010118,11.400000000000432,,,,,
CAD_JPY,TP,54,20.0,26.500000000000057,-7.199999999998852,12.900000000000489,12.900000000000489,12.900000000000489,19.900000000001228,,,
CAD_JPY,TP,5,20.0,21.800000000000352,0.0,,,,,,,
