pair,T_h,W,is_net,is_dd,is_trades,oos_net,oos_dd,oos_trades,oos_scratch,oos_end,oos_scratch_pips,oos_end_pips
GBP_USD,6,20,416.61999999999927,-97.99999999999278,157,142.63999999999783,-326.640000000001,54,19,1,-161.76000000000118,-326.640000000001
GBP_USD,8,3,910.1200000000031,-19.320000000000505,87,-121.9000000000035,-444.48000000000195,25,6,1,-14.140000000002724,-441.84000000000077
GBP_USD,8,5,833.2999999999989,-29.979999999999905,90,-141.40000000000026,-448.0800000000011,25,6,1,-33.63999999999946,-441.84000000000077
GBP_USD,8,10,499.040000000001,-105.68000000000063,74,-133.7800000000048,-452.0800000000029,27,7,1,-44.58000000000397,-441.84000000000077
GBP_USD,8,15,608.9199999999979,-144.2400000000007,117,777.7800000000016,-239.83999999999867,103,34,1,-244.45999999999952,-239.8399999999986
GBP_USD,8,20,504.44000000000165,-153.50000000000148,129,105.87999999999573,-326.640000000001,48,15,1,-161.40000000000327,-326.640000000001
GBP_USD,12,3,726.4599999999931,-133.14000000000124,76,-80.60000000000389,-444.48000000000195,25,4,1,-9.96000000000309,-441.84000000000077
GBP_USD,12,5,880.879999999998,-28.43999999999926,83,-84.20000000000306,-448.0800000000011,25,4,1,-13.56000000000225,-441.84000000000077
GBP_USD,12,10,855.5399999999933,-25.739999999999327,94,-120.90000000000589,-452.0800000000029,25,5,1,-31.700000000005076,-441.84000000000077
GBP_USD,12,15,836.459999999995,-52.06000000000131,106,-119.94000000000125,-455.48000000000076,26,6,1,-30.74000000000045,-441.84000000000077
GBP_USD,12,20,826.979999999986,-61.76000000000488,118,-105.04000000000138,-461.280000000001,26,5,1,-34.40000000000056,-441.84000000000077
GBP_USD,24,3,-130.41999999999877,-404.33999999999935,18,-95.78000000000281,-444.48000000000195,22,2,1,-6.580000000002035,-441.84000000000077
GBP_USD,24,5,-113.95999999999918,-404.33999999999935,19,-99.38000000000198,-448.0800000000011,22,2,1,-10.180000000001193,-441.84000000000077
GBP_USD,24,10,-116.65999999999912,-404.33999999999935,19,-108.28000000000475,-452.0800000000029,22,2,1,-19.080000000003988,-441.84000000000077
GBP_USD,24,15,-123.25999999999794,-404.33999999999935,19,-118.58000000000118,-455.48000000000076,22,2,1,-29.38000000000041,-441.84000000000077
GBP_USD,24,20,711.1199999999941,-80.36000000000467,67,-110.62000000000177,-461.280000000001,23,2,1,-39.98000000000103,-441.84000000000077
CAD_JPY,2,3,-283.94000000000085,-436.2599999999994,39,-175.11999999999784,-302.15999999999946,27,18,1,-48.379999999997466,-274.2600000000004
CAD_JPY,2,5,-163.1199999999933,-439.43999999999767,87,532.6600000000127,-44.21999999999957,159,112,1,-315.31999999998646,-0.2600000000008982
CAD_JPY,2,10,-247.6000000000126,-464.48000000000474,225,438.2799999999919,-113.00000000000585,277,215,1,-688.4000000000075,1.8399999999991814
CAD_JPY,2,15,-446.1800000000102,-469.5400000000012,298,39.34000000000124,-116.06000000000643,181,150,1,-517.7999999999981,3.939999999999261
CAD_JPY,2,20,-958.9400000000146,-986.3200000000174,329,-231.1600000000015,-249.4400000000026,146,122,1,-592.9200000000011,-62.36000000000041
CAD_JPY,4,3,-68.41999999999109,-436.2599999999994,57,-127.19999999999908,-283.2000000000005,20,10,1,-17.099999999998634,-276.06000000000046
CAD_JPY,4,5,-140.15999999999804,-436.2599999999994,61,-156.199999999998,-292.0199999999979,20,11,1,-27.459999999998022,-276.26
CAD_JPY,4,10,351.3000000000008,-132.86000000000024,155,35.579999999996176,-290.67999999999995,62,35,1,-167.60000000000383,-276.26
CAD_JPY,4,15,-279.8800000000017,-445.57999999999663,58,52.65999999999124,-125.80000000000211,84,56,1,-382.86000000000837,-62.36000000000041
CAD_JPY,4,20,-231.80000000000013,-442.9799999999984,90,-81.32000000000167,-213.63999999999805,92,65,1,-498.40000000000134,-62.36000000000041
CAD_JPY,6,3,-352.99999999999767,-577.7799999999994,30,-120.30000000000055,-283.8000000000005,15,5,1,-15.200000000001229,-271.0599999999993
CAD_JPY,6,5,500.02000000000334,-122.25999999999937,98,-126.60000000000079,-286.5000000000006,15,5,1,-22.50000000000056,-270.06000000000023
CAD_JPY,6,10,394.1800000000015,-122.25999999999937,107,-80.01999999999963,-214.71999999999997,32,18,1,-116.48000000000005,-203.2599999999996
CAD_JPY,6,15,521.4799999999987,-59.55999999999983,152,-189.19999999999695,-281.39999999999696,35,21,1,-225.65999999999735,-203.2599999999996
CAD_JPY,6,20,-264.09999999999957,-436.57999999999913,45,-2.1600000000029667,-139.840000000001,71,45,1,-400.80000000000257,-62.36000000000041
CAD_JPY,8,3,-360.7199999999957,-578.0799999999994,27,-119.49999999999957,-283.5000000000005,15,5,1,-9.19999999999958,-276.26
CAD_JPY,8,5,-378.17999999999915,-575.6199999999993,28,-122.29999999999873,-286.29999999999967,15,5,1,-18.1999999999985,-270.06000000000023
CAD_JPY,8,10,563.0799999999965,-63.060000000000855,107,267.1800000000072,-178.77999999999855,62,28,1,-188.5799999999927,-152.76000000000005
CAD_JPY,8,15,444.7400000000008,-126.36000000000047,116,280.32000000000465,-89.65999999999889,68,32,1,-308.019999999996,-57.05999999999926
CAD_JPY,8,20,-128.12000000000882,-447.4000000000004,117,567.8400000000024,-80.28000000000031,121,53,1,-588.8799999999983,-78.75999999999914
CAD_JPY,12,3,-331.3799999999994,-576.4200000000003,23,-115.9800000000005,-281.9400000000005,13,3,1,-8.280000000000136,-273.66000000000037
CAD_JPY,12,5,-328.13999999999925,-568.02,24,-118.77999999999966,-284.73999999999967,13,3,1,-11.079999999999297,-273.66000000000037
CAD_JPY,12,10,-355.4399999999986,-576.779999999999,24,-112.94000000000014,-278.90000000000015,14,3,1,-23.48000000000024,-273.8599999999999
