pair,T_s_h,k,is_net,oos_net,oos_dd,oos_trades,avg_W,oos_tp,oos_scratch,oos_end
GBP_JPY,24,0.7,-1618.6000000000008,167.3999999999982,-176.00000000000185,28,23.47815957736355,23,4,1
GBP_JPY,24,1.0,-1618.6000000000008,138.19999999999644,-176.00000000000185,29,33.663800431605765,24,4,1
GBP_JPY,24,1.5,-1637.6000000000006,133.79999999999495,-176.00000000000185,32,54.45142067509944,26,5,1
GBP_JPY,24,2.0,-1656.4000000000021,55.39999999999575,-176.00000000000185,32,72.60189423346591,26,5,1
GBP_JPY,48,0.3,-1616.9000000000012,-292.7999999999999,-593.8999999999992,22,11.925577834733302,18,3,1
GBP_JPY,48,0.5,-1616.9000000000012,-329.79999999999757,-588.7999999999976,22,19.714141689458685,18,3,1
GBP_JPY,48,0.7,-1616.9000000000012,-332.69999999999465,-588.7999999999976,25,27.150251557573934,20,4,1
GBP_JPY,48,1.0,-1616.9000000000012,-352.90000000000055,-588.7999999999976,27,38.236737280267604,22,4,1
GBP_JPY,48,1.5,-1616.9000000000012,-357.59999999999945,-588.7999999999976,30,57.83113944248676,25,4,1
GBP_JPY,48,2.0,-1616.9000000000012,-370.29999999999916,-602.3999999999978,31,77.3695410179109,26,4,1
AUD_JPY,6,0.3,-1077.9200000000003,-630.5599999999994,-649.1799999999994,2,3.9653356173082437,1,0,1
AUD_JPY,6,0.5,-1081.4200000000012,-630.5599999999994,-649.1799999999994,2,6.60889269551374,1,0,1
AUD_JPY,6,0.7,-1095.7800000000002,-630.5599999999994,-649.1799999999994,2,9.252449773719235,1,0,1
AUD_JPY,6,1.0,535.859999999997,-630.5599999999994,-649.1799999999994,2,13.21778539102748,1,0,1
AUD_JPY,6,1.5,310.7399999999876,-630.5599999999994,-649.1799999999994,2,19.826678086541218,1,0,1
AUD_JPY,6,2.0,-820.9400000000069,-139.74000000000075,-541.0799999999997,58,43.4810992293794,40,17,1
AUD_JPY,8,0.3,596.2599999999983,-630.5599999999994,-649.1799999999994,2,3.9653356173082437,1,0,1
AUD_JPY,8,0.5,501.0799999999965,-630.5599999999994,-649.1799999999994,2,6.60889269551374,1,0,1
AUD_JPY,8,0.7,346.2400000000005,-630.5599999999994,-649.1799999999994,2,9.252449773719235,1,0,1
AUD_JPY,8,1.0,380.7400000000033,-630.5599999999994,-649.1799999999994,2,13.21778539102748,1,0,1
AUD_JPY,8,1.5,-1003.8800000000024,-630.5599999999994,-649.1799999999994,2,19.826678086541218,1,0,1
AUD_JPY,8,2.0,-1088.6000000000013,-630.5599999999994,-649.1799999999994,2,26.43557078205496,1,0,1
AUD_JPY,12,0.3,-1071.4000000000012,-630.5599999999994,-649.1799999999994,2,3.9653356173082437,1,0,1
AUD_JPY,12,0.5,-1079.5000000000014,-630.5599999999994,-649.1799999999994,2,6.60889269551374,1,0,1
AUD_JPY,12,0.7,-216.840000000004,-630.5599999999994,-649.1799999999994,2,9.252449773719235,1,0,1
AUD_JPY,12,1.0,-53.14000000000283,-630.5599999999994,-649.1799999999994,2,13.21778539102748,1,0,1
AUD_JPY,12,1.5,-1008.4000000000038,-630.5599999999994,-649.1799999999994,2,19.826678086541218,1,0,1
AUD_JPY,12,2.0,-1029.7600000000034,-630.5599999999994,-649.1799999999994,2,26.43557078205496,1,0,1
AUD_JPY,24,0.3,-1048.100000000001,-630.5599999999994,-649.1799999999994,2,3.9653356173082437,1,0,1
AUD_JPY,24,0.5,-1060.1000000000013,-630.5599999999994,-649.1799999999994,2,6.60889269551374,1,0,1
AUD_JPY,24,0.7,-1045.4800000000005,-630.5599999999994,-649.1799999999994,2,9.252449773719235,1,0,1
AUD_JPY,24,1.0,-1049.0800000000006,-630.5599999999994,-649.1799999999994,2,13.21778539102748,1,0,1
AUD_JPY,24,1.5,-1073.2800000000009,-630.5599999999994,-649.1799999999994,2,19.826678086541218,1,0,1
