ci,name,is_pnl,is_mean,is_ntrd,c0,c1,c2
357,b5_r2_n8_E2_X3c_2_3,5356.9,4.369,1226,43.6,2604.4,2708.9
2407,b30_r2_n4_E1_X7_3,5036.3,26.507,190,316.8,3298.8,1420.7
626,b10_r1_n4_E2_X3c_1_5,4833.5,4.725,1023,243.3,2214.5,2375.7
625,b10_r1_n4_E2_X3c_1_3,4783.9,4.681,1022,243.3,2209.1,2331.5
619,b10_r1_n4_E2_X3b_1,4775.1,4.691,1018,243.3,2252.1,2279.7
2409,b30_r2_n4_E1_X7_8,4596.6,24.713,186,1145.7,3254.7,196.2
177,b5_r1_n8_E2_X3c_2_3,4434.8,8.595,516,113.2,1999.2,2322.4
170,b5_r1_n8_E2_X3b_2,4409.3,8.578,514,113.2,2010.1,2286.0
178,b5_r1_n8_E2_X3c_2_5,4395.1,8.518,516,113.2,1985.4,2296.5
162,b5_r1_n8_E1_X3c_2_3,4229.3,7.818,541,65.6,1944.1,2219.6
2362,b30_r2_n2_E2_X7_3,4198.7,20.889,201,373.1,2247.8,1577.8
155,b5_r1_n8_E1_X3b_2,4192.5,7.778,539,63.5,1939.6,2189.4
163,b5_r1_n8_E1_X3c_2_5,4169.9,7.708,541,63.5,1914.9,2191.5
1817,b20_r2_n2_E2_X1_8,4158.8,11.002,378,641.5,2502.9,1014.4
