ci,name,is_pnl,is_ntrd,c0,c1,c2
1018,b3_r3_n5_E2_X3c_2_5,43997.7,20000,8922.5,30581.9,4493.3
1017,b3_r3_n5_E2_X3c_2_3,43841.9,20000,8827.3,30538.3,4476.3
1010,b3_r3_n5_E2_X3b_2,43408.0,20000,8784.0,30194.3,4429.7
1189,b4_r1_n5_E2_X3b_1,42781.8,6750,8933.3,27329.2,6519.3
1571,b4_r3_n6_E1_X3c_1_5,42734.4,11236,10445.3,25857.3,6431.8
1564,b4_r3_n6_E1_X3b_1,42709.1,11228,10427.7,25872.7,6408.7
1570,b4_r3_n6_E1_X3c_1_3,42706.9,11232,10433.6,25856.8,6416.5
1196,b4_r1_n5_E2_X3c_1_5,42693.9,6758,8907.2,27303.8,6482.9
1195,b4_r1_n5_E2_X3c_1_3,42685.7,6759,8906.9,27265.3,6513.5
1174,b4_r1_n5_E1_X3b_1,42369.8,6842,8800.2,27112.4,6457.2
1181,b4_r1_n5_E1_X3c_1_5,42312.0,6852,8763.9,27120.3,6427.8
1180,b4_r1_n5_E1_X3c_1_3,42289.1,6853,8753.8,27084.7,6450.6
658,b3_r1_n5_E2_X3c_2_5,41965.8,16633,8802.0,27030.2,6133.6
657,b3_r1_n5_E2_X3c_2_3,41793.5,16596,8850.8,26885.3,6057.4
643,b3_r1_n5_E1_X3c_2_5,41685.6,16744,8715.7,26908.1,6061.8
650,b3_r1_n5_E2_X3b_2,41466.2,16419,8728.0,26690.5,6047.7
642,b3_r1_n5_E1_X3c_2_3,41455.6,16707,8748.8,26728.1,5978.7
635,b3_r1_n5_E1_X3b_2,41139.7,16520,8620.7,26524.1,5994.9
1706,b5_r1_n4_E2_X3c_1_5,39656.8,7314,8326.6,25162.2,6168.0
1699,b5_r1_n4_E2_X3b_1,39596.4,7291,8289.4,25179.4,6127.6
1705,b5_r1_n4_E2_X3c_1_3,39557.1,7309,8272.0,25147.8,6137.3
1691,b5_r1_n4_E1_X3c_1_5,39054.9,7660,8186.9,24801.5,6066.5
1690,b5_r1_n4_E1_X3c_1_3,38945.2,7652,8140.0,24762.3,6042.9
1684,b5_r1_n4_E1_X3b_1,38901.7,7626,8119.1,24740.9,6041.7
1048,b3_r3_n6_E2_X3c_2_5,38042.8,12843,8153.7,25065.5,4823.6
1047,b3_r3_n6_E2_X3c_2_3,37973.0,12829,8109.1,25061.9,4802.0
1040,b3_r3_n6_E2_X3b_2,37863.1,12781,8069.9,25063.4,4729.8
539,b2_r3_n8_E2_X3c_3_5,37778.4,13952,7511.4,24790.7,5476.3
531,b2_r3_n8_E2_X3b_3,37739.9,13849,7529.5,24769.8,5440.6
359,b2_r2_n8_E2_X3c_3_5,37739.5,12076,7599.5,24463.5,5676.5
351,b2_r2_n8_E2_X3b_3,37683.0,11977,7620.6,24373.1,5689.3
823,b3_r2_n5_E1_X3c_2_5,37584.3,20000,7553.8,25933.5,4097.0
822,b3_r2_n5_E1_X3c_2_3,37581.5,20000,7574.7,25866.7,4140.1
344,b2_r2_n8_E1_X3c_3_5,37534.1,12190,7509.5,24310.3,5714.3
336,b2_r2_n8_E1_X3b_3,37483.2,12088,7547.3,24204.8,5731.1
179,b2_r1_n8_E2_X3c_3_5,37442.4,12012,7499.0,24236.2,5707.2
164,b2_r1_n8_E1_X3c_3_5,37411.4,12016,7484.9,24221.1,5705.4
171,b2_r1_n8_E2_X3b_3,37332.0,11910,7519.0,24126.2,5686.8
156,b2_r1_n8_E1_X3b_3,37292.9,11914,7496.8,24111.1,5685.0
815,b3_r2_n5_E1_X3b_2,37104.7,20000,7454.8,25537.3,4112.6
1054,b3_r3_n8_E1_X3b_1,36157.6,6263,8148.6,21883.6,6125.4
1060,b3_r3_n8_E1_X3c_1_3,36126.4,6263,8148.6,21852.4,6125.4
1061,b3_r3_n8_E1_X3c_1_5,36120.9,6263,8148.6,21846.9,6125.4
860,b3_r2_n6_E2_X3b_2,35813.7,9419,7291.6,23067.5,5454.6
1579,b4_r3_n6_E2_X3b_1,35663.8,6756,7553.7,23236.9,4873.2
1585,b4_r3_n6_E2_X3c_1_3,35640.3,6756,7559.6,23207.5,4873.2
