ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
298,b5_r2_n5_E2_X3c_2_5,4983.2,4353,0.0,8.59,1,811.7,1575,1.9,1
297,b5_r2_n5_E2_X3c_2_3,4890.4,4341,0.0,8.47,1,790.9,1570,1.85,1
177,b5_r1_n8_E2_X3c_2_3,3629.1,374,0.0,7.3,1,758.8,117,1.78,1
178,b5_r1_n8_E2_X3c_2_5,3651.9,374,0.0,7.36,1,755.6,117,1.77,1
170,b5_r1_n8_E2_X3b_2,3641.8,373,0.0,7.39,1,755.6,117,1.77,1
163,b5_r1_n8_E1_X3c_2_5,3564.9,402,0.0,7.14,1,736.1,132,1.73,1
162,b5_r1_n8_E1_X3c_2_3,3536.8,402,0.0,7.11,1,735.7,132,1.72,1
155,b5_r1_n8_E1_X3b_2,3558.0,401,0.0,7.09,1,729.5,132,1.71,1
461,b5_r3_n5_E1_X3c_1_5,10836.9,8239,0.0,22.36,1,691.6,2878,1.62,1
454,b5_r3_n5_E1_X3b_1,10733.0,8235,0.0,22.13,1,691.6,2878,1.62,1
460,b5_r3_n5_E1_X3c_1_3,10828.3,8238,0.0,22.28,1,691.6,2878,1.62,1
626,b10_r1_n4_E2_X3c_1_5,3597.3,881,0.0,6.61,1,674.8,330,1.58,1
357,b5_r2_n8_E2_X3c_2_3,3641.8,993,0.0,6.84,1,671.9,409,1.58,1
358,b5_r2_n8_E2_X3c_2_5,3661.6,994,0.0,6.86,1,671.9,409,1.58,1
350,b5_r2_n8_E2_X3b_2,3653.3,992,0.0,6.84,1,671.9,409,1.58,1
625,b10_r1_n4_E2_X3c_1_3,3597.3,881,0.0,6.61,1,674.8,330,1.58,1
619,b10_r1_n4_E2_X3b_1,3578.2,881,0.0,6.57,1,674.8,330,1.58,1
649,b10_r1_n5_E2_X3b_1,2710.8,414,0.0,5.01,1,632.9,177,1.48,1
26,b5_r1_n2_E2_X3c_1_5,37207.3,19205,0.0,83.32,1,630.8,795,1.48,1
475,b5_r3_n5_E2_X3c_1_3,8526.5,5586,0.0,17.04,1,632.9,1995,1.48,1
476,b5_r3_n5_E2_X3c_1_5,8517.4,5586,0.0,17.02,1,632.9,1995,1.48,1
656,b10_r1_n5_E2_X3c_1_5,2710.8,414,0.0,5.01,1,632.9,177,1.48,1
655,b10_r1_n5_E2_X3c_1_3,2710.8,414,0.0,5.01,1,632.9,177,1.48,1
290,b5_r2_n5_E2_X3b_2,4752.5,4332,0.0,8.11,1,609.7,1565,1.43,1
25,b5_r1_n2_E2_X3c_1_3,36954.5,19127,0.0,82.71,1,604.3,873,1.42,1
469,b5_r3_n5_E2_X3b_1,8517.4,5586,0.0,17.02,1,593.0,1993,1.39,1
686,b10_r1_n6_E2_X3c_1_5,1976.3,189,0.0,3.52,1,538.3,78,1.26,1
679,b10_r1_n6_E2_X3b_1,1976.3,189,0.0,3.52,1,538.3,78,1.26,1
685,b10_r1_n6_E2_X3c_1_3,1976.3,189,0.0,3.52,1,538.3,78,1.26,1
141,b5_r1_n6_E2_X3b_3,2978.4,992,0.0,5.09,1,505.2,278,1.18,1
149,b5_r1_n6_E2_X3c_3_5,2869.1,1011,0.0,5.01,1,488.6,280,1.15,1
664,b10_r1_n6_E1_X3b_1,1726.3,360,0.0,2.68,1,422.5,156,0.99,1
671,b10_r1_n6_E1_X3c_1_5,1726.3,360,0.0,2.68,1,422.5,156,0.99,1
670,b10_r1_n6_E1_X3c_1_3,1726.3,360,0.0,2.68,1,422.5,156,0.99,1
171,b5_r1_n8_E2_X3b_3,2791.3,362,0.0,5.21,1,384.0,113,0.9,1
709,b10_r1_n8_E2_X3b_1,896.7,46,0.0,1.43,1,339.2,20,0.8,1
715,b10_r1_n8_E2_X3c_1_3,896.7,46,0.0,1.43,1,339.2,20,0.8,1
716,b10_r1_n8_E2_X3c_1_5,896.7,46,0.0,1.43,1,339.2,20,0.8,1
156,b5_r1_n8_E1_X3b_3,2619.4,387,0.0,4.72,1,339.7,128,0.8,1
126,b5_r1_n6_E1_X3b_3,2580.8,1215,0.0,3.82,1,319.4,377,0.75,1
179,b5_r1_n8_E2_X3c_3_5,2638.3,366,0.0,4.97,1,313.9,114,0.74,1
896,b10_r2_n8_E2_X3c_1_5,757.1,341,0.004,0.7,1,311.8,127,0.73,1
889,b10_r2_n8_E2_X3b_1,757.1,341,0.004,0.7,1,311.8,127,0.73,1
343,b5_r2_n8_E1_X3c_2_5,2820.1,1498,0.0,4.68,1,313.2,640,0.73,1
342,b5_r2_n8_E1_X3c_2_3,2807.5,1496,0.0,4.73,1,313.3,640,0.73,1
335,b5_r2_n8_E1_X3b_2,2809.1,1495,0.0,4.72,1,313.3,640,0.73,1
895,b10_r2_n8_E2_X3c_1_3,757.1,341,0.004,0.7,1,311.8,127,0.73,1
164,b5_r1_n8_E1_X3c_3_5,2488.7,391,0.0,4.53,1,290.4,129,0.68,1
103,b5_r1_n5_E1_X3c_2_5,5196.6,2747,0.0,10.03,1,265.3,935,0.62,1
694,b10_r1_n8_E1_X3b_1,747.4,77,0.0,1.02,1,256.7,35,0.6,1
701,b10_r1_n8_E1_X3c_1_5,747.4,77,0.0,1.02,1,256.7,35,0.6,1
700,b10_r1_n8_E1_X3c_1_3,747.4,77,0.0,1.02,1,256.7,35,0.6,1
134,b5_r1_n6_E1_X3c_3_5,2459.5,1241,0.0,3.8,1,231.9,381,0.54,1
687,b10_r1_n6_E2_X3c_2_3,1490.0,183,0.0,2.26,1,217.4,78,0.51,1
717,b10_r1_n8_E2_X3c_2_3,655.0,46,0.0,0.87,1,208.5,20,0.49,1
102,b5_r1_n5_E1_X3c_2_3,5188.3,2750,0.0,10.03,1,203.9,940,0.48,1
718,b10_r1_n8_E2_X3c_2_5,694.0,46,0.0,0.93,1,178.9,20,0.42,1
710,b10_r1_n8_E2_X3b_2,655.7,46,0.0,0.87,1,178.9,20,0.42,1
688,b10_r1_n6_E2_X3c_2_5,1498.7,185,0.0,2.27,1,165.8,78,0.39,1
665,b10_r1_n6_E1_X3b_2,1075.2,347,0.005,0.91,1,163.6,151,0.38,1
680,b10_r1_n6_E2_X3b_2,1526.7,183,0.0,2.32,1,150.9,78,0.35,1
95,b5_r1_n5_E1_X3b_2,4901.6,2727,0.0,9.21,1,131.5,933,0.31,1
1801,b20_r2_n2_E1_X1_5,2930.6,518,0.043,0.15,1,112.9,168,0.26,1
673,b10_r1_n6_E1_X3c_2_5,1153.8,350,0.008,1.01,1,36.7,152,0.09,1
711,b10_r1_n8_E2_X3b_3,631.0,46,0.009,0.55,1,32.1,20,0.08,1
681,b10_r1_n6_E2_X3b_3,1373.1,181,0.0,1.63,1,-22.6,75,-0.05,0
119,b5_r1_n5_E2_X3c_3_5,2666.3,1982,0.0,3.99,1,-27.7,569,-0.06,0
689,b10_r1_n6_E2_X3c_3_5,1245.9,184,0.0,1.52,1,-73.0,77,-0.17,0
628,b10_r1_n4_E2_X3c_2_5,2133.9,822,0.001,2.55,1,-90.3,312,-0.21,0
657,b10_r1_n5_E2_X3c_2_3,1555.8,398,0.0,1.99,1,-122.3,175,-0.29,0
672,b10_r1_n6_E1_X3c_2_3,1089.8,349,0.003,0.95,1,-136.9,152,-0.32,0
