ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
588,b5_r1_n6_E2_X3c_2_3,0,9892.2,1563,0.0,21.42,1
500,b5_r1_n6_E1_X3b_2,0,9876.1,1578,0.0,21.44,1
560,b5_r1_n6_E2_X3b_2,0,9832.7,1559,0.0,21.2,1
1100,b5_r2_n5_E1_X3b_2,0,9565.6,6442,0.0,19.55,1
1248,b5_r2_n6_E1_X3c_2_3,0,9455.1,2780,0.0,20.13,1
3160,b10_r2_n4_E1_X3c_1_3,0,9453.6,4756,0.0,19.24,1
3164,b10_r2_n4_E1_X3c_1_5,0,9442.9,4758,0.0,19.18,1
1252,b5_r2_n6_E1_X3c_2_5,0,9389.5,2779,0.0,19.86,1
3136,b10_r2_n4_E1_X3b_1,0,9309.0,4751,0.0,18.7,1
1220,b5_r2_n6_E1_X3b_2,0,8993.4,2769,0.0,18.84,1
2032,b5_r3_n6_E2_X3c_2_5,0,8738.1,4397,0.0,17.81,1
2028,b5_r3_n6_E2_X3c_2_3,0,8679.0,4392,0.0,17.59,1
2000,b5_r3_n6_E2_X3b_2,0,8558.0,4388,0.0,17.37,1
3220,b10_r2_n4_E2_X3c_1_3,0,8498.3,1868,0.0,17.74,1
3224,b10_r2_n4_E2_X3c_1_5,0,8488.1,1868,0.0,17.74,1
3196,b10_r2_n4_E2_X3b_1,0,8478.3,1868,0.0,17.7,1
1336,b5_r2_n8_E1_X3b_1,0,8476.4,700,0.0,18.39,1
1396,b5_r2_n8_E2_X3b_1,0,8468.6,616,0.0,18.43,1
1364,b5_r2_n8_E1_X3c_1_5,0,8467.5,701,0.0,18.29,1
1360,b5_r2_n8_E1_X3c_1_3,0,8467.5,701,0.0,18.29,1
1420,b5_r2_n8_E2_X3c_1_3,0,8459.7,617,0.0,18.39,1
1424,b5_r2_n8_E2_X3c_1_5,0,8459.7,617,0.0,18.39,1
200,b5_r1_n3_E2_X3b_2,0,8370.6,17480,0.0,15.02,1
676,b5_r1_n8_E2_X3b_1,0,7661.2,537,0.0,16.57,1
616,b5_r1_n8_E1_X3b_1,0,7657.6,538,0.0,16.51,1
640,b5_r1_n8_E1_X3c_1_3,0,7652.7,539,0.0,16.55,1
704,b5_r1_n8_E2_X3c_1_5,0,7652.3,538,0.0,16.52,1
700,b5_r1_n8_E2_X3c_1_3,0,7652.3,538,0.0,16.52,1
644,b5_r1_n8_E1_X3c_1_5,0,7648.7,539,0.0,16.54,1
2504,b10_r1_n4_E2_X3c_1_5,0,7156.0,675,0.0,15.26,1
2500,b10_r1_n4_E2_X3c_1_3,0,7134.4,675,0.0,15.2,1
2476,b10_r1_n4_E2_X3b_1,0,7126.3,674,0.0,15.23,1
2444,b10_r1_n4_E1_X3c_1_5,0,6847.4,743,0.0,14.43,1
2440,b10_r1_n4_E1_X3c_1_3,0,6846.8,743,0.0,14.43,1
2416,b10_r1_n4_E1_X3b_1,0,6737.7,741,0.0,14.24,1
2152,b5_r3_n8_E2_X3c_2_5,0,6330.2,1668,0.0,12.88,1
2148,b5_r3_n8_E2_X3c_2_3,0,6311.4,1666,0.0,12.82,1
3284,b10_r2_n5_E1_X3c_1_5,0,6306.4,1983,0.0,12.63,1
3256,b10_r2_n5_E1_X3b_1,0,6274.2,1982,0.0,12.57,1
3280,b10_r2_n5_E1_X3c_1_3,0,6274.2,1982,0.0,12.57,1
2120,b5_r3_n8_E2_X3b_2,0,6253.1,1663,0.0,12.66,1
6580,b20_r1_n2_E2_X3c_1_3,0,6230.0,804,0.0,12.92,1
6584,b20_r1_n2_E2_X3c_1_5,0,6107.1,804,0.0,12.53,1
3344,b10_r2_n5_E2_X3c_1_5,0,6065.2,882,0.0,12.37,1
3340,b10_r2_n5_E2_X3c_1_3,0,6065.2,882,0.0,12.37,1
3316,b10_r2_n5_E2_X3b_1,0,6056.1,882,0.0,12.34,1
1432,b5_r2_n8_E2_X3c_2_5,0,5884.8,613,0.0,12.43,1
6556,b20_r1_n2_E2_X3b_1,0,5877.1,780,0.0,11.74,1
1400,b5_r2_n8_E2_X3b_2,0,5859.9,612,0.0,12.32,1
1428,b5_r2_n8_E2_X3c_2_3,0,5853.3,613,0.0,12.36,1
3880,b10_r3_n4_E1_X3c_1_3,0,5797.2,4819,0.0,10.47,1
3884,b10_r3_n4_E1_X3c_1_5,0,5771.2,4821,0.0,10.35,1
3856,b10_r3_n4_E1_X3b_1,0,5724.5,4817,0.0,10.46,1
1372,b5_r2_n8_E1_X3c_2_5,0,5699.7,692,0.0,11.91,1
1368,b5_r2_n8_E1_X3c_2_3,0,5691.8,692,0.0,11.91,1
4004,b10_r3_n5_E1_X3c_1_5,0,5675.5,3120,0.0,10.56,1
4000,b10_r3_n5_E1_X3c_1_3,0,5668.2,3119,0.0,10.61,1
1340,b5_r2_n8_E1_X3b_2,0,5649.4,690,0.0,11.79,1
3976,b10_r3_n5_E1_X3b_1,0,5611.0,3117,0.0,10.61,1
4540,b15_r1_n3_E2_X3c_1_3,0,5453.4,564,0.0,11.44,1
476,b5_r1_n5_E2_X3c_3_5,0,5450.8,2973,0.0,10.33,1
4544,b15_r1_n3_E2_X3c_1_5,0,5406.5,567,0.0,11.23,1
5348,b15_r2_n4_E2_X1_8,0,5402.0,386,0.001,5.96,1
652,b5_r1_n8_E1_X3c_2_5,0,5357.0,531,0.0,11.19,1
712,b5_r1_n8_E2_X3c_2_5,0,5355.6,530,0.0,11.26,1
620,b5_r1_n8_E1_X3b_2,0,5346.2,530,0.0,11.13,1
2092,b5_r3_n8_E1_X3c_2_5,0,5342.4,2613,0.0,10.29,1
680,b5_r1_n8_E2_X3b_2,0,5340.0,529,0.0,11.1,1
648,b5_r1_n8_E1_X3c_2_3,0,5337.1,531,0.0,11.14,1
708,b5_r1_n8_E2_X3c_2_3,0,5336.7,530,0.0,11.24,1
416,b5_r1_n5_E1_X3c_3_5,0,5332.8,3030,0.0,10.17,1
2088,b5_r3_n8_E1_X3c_2_3,0,5289.7,2610,0.0,10.2,1
4480,b15_r1_n3_E1_X3c_1_3,0,5251.7,745,0.0,10.76,1
2060,b5_r3_n8_E1_X3b_2,0,5228.2,2607,0.0,9.99,1
