ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1220,b15_r1_n6_E2_X3b_2,1012.7,103,0.004,1.15,1,886.2,81,2.08,1
1258,b15_r1_n8_E2_X3c_2_5,641.6,30,0.007,0.6,1,840.8,19,1.97,1
1235,b15_r1_n8_E1_X3b_2,714.1,42,0.007,0.58,1,833.3,34,1.95,1
1257,b15_r1_n8_E2_X3c_2_3,650.6,30,0.007,0.62,1,833.4,19,1.95,1
1190,b15_r1_n5_E2_X3b_2,2013.1,214,0.0,2.23,1,818.5,155,1.92,1
1243,b15_r1_n8_E1_X3c_2_5,746.6,42,0.007,0.62,1,790.2,34,1.85,1
1766,b20_r1_n6_E2_X3c_1_5,490.0,52,0.023,0.19,1,775.8,45,1.82,1
1765,b20_r1_n6_E2_X3c_1_3,490.0,52,0.023,0.19,1,775.8,45,1.82,1
1759,b20_r1_n6_E2_X3b_1,490.0,52,0.023,0.19,1,775.8,45,1.82,1
741,b10_r2_n2_E2_X3b_3,3602.9,2504,0.018,1.94,1,743.9,1599,1.74,1
1272,b15_r2_n2_E1_X3c_2_3,3676.4,3298,0.037,0.18,1,703.1,2112,1.65,1
689,b10_r1_n6_E2_X3c_3_5,1916.8,245,0.0,2.61,1,631.3,151,1.48,1
644,b10_r1_n5_E1_X3c_3_5,1422.6,847,0.037,0.31,1,315.0,546,0.74,1
959,b10_r3_n3_E2_X3c_3_5,3319.1,2688,0.036,1.06,1,51.4,1770,0.12,1
929,b10_r3_n2_E2_X3c_3_5,3368.6,2689,0.033,1.08,1,51.4,1770,0.12,1
2181,b30_r1_n2_E2_X3b_3,3885.8,280,0.026,1.42,1,38.0,171,0.09,1
25,b5_r1_n2_E2_X3c_1_3,48838.6,20000,0.0,110.28,1,0.0,0,0.0,0
19,b5_r1_n2_E2_X3b_1,49040.5,20000,0.0,110.34,1,0.0,0,0.0,0
26,b5_r1_n2_E2_X3c_1_5,48858.9,20000,0.0,110.05,1,0.0,0,0.0,0
1086,b15_r1_n2_E1_X3b_3,4762.5,1657,0.022,2.35,1,-215.4,1042,-0.5,0
2057,b20_r3_n4_E2_X1_8,3062.9,238,0.045,-0.13,1,-291.2,147,-0.68,0
921,b10_r3_n2_E2_X3b_3,3345.5,2673,0.045,0.9,1,-500.9,1753,-1.17,0
951,b10_r3_n3_E2_X3b_3,3296.0,2672,0.031,0.61,1,-500.9,1753,-1.17,0
