ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
3344,b10_r2_n5_E2_X3c_1_5,0,8414.6,1095,199.8,4086.6,4128.2
6580,b20_r1_n2_E2_X3c_1_3,0,8343.5,1326,423.8,4036.1,3883.6
6556,b20_r1_n2_E2_X3b_1,0,8075.2,1288,466.5,3925.2,3683.5
1428,b5_r2_n8_E2_X3c_2_3,0,8015.3,916,344.5,3991.6,3679.2
1400,b5_r2_n8_E2_X3b_2,0,8012.5,914,342.2,4030.0,3640.3
1432,b5_r2_n8_E2_X3c_2_5,0,7976.5,916,326.9,3999.3,3650.3
1368,b5_r2_n8_E1_X3c_2_3,0,7632.3,1002,246.9,3867.1,3518.3
1340,b5_r2_n8_E1_X3b_2,0,7622.5,1000,230.0,3905.5,3487.0
4096,b10_r3_n6_E1_X3b_1,0,7593.3,2599,120.2,4229.8,3243.3
4124,b10_r3_n6_E1_X3c_1_5,0,7593.3,2599,120.2,4229.8,3243.3
4120,b10_r3_n6_E1_X3c_1_3,0,7593.3,2599,120.2,4229.8,3243.3
1372,b5_r2_n8_E1_X3c_2_5,0,7578.1,1002,214.7,3874.8,3488.6
708,b5_r1_n8_E2_X3c_2_3,0,7516.6,857,280.2,3615.5,3620.9
680,b5_r1_n8_E2_X3b_2,0,7513.4,856,272.0,3643.2,3598.2
712,b5_r1_n8_E2_X3c_2_5,0,7499.7,857,280.2,3619.7,3599.8
648,b5_r1_n8_E1_X3c_2_3,0,7472.4,861,280.2,3582.2,3610.0
620,b5_r1_n8_E1_X3b_2,0,7459.5,860,272.0,3600.2,3587.3
10110,b30_r3_n2_E1_X7_3_bf5,5,7446.2,196,889.7,3652.5,2904.0
10230,b30_r3_n3_E1_X7_3_bf5,5,7446.2,196,889.7,3652.5,2904.0
652,b5_r1_n8_E1_X3c_2_5,0,7445.8,861,280.2,3576.7,3588.9
564,b5_r1_n6_E2_X3b_3,0,7400.4,2454,257.0,3629.2,3514.2
1284,b5_r2_n6_E2_X3b_3,0,7351.7,2966,129.3,4259.4,2963.0
504,b5_r1_n6_E1_X3b_3,0,7309.0,2476,253.6,3560.5,3494.9
