ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
1761,b20_r1_n6_E2_X3b_3,627.0,70,0.143,976.9,-0.53,0
1358,b15_r2_n5_E1_X7_5,3035.5,648,0.08,3516.7,-0.61,0
682,b10_r1_n6_E2_X7_3,382.7,185,0.225,879.4,-0.8,0
860,b10_r2_n6_E2_X3b_2,681.0,915,0.16,1153.2,-0.83,0
867,b10_r2_n6_E2_X3c_2_3,671.1,915,0.165,1148.2,-0.84,0
1397,b15_r2_n6_E2_X1_8,2175.2,343,0.096,2780.6,-0.88,0
894,b10_r2_n8_E2_X7_8,1267.3,317,0.142,1870.9,-0.96,0
1389,b15_r2_n6_E1_X7_8,2615.0,490,0.078,3125.5,-0.99,0
2598,b30_r3_n4_E2_X2,2473.6,262,0.105,3294.7,-1.07,0
1829,b20_r2_n2_E2_X3c_3_5,2135.1,676,0.118,3083.2,-1.25,0
1404,b15_r2_n6_E2_X7_8,1871.4,333,0.123,2689.2,-1.29,0
2402,b30_r2_n4_E1_X1_8,2804.0,180,0.115,4142.0,-1.32,0
1402,b15_r2_n6_E2_X7_3,1556.9,342,0.141,2367.7,-1.36,0
2601,b30_r3_n4_E2_X3b_3,2110.1,261,0.114,2859.2,-1.38,0
1567,b15_r3_n6_E1_X7_3,2797.8,392,0.109,3717.5,-1.4,0
2363,b30_r2_n2_E2_X7_5,2852.0,191,0.116,3841.7,-1.41,0
2609,b30_r3_n4_E2_X3c_3_5,2081.2,262,0.134,2995.5,-1.46,0
982,b10_r3_n4_E2_X7_3,2518.3,852,0.117,3574.5,-1.5,0
2416,b30_r2_n4_E2_X1_5,1708.6,197,0.155,2826.6,-1.52,0
1821,b20_r2_n2_E2_X3b_3,1889.7,673,0.139,2848.5,-1.82,0
1547,b15_r3_n5_E2_X1_8,1790.1,422,0.168,2936.1,-1.82,0
2397,b30_r2_n3_E2_X3c_2_3,1220.0,427,0.214,2555.2,-2.04,0
2398,b30_r2_n3_E2_X3c_2_5,1220.0,427,0.214,2555.2,-2.04,0
2390,b30_r2_n3_E2_X3b_2,1180.1,426,0.22,2386.3,-2.05,0
2408,b30_r2_n4_E1_X7_5,2568.1,197,0.136,3919.4,-2.16,0
2088,b20_r3_n5_E2_X2,864.1,426,0.276,2311.6,-2.21,0
1822,b20_r2_n2_E2_X7_3,2304.3,460,0.16,3640.1,-2.37,0
2628,b30_r3_n5_E2_X2,1156.4,199,0.212,2654.5,-2.41,0
2064,b20_r3_n4_E2_X7_8,1975.5,194,0.188,3751.5,-2.42,0
1892,b20_r2_n5_E1_X1_8,1857.3,351,0.205,3770.1,-2.55,0
2058,b20_r3_n4_E2_X2,949.9,554,0.27,2555.1,-2.61,0
1494,b15_r3_n3_E2_X7_8,2119.9,391,0.173,3700.2,-2.69,0
1464,b15_r3_n2_E2_X7_8,2119.9,391,0.173,3700.2,-2.69,0
1403,b15_r2_n6_E2_X7_5,826.7,334,0.308,2567.7,-2.8,0
1457,b15_r3_n2_E2_X1_8,1414.4,541,0.241,3260.0,-2.92,0
1487,b15_r3_n3_E2_X1_8,1414.4,541,0.241,3260.0,-2.92,0
923,b10_r3_n2_E2_X7_5,1717.1,937,0.232,3800.5,-2.94,0
922,b10_r3_n2_E2_X7_3,1772.6,970,0.221,3750.3,-3.13,0
983,b10_r3_n4_E2_X7_5,1458.7,831,0.278,3539.1,-3.17,0
2583,b30_r3_n4_E1_X2,1796.6,350,0.213,3609.5,-3.2,0
953,b10_r3_n3_E2_X7_5,1669.7,938,0.22,3508.1,-3.31,0
2341,b30_r2_n2_E1_X1_5,1426.1,320,0.269,3422.6,-3.53,0
952,b10_r3_n3_E2_X7_3,1717.1,971,0.225,3640.2,-3.63,0
1517,b15_r3_n4_E2_X1_8,737.8,468,0.353,3217.3,-3.85,0
2057,b20_r3_n4_E2_X1_8,723.1,251,0.366,3086.3,-3.91,0
937,b10_r3_n3_E1_X7_3,1302.0,1111,0.318,3971.4,-4.24,0
907,b10_r3_n2_E1_X7_3,1357.0,1110,0.275,3722.7,-4.3,0
997,b10_r3_n5_E1_X7_3,244.1,1026,0.493,3663.5,-5.84,0
