ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
687,b10_r1_n6_E2_X3c_2_3,1499.6,219,0.0,2.2,1,139.6,60,0.33,1
695,b10_r1_n8_E1_X3b_2,704.4,98,0.0,0.73,1,124.0,21,0.29,1
703,b10_r1_n8_E1_X3c_2_5,688.3,98,0.0,0.72,1,118.4,21,0.28,1
702,b10_r1_n8_E1_X3c_2_3,696.3,98,0.0,0.75,1,116.8,21,0.27,1
719,b10_r1_n8_E2_X3c_3_5,821.1,67,0.002,0.98,1,84.8,14,0.2,1
674,b10_r1_n6_E1_X3c_3_5,1205.1,385,0.012,0.67,1,79.8,102,0.19,1
711,b10_r1_n8_E2_X3b_3,818.5,67,0.001,0.95,1,75.8,14,0.18,1
650,b10_r1_n5_E2_X3b_2,1835.6,449,0.0,2.48,1,63.9,116,0.15,1
704,b10_r1_n8_E1_X3c_3_5,701.6,96,0.014,0.45,1,37.2,21,0.09,1
620,b10_r1_n4_E2_X3b_2,1550.3,1030,0.016,1.05,1,21.2,287,0.05,1
681,b10_r1_n6_E2_X3b_3,1237.9,214,0.001,1.14,1,17.5,59,0.04,1
689,b10_r1_n6_E2_X3c_3_5,1541.6,214,0.0,1.86,1,-21.0,59,-0.05,0
696,b10_r1_n8_E1_X3b_3,694.7,96,0.012,0.38,1,-26.2,21,-0.06,0
628,b10_r1_n4_E2_X3c_2_5,1274.9,1037,0.019,0.51,1,-73.3,288,-0.17,0
627,b10_r1_n4_E2_X3c_2_3,1176.9,1040,0.027,0.28,1,-106.3,287,-0.25,0
1581,b15_r3_n6_E2_X3b_3,2485.7,580,0.036,0.62,1,-129.1,184,-0.3,0
1589,b15_r3_n6_E2_X3c_3_5,2485.7,580,0.036,0.62,1,-158.6,184,-0.37,0
651,b10_r1_n5_E2_X3b_3,1317.9,426,0.034,0.23,1,-229.1,115,-0.54,0
659,b10_r1_n5_E2_X3c_3_5,1256.7,439,0.03,0.63,1,-299.4,115,-0.7,0
1551,b15_r3_n5_E2_X3b_3,2875.7,775,0.037,0.9,1,-356.0,244,-0.83,0
1559,b15_r3_n5_E2_X3c_3_5,2875.7,775,0.037,0.9,1,-385.5,244,-0.9,0
2213,b30_r1_n3_E2_X7_5,2808.5,218,0.043,0.22,1,-391.8,81,-0.92,0
2385,b30_r2_n3_E2_X1_3,2391.0,338,0.043,0.02,1,-619.8,98,-1.45,0
2086,b20_r3_n5_E2_X1_5,2618.9,328,0.035,0.54,1,-1136.3,105,-2.66,0
2407,b30_r2_n4_E1_X7_3,5132.3,197,0.01,3.11,1,-2159.5,81,-5.06,0
2094,b20_r3_n5_E2_X7_8,4515.8,186,0.018,2.7,1,-2439.0,76,-5.72,0
2347,b30_r2_n2_E1_X7_3,6204.1,233,0.008,4.76,1,-2859.1,104,-6.7,0
