ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
336,b2_r2_n8_E1_X3b_3,37483.2,12088,0.0,59.36,8782.9,3381,20.59,1
1048,b3_r3_n6_E2_X3c_2_5,38042.8,12843,0.0,60.15,8568.8,4295,20.09,1
829,b3_r2_n5_E2_X3b_1,89712.3,18134,0.0,144.83,8532.3,1866,20.0,1
1040,b3_r3_n6_E2_X3b_2,37863.1,12781,0.0,59.87,8528.7,4282,20.0,1
1047,b3_r3_n6_E2_X3c_2_3,37973.0,12829,0.0,60.0,8516.8,4289,19.97,1
835,b3_r2_n5_E2_X3c_1_3,89647.7,18152,0.0,144.63,8491.6,1848,19.91,1
836,b3_r2_n5_E2_X3c_1_5,89713.8,18155,0.0,144.78,8463.2,1845,19.84,1
539,b2_r3_n8_E2_X3c_3_5,37778.4,13952,0.0,59.81,8367.1,4271,19.62,1
868,b3_r2_n6_E2_X3c_2_5,35619.8,9474,0.0,56.54,8248.5,2575,19.34,1
531,b2_r3_n8_E2_X3b_3,37739.9,13849,0.0,59.65,8250.4,4249,19.34,1
867,b3_r2_n6_E2_X3c_2_3,35604.0,9469,0.0,56.48,8227.9,2572,19.29,1
860,b3_r2_n6_E2_X3b_2,35813.7,9419,0.0,56.77,8190.9,2565,19.2,1
673,b3_r1_n6_E1_X3c_2_5,34076.4,8941,0.0,53.85,8076.1,2361,18.93,1
672,b3_r1_n6_E1_X3c_2_3,33975.9,8933,0.0,53.79,8062.1,2357,18.9,1
688,b3_r1_n6_E2_X3c_2_5,34106.7,8904,0.0,53.94,8059.1,2343,18.9,1
687,b3_r1_n6_E2_X3c_2_3,34052.1,8896,0.0,53.9,8023.0,2339,18.81,1
665,b3_r1_n6_E1_X3b_2,34160.6,8885,0.0,53.96,7979.0,2348,18.71,1
680,b3_r1_n6_E2_X3b_2,34185.1,8850,0.0,54.14,7961.1,2333,18.67,1
650,b3_r1_n5_E2_X3b_2,41466.2,16419,0.0,65.6,7747.8,3581,18.17,1
853,b3_r2_n6_E1_X3c_2_5,33881.6,10350,0.0,53.5,7569.7,2982,17.75,1
852,b3_r2_n6_E1_X3c_2_3,33911.0,10341,0.0,53.56,7554.6,2978,17.71,1
657,b3_r1_n5_E2_X3c_2_3,41793.5,16596,0.0,66.28,7520.1,3404,17.63,1
845,b3_r2_n6_E1_X3b_2,34038.0,10285,0.0,53.76,7494.0,2969,17.57,1
635,b3_r1_n5_E1_X3b_2,41139.7,16520,0.0,65.16,7474.2,3480,17.52,1
658,b3_r1_n5_E2_X3c_2_5,41965.8,16633,0.0,66.47,7390.6,3367,17.33,1
1405,b4_r2_n6_E2_X3c_1_3,30432.7,3849,0.0,48.35,7277.8,1054,17.06,1
1399,b4_r2_n6_E2_X3b_1,30468.2,3849,0.0,48.39,7274.4,1054,17.06,1
1406,b4_r2_n6_E2_X3c_1_5,30438.5,3851,0.0,48.32,7277.8,1054,17.06,1
643,b3_r1_n5_E1_X3c_2_5,41685.6,16744,0.0,66.08,7154.7,3256,16.77,1
642,b3_r1_n5_E1_X3c_2_3,41455.6,16707,0.0,65.65,7127.4,3293,16.71,1
1390,b4_r2_n6_E1_X3c_1_3,30359.3,4675,0.0,48.2,7115.7,1411,16.68,1
1384,b4_r2_n6_E1_X3b_1,30373.7,4671,0.0,48.15,7109.5,1411,16.67,1
1391,b4_r2_n6_E1_X3c_1_5,30394.3,4676,0.0,48.28,7103.3,1412,16.65,1
1870,b5_r2_n4_E1_X3c_1_3,45273.9,16432,0.0,71.86,7017.6,3568,16.45,1
1871,b5_r2_n4_E1_X3c_1_5,45341.2,16442,0.0,71.91,6978.7,3558,16.36,1
1864,b5_r2_n4_E1_X3b_1,44980.7,16378,0.0,71.34,6959.8,3622,16.32,1
2059,b5_r3_n4_E2_X3b_1,33044.9,11387,0.0,51.59,6528.7,4111,15.31,1
2066,b5_r3_n4_E2_X3c_1_5,33013.3,11397,0.0,51.51,6528.7,4111,15.31,1
2065,b5_r3_n4_E2_X3c_1_3,32970.3,11394,0.0,51.6,6528.7,4111,15.31,1
524,b2_r3_n8_E1_X3c_3_5,34585.6,15550,0.0,54.49,6480.0,4450,15.19,1
516,b2_r3_n8_E1_X3b_3,34456.0,15430,0.0,54.23,6410.2,4570,15.03,1
830,b3_r2_n5_E2_X3b_2,44025.0,17481,0.0,69.86,5422.1,2519,12.71,1
837,b3_r2_n5_E2_X3c_2_3,44193.8,17646,0.0,70.16,5282.0,2354,12.38,1
838,b3_r2_n5_E2_X3c_2_5,44446.4,17677,0.0,70.53,5251.0,2323,12.31,1
1519,b4_r3_n4_E2_X3b_1,62246.2,18507,0.0,99.27,3870.3,1493,9.07,1
1525,b4_r3_n4_E2_X3c_1_3,62236.7,18519,0.0,99.29,3854.4,1481,9.04,1
1526,b4_r3_n4_E2_X3c_1_5,62386.1,18532,0.0,99.69,3815.9,1468,8.95,1
1849,b5_r2_n3_E2_X3b_1,66825.2,18777,0.0,106.92,3372.1,1223,7.91,1
1855,b5_r2_n3_E2_X3c_1_3,67167.1,18833,0.0,107.37,3178.4,1167,7.45,1
1856,b5_r2_n3_E2_X3c_1_5,67370.2,18872,0.0,107.76,2937.9,1128,6.89,1
1024,b3_r3_n6_E1_X3b_1,73320.8,19105,0.0,118.0,2432.6,895,5.7,1
1030,b3_r3_n6_E1_X3c_1_3,73264.8,19113,0.0,117.79,2381.5,887,5.58,1
1031,b3_r3_n6_E1_X3c_1_5,73294.8,19116,0.0,117.82,2375.5,884,5.57,1
1540,b4_r3_n5_E1_X3c_1_3,59270.9,18989,0.0,94.69,2170.3,1011,5.09,1
1541,b4_r3_n5_E1_X3c_1_5,59341.8,18996,0.0,94.76,2163.9,1004,5.07,1
1534,b4_r3_n5_E1_X3b_1,59334.6,18979,0.0,94.83,2129.2,1021,4.99,1
2006,b5_r3_n2_E2_X3c_1_5,30917.1,18050,0.0,47.96,2001.6,1950,4.69,1
2036,b5_r3_n3_E2_X3c_1_5,30903.0,18049,0.0,47.88,1994.4,1951,4.68,1
2005,b5_r3_n2_E2_X3c_1_3,30841.5,18044,0.0,47.59,1974.4,1956,4.63,1
2035,b5_r3_n3_E2_X3c_1_3,30827.4,18043,0.0,47.75,1969.8,1957,4.62,1
2029,b5_r3_n3_E2_X3b_1,30714.5,18023,0.0,47.57,1966.7,1977,4.61,1
1999,b5_r3_n2_E2_X3b_1,30728.6,18024,0.0,47.58,1942.5,1976,4.55,1
1033,b3_r3_n6_E1_X3c_2_5,30317.1,18594,0.0,47.27,1269.4,1406,2.98,1
1032,b3_r3_n6_E1_X3c_2_3,30238.6,18578,0.0,47.2,1254.4,1422,2.94,1
2044,b5_r3_n4_E1_X3b_1,45419.0,19864,0.0,71.66,246.8,136,0.58,1
2051,b5_r3_n4_E1_X3c_1_5,45560.9,19888,0.0,72.11,213.1,112,0.5,1
2050,b5_r3_n4_E1_X3c_1_3,45421.9,19881,0.0,71.78,203.3,119,0.48,1
