ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
627,b10_r1_n4_E2_X3c_2_3,1089.0,987,0.042,0.16,-135.9,246,-0.22,0
620,b10_r1_n4_E2_X3b_2,1440.6,978,0.013,0.51,-159.3,246,-0.26,0
1581,b15_r3_n6_E2_X3b_3,2617.2,559,0.037,0.56,-163.5,151,-0.27,0
689,b10_r1_n6_E2_X3c_3_5,1641.4,197,0.0,1.5,-173.7,52,-0.28,0
1589,b15_r3_n6_E2_X3c_3_5,2617.2,559,0.037,0.56,-193.0,151,-0.32,0
2219,b30_r1_n3_E2_X3c_3_5,2816.7,217,0.045,0.46,-285.1,69,-0.47,0
651,b10_r1_n5_E2_X3b_3,1416.2,402,0.021,0.4,-300.7,103,-0.49,0
1551,b15_r3_n5_E2_X3b_3,2832.2,746,0.029,0.71,-322.5,206,-0.53,0
1559,b15_r3_n5_E2_X3c_3_5,2832.2,746,0.029,0.71,-352.0,206,-0.58,0
659,b10_r1_n5_E2_X3c_3_5,1319.3,415,0.021,0.53,-402.1,103,-0.66,0
2211,b30_r1_n3_E2_X3b_3,3554.5,205,0.023,1.19,-496.4,66,-0.81,0
2385,b30_r2_n3_E2_X1_3,2478.3,327,0.031,0.61,-849.0,85,-1.39,0
2362,b30_r2_n2_E2_X7_3,4198.7,201,0.049,0.5,-1266.0,67,-2.08,0
2407,b30_r2_n4_E1_X7_3,5036.3,190,0.016,1.82,-1488.2,72,-2.44,0
2409,b30_r2_n4_E1_X7_8,4596.6,186,0.033,1.22,-1711.6,65,-2.81,0
2347,b30_r2_n2_E1_X7_3,6166.4,229,0.007,3.43,-2233.7,91,-3.66,0
