ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
4884,b15_r1_n6_E2_X3b_3,0,219.2,35,11.9,96.5,110.8
8535,b20_r3_n8_E1_X2_bf7,7,203.0,56,50.3,138.4,14.3
8868,b30_r1_n3_E2_X3c_2_3,0,183.8,50,88.3,62.2,33.3
5724,b15_r2_n8_E2_X3b_3,0,173.9,33,89.1,30.5,54.3
9947,b30_r2_n6_E2_X3c_1_5_bf7,7,165.1,45,144.0,0.7,20.4
9919,b30_r2_n6_E2_X3b_1_bf7,7,165.1,45,144.0,0.7,20.4
9943,b30_r2_n6_E2_X3c_1_3_bf7,7,165.1,45,144.0,0.7,20.4
4856,b15_r1_n6_E1_X3c_3_5,0,160.8,37,61.9,7.2,91.7
8593,b20_r3_n8_E2_X2_bf3,3,149.0,121,97.4,36.0,15.6
4824,b15_r1_n6_E1_X3b_3,0,144.8,37,11.9,96.5,36.4
