ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
536,b5_r1_n6_E1_X3c_3_5,0,7017.9,2515,0.0,14.09,1
4480,b15_r1_n3_E1_X3c_1_3,0,6999.1,1154,0.0,14.62,1
444,b5_r1_n5_E2_X3b_3,0,6932.9,4736,0.0,12.91,1
384,b5_r1_n5_E1_X3b_3,0,6708.4,4793,0.0,12.46,1
476,b5_r1_n5_E2_X3c_3_5,0,6639.5,4933,0.0,12.52,1
416,b5_r1_n5_E1_X3c_3_5,0,6525.9,5002,0.0,12.26,1
10108,b30_r3_n2_E1_X7_3,0,6260.7,234,0.004,5.38,1
10228,b30_r3_n3_E1_X7_3,0,6260.7,234,0.004,5.38,1
10350,b30_r3_n4_E1_X7_3_bf5,5,6063.0,184,0.003,4.68,1
10468,b30_r3_n5_E1_X7_3,0,5960.6,193,0.006,4.77,1
3376,b10_r2_n6_E1_X3b_1,0,5648.5,948,0.0,11.54,1
3404,b10_r2_n6_E1_X3c_1_5,0,5623.7,948,0.0,11.5,1
3400,b10_r2_n6_E1_X3c_1_3,0,5623.7,948,0.0,11.5,1
8184,b20_r3_n4_E1_X3b_3,0,5623.6,827,0.004,5.18,1
4064,b10_r3_n5_E2_X3c_1_5,0,5452.8,2431,0.0,10.26,1
4060,b10_r3_n5_E2_X3c_1_3,0,5450.1,2431,0.0,10.26,1
4036,b10_r3_n5_E2_X3b_1,0,5450.1,2431,0.0,10.26,1
2620,b10_r1_n5_E2_X3c_1_3,0,5424.8,428,0.0,11.41,1
2624,b10_r1_n5_E2_X3c_1_5,0,5423.0,428,0.0,11.41,1
8216,b20_r3_n4_E1_X3c_3_5,0,5422.7,837,0.003,5.27,1
2596,b10_r1_n5_E2_X3b_1,0,5419.9,428,0.0,11.4,1
2560,b10_r1_n5_E1_X3c_1_3,0,5274.4,449,0.0,11.06,1
2564,b10_r1_n5_E1_X3c_1_5,0,5241.5,449,0.0,10.99,1
2536,b10_r1_n5_E1_X3b_1,0,5210.6,449,0.0,10.89,1
3436,b10_r2_n6_E2_X3b_1,0,5209.8,474,0.0,10.77,1
3460,b10_r2_n6_E2_X3c_1_3,0,5185.0,474,0.0,10.73,1
3464,b10_r2_n6_E2_X3c_1_5,0,5185.0,474,0.0,10.73,1
4184,b10_r3_n6_E2_X3c_1_5,0,5058.4,1543,0.0,9.7,1
4180,b10_r3_n6_E2_X3c_1_3,0,5058.4,1543,0.0,9.7,1
4156,b10_r3_n6_E2_X3b_1,0,5058.4,1543,0.0,9.7,1
10231,b30_r3_n3_E1_X7_3_bf7,7,4886.8,167,0.022,2.58,1
10111,b30_r3_n2_E1_X7_3_bf7,7,4886.8,167,0.022,2.58,1
10104,b30_r3_n2_E1_X3b_3,0,4823.7,385,0.012,2.84,1
10224,b30_r3_n3_E1_X3b_3,0,4823.7,385,0.012,2.84,1
10351,b30_r3_n4_E1_X7_3_bf7,7,4815.0,149,0.013,3.22,1
