ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
8128,b20_r3_n3_E2_X7_3,0,4379.6,737,1235.5,2543.0,601.1
8258,b20_r3_n4_E2_X7_8_bf5,5,4348.9,548,862.8,3382.3,103.8
3556,b10_r2_n8_E2_X3b_1,0,4321.5,192,411.9,1155.8,2753.8
3580,b10_r2_n8_E2_X3c_1_3,0,4321.5,192,411.9,1155.8,2753.8
3584,b10_r2_n8_E2_X3c_1_5,0,4321.5,192,411.9,1155.8,2753.8
2748,b10_r1_n6_E2_X3c_2_3,0,4226.3,431,134.1,1341.6,2750.6
8256,b20_r3_n4_E2_X7_8,0,4224.8,585,612.9,3600.3,11.6
2752,b10_r1_n6_E2_X3c_2_5,0,4223.5,433,137.4,1350.1,2736.0
10390,b30_r3_n4_E2_X1_8_bf5,5,4217.8,234,1219.3,2965.3,33.2
5536,b15_r2_n6_E1_X3b_1,0,4217.3,798,202.2,1484.1,2531.0
2720,b10_r1_n6_E2_X3b_2,0,4216.3,429,143.1,1314.6,2758.6
5564,b15_r2_n6_E1_X3c_1_5,0,4211.4,798,202.2,1478.2,2531.0
5560,b15_r2_n6_E1_X3c_1_3,0,4211.4,798,202.2,1478.2,2531.0
10351,b30_r3_n4_E1_X7_3_bf7,7,4195.1,225,586.0,1348.0,2261.1
9589,b30_r2_n3_E2_X3c_2_3_bf3,3,4159.8,692,746.6,1968.0,1445.2
2660,b10_r1_n6_E1_X3b_2,0,4144.0,442,143.1,1317.4,2683.5
2692,b10_r1_n6_E1_X3c_2_5,0,4142.0,446,137.4,1343.0,2661.6
2688,b10_r1_n6_E1_X3c_2_3,0,4132.8,444,134.1,1324.6,2674.1
10391,b30_r3_n4_E2_X1_8_bf7,7,4128.4,223,1227.3,2356.0,545.1
8259,b20_r3_n4_E2_X7_8_bf7,7,4117.7,530,787.4,2892.9,437.4
8129,b20_r3_n3_E2_X7_3_bf3,3,4087.3,704,1388.2,2641.2,57.9
8009,b20_r3_n2_E2_X7_3_bf3,3,4087.3,704,1388.2,2641.2,57.9
8250,b20_r3_n4_E2_X7_3_bf5,5,4032.4,568,1122.7,2388.3,521.4
7976,b20_r3_n2_E1_X3c_3_5,0,3844.2,1464,1119.0,856.2,1869.0
