ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
588,b5_r1_n6_E2_X3c_2_3,0,14552.3,2580,0.0,31.94,1,4902.7,915,11.49,1
1248,b5_r2_n6_E1_X3c_2_3,0,14353.3,3823,0.0,31.18,1,4895.3,1196,11.47,1
528,b5_r1_n6_E1_X3c_2_3,0,14488.9,2610,0.0,31.73,1,4865.5,922,11.4,1
532,b5_r1_n6_E1_X3c_2_5,0,14406.3,2611,0.0,31.58,1,4864.7,922,11.4,1
3220,b10_r2_n4_E2_X3c_1_3,0,12980.9,2473,0.0,27.61,1,4351.1,676,10.2,1
3224,b10_r2_n4_E2_X3c_1_5,0,12959.3,2474,0.0,27.8,1,4334.0,676,10.16,1
3196,b10_r2_n4_E2_X3b_1,0,12909.6,2469,0.0,27.57,1,4322.0,675,10.13,1
1420,b5_r2_n8_E2_X3c_1_3,0,12097.3,921,0.0,26.86,1,3980.8,285,9.33,1
1424,b5_r2_n8_E2_X3c_1_5,0,12094.4,921,0.0,26.85,1,3980.8,285,9.33,1
1396,b5_r2_n8_E2_X3b_1,0,12094.4,921,0.0,26.85,1,3980.8,285,9.33,1
1360,b5_r2_n8_E1_X3c_1_3,0,11944.0,1011,0.0,26.48,1,3913.7,299,9.17,1
1364,b5_r2_n8_E1_X3c_1_5,0,11941.1,1011,0.0,26.47,1,3913.7,299,9.17,1
1336,b5_r2_n8_E1_X3b_1,0,11941.1,1011,0.0,26.47,1,3913.7,299,9.17,1
700,b5_r1_n8_E2_X3c_1_3,0,11413.9,865,0.0,25.2,1,3726.9,275,8.73,1
676,b5_r1_n8_E2_X3b_1,0,11411.0,865,0.0,25.19,1,3726.9,275,8.73,1
704,b5_r1_n8_E2_X3c_1_5,0,11411.0,865,0.0,25.19,1,3726.9,275,8.73,1
640,b5_r1_n8_E1_X3c_1_3,0,11365.1,869,0.0,25.07,1,3710.4,276,8.69,1
644,b5_r1_n8_E1_X3c_1_5,0,11362.2,869,0.0,25.07,1,3710.4,276,8.69,1
616,b5_r1_n8_E1_X3b_1,0,11362.2,869,0.0,25.07,1,3710.4,276,8.69,1
4000,b10_r3_n5_E1_X3c_1_3,0,9440.1,4090,0.0,19.21,1,3426.3,1306,8.03,1
4004,b10_r3_n5_E1_X3c_1_5,0,9460.7,4090,0.0,19.26,1,3426.3,1306,8.03,1
3976,b10_r3_n5_E1_X3b_1,0,9440.1,4090,0.0,19.21,1,3411.8,1306,7.99,1
2500,b10_r1_n4_E2_X3c_1_3,0,9988.5,1114,0.0,21.71,1,3073.1,362,7.2,1
2504,b10_r1_n4_E2_X3c_1_5,0,9981.6,1115,0.0,21.75,1,3053.4,361,7.16,1
