ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
2392,b30_r2_n3_E2_X7_3,1170.5,116,0.26,-3.92,0,-378.4,47
1546,b15_r3_n5_E2_X1_5,1139.4,371,0.147,-1.8,0,772.9,144
2418,b30_r2_n4_E2_X2,1133.5,193,0.19,-1.87,0,-549.9,51
1678,b20_r1_n3_E2_X3c_2_5,1130.9,350,0.126,-0.99,0,569.8,121
2533,b30_r3_n2_E1_X3c_2_5,1118.1,306,0.215,-2.48,0,-1059.2,108
2525,b30_r3_n2_E1_X3b_2,1118.1,306,0.215,-2.48,0,-1059.2,108
2532,b30_r3_n2_E1_X3c_2_3,1118.1,306,0.215,-2.48,0,-1059.2,108
171,b5_r1_n8_E2_X3b_3,1102.5,181,0.0,1.62,1,339.6,62
164,b5_r1_n8_E1_X3c_3_5,1096.4,213,0.0,1.56,1,267.9,72
1633,b20_r1_n2_E1_X3c_2_5,1087.5,1132,0.278,-3.7,0,176.3,436
2382,b30_r2_n3_E1_X3c_2_3,1061.0,398,0.253,-3.46,0,-2145.9,146
2375,b30_r2_n3_E1_X3b_2,1061.0,398,0.253,-3.46,0,-2145.9,146
2383,b30_r2_n3_E1_X3c_2_5,1061.0,398,0.253,-3.46,0,-2145.9,146
156,b5_r1_n8_E1_X3b_3,1055.1,213,0.0,1.44,1,218.9,72
967,b10_r3_n4_E1_X7_3,1045.6,653,0.298,-5.14,0,-701.0,279
2443,b30_r2_n5_E1_X3c_2_5,1036.4,185,0.189,-1.91,0,-1141.4,62
2442,b30_r2_n5_E1_X3c_2_3,1036.4,185,0.189,-1.91,0,-1141.4,62
2435,b30_r2_n5_E1_X3b_2,1036.4,185,0.189,-1.91,0,-1141.4,62
2022,b20_r3_n3_E1_X3c_2_3,1030.7,686,0.198,-2.47,0,-427.1,233
2015,b20_r3_n3_E1_X3b_2,1030.7,686,0.198,-2.47,0,-427.1,233
