ppd,nc,is_wf,oos_wf,p5,p_pos,passed,win_pct,avg_pnl,pair,strategy,fast,slow,atr_sl,atr_trail,N
6.64398335992364,66,3,3,3.857157689903566,1.0,True,59.09090909090909,42.68255976678217,GBP_JPY,donchian,0,0,3.0,2.0,50
4.803587757919753,49,3,3,1.0292754606995556,0.9855,True,55.10204081632652,41.565738966489285,GBP_JPY,donchian,0,0,3.0,3.0,50
1.3667550161742084,152,3,3,-1.141051285615096,0.798,False,50.6578947368421,3.8125271503806863,USD_JPY,sma_cross,5,20,1.0,1.0,0
5.125837935065909,152,3,2,,,False,43.42105263157895,14.298390029394376,USD_JPY,sma_cross,5,20,1.0,2.0,0
4.437822905168834,152,3,2,,,False,34.868421052631575,12.379190209155167,USD_JPY,sma_cross,5,20,1.0,3.0,0
1.5693552085723304,152,3,3,-1.0576752114432089,0.8295,False,50.6578947368421,4.377675055491237,USD_JPY,sma_cross,5,20,2.0,1.0,0
5.712042896760087,152,3,2,,,False,47.368421052631575,15.933593343593927,USD_JPY,sma_cross,5,20,2.0,2.0,0
6.050061884608279,152,3,2,,,False,41.44736842105263,16.876488414959937,USD_JPY,sma_cross,5,20,2.0,3.0,0
1.7448722153601464,152,3,3,-0.8658033984902254,0.8535,False,50.6578947368421,4.86727512705725,USD_JPY,sma_cross,5,20,3.0,1.0,0
5.887559903547902,152,3,2,,,False,47.368421052631575,16.423193415159936,USD_JPY,sma_cross,5,20,3.0,2.0,0
6.252007613920381,152,3,2,,,False,41.44736842105263,17.439810712514745,USD_JPY,sma_cross,5,20,3.0,3.0,0
0.10514264572382158,106,3,1,,,False,41.509433962264154,0.4205705828952863,USD_JPY,sma_cross,5,50,1.0,1.0,0
-1.3642308036787976,106,3,1,,,False,32.075471698113205,-5.45692321471519,USD_JPY,sma_cross,5,50,1.0,2.0,0
-0.26627782047989085,106,3,1,,,False,24.528301886792452,-1.0651112819195634,USD_JPY,sma_cross,5,50,1.0,3.0,0
-0.3842982157440523,106,3,2,,,False,41.509433962264154,-1.5371928629762093,USD_JPY,sma_cross,5,50,2.0,1.0,0
-1.1925030393932512,106,3,1,,,False,36.79245283018868,-4.770012157573005,USD_JPY,sma_cross,5,50,2.0,2.0,0
-1.672058675599799,106,3,1,,,False,30.18867924528302,-6.688234702399196,USD_JPY,sma_cross,5,50,2.0,3.0,0
-0.3098783412216008,106,3,2,,,False,41.509433962264154,-1.2395133648864032,USD_JPY,sma_cross,5,50,3.0,1.0,0
-0.9859767583140733,106,3,1,,,False,36.79245283018868,-3.943907033256293,USD_JPY,sma_cross,5,50,3.0,2.0,0
-1.04459037170979,106,3,1,,,False,30.18867924528302,-4.17836148683916,USD_JPY,sma_cross,5,50,3.0,3.0,0
0.3426587374823765,64,2,3,,,False,46.875,2.2701141358207444,USD_JPY,sma_cross,5,100,1.0,1.0,0
1.453817627556093,64,2,3,,,False,35.9375,9.631541782559117,USD_JPY,sma_cross,5,100,1.0,2.0,0
3.1253870331997193,64,3,3,-0.3080831044996171,0.928,False,34.375,20.70568909494814,USD_JPY,sma_cross,5,100,1.0,3.0,0
0.27492969724136573,64,2,2,,,False,46.875,1.8214092442240482,USD_JPY,sma_cross,5,100,2.0,1.0,0
1.1803859143901396,64,1,3,,,False,40.625,7.820056682834675,USD_JPY,sma_cross,5,100,2.0,2.0,0
2.833585721366467,64,2,3,,,False,42.1875,18.772505404052843,USD_JPY,sma_cross,5,100,2.0,3.0,0
0.3066758774613276,64,2,2,,,False,46.875,2.031727688181295,USD_JPY,sma_cross,5,100,3.0,1.0,0
1.2016533633861906,64,1,3,,,False,40.625,7.960953532433512,USD_JPY,sma_cross,5,100,3.0,2.0,0
3.3186632730858836,64,3,3,-0.38807473917620844,0.932,False,42.1875,21.98614418419398,USD_JPY,sma_cross,5,100,3.0,3.0,0
-0.31183389090527885,144,3,1,,,False,39.58333333333333,-0.9181775676655433,USD_JPY,sma_cross,10,20,1.0,1.0,0
0.8332488845544683,144,3,2,,,False,38.19444444444444,2.4534550489659344,USD_JPY,sma_cross,10,20,1.0,2.0,0
0.26228162120885734,144,3,2,,,False,29.86111111111111,0.7722736624483022,USD_JPY,sma_cross,10,20,1.0,3.0,0
-1.0516503980195457,144,3,2,,,False,41.66666666666667,-3.0965261719464405,USD_JPY,sma_cross,10,20,2.0,1.0,0
-0.8261150280450313,144,3,2,,,False,43.05555555555556,-2.432449804799259,USD_JPY,sma_cross,10,20,2.0,2.0,0
-0.5435849991712401,144,3,2,,,False,37.5,-1.600555830893096,USD_JPY,sma_cross,10,20,2.0,3.0,0
-1.4699900572909232,144,3,1,,,False,41.66666666666667,-4.32830405757883,USD_JPY,sma_cross,10,20,3.0,1.0,0
-1.3401854335942969,144,3,2,,,False,43.05555555555556,-3.946101554472096,USD_JPY,sma_cross,10,20,3.0,2.0,0
-0.8714467187055311,144,3,2,,,False,38.19444444444444,-2.5659264495218417,USD_JPY,sma_cross,10,20,3.0,3.0,0
0.310010160770494,70,2,1,,,False,42.857142857142854,1.8777758309527062,USD_JPY,sma_cross,10,50,1.0,1.0,0
0.1893442022492778,70,2,1,,,False,35.714285714285715,1.1468848821956255,USD_JPY,sma_cross,10,50,1.0,2.0,0
0.31955860740952213,70,3,1,,,False,31.428571428571427,1.9356121363091054,USD_JPY,sma_cross,10,50,1.0,3.0,0
0.8964920911079521,70,2,2,,,False,44.285714285714285,5.430180666139596,USD_JPY,sma_cross,10,50,2.0,1.0,0
-0.30465534887024254,70,2,1,,,False,37.142857142857146,-1.845340970299755,USD_JPY,sma_cross,10,50,2.0,2.0,0
0.5521367340690281,70,2,2,,,False,38.57142857142858,3.344371074932399,USD_JPY,sma_cross,10,50,2.0,3.0,0
0.9351985119292254,70,2,2,,,False,44.285714285714285,5.664630986542737,USD_JPY,sma_cross,10,50,3.0,1.0,0
-0.26594892804896925,70,2,1,,,False,37.142857142857146,-1.6108906498966138,USD_JPY,sma_cross,10,50,3.0,2.0,0
0.4969806658350197,70,2,2,,,False,38.57142857142858,3.010282890200691,USD_JPY,sma_cross,10,50,3.0,3.0,0
0.2165956129757022,46,1,2,,,False,41.30434782608695,1.9964465196021246,USD_JPY,sma_cross,10,100,1.0,1.0,0
-0.12858260039305303,46,2,2,,,False,34.78260869565217,-1.1851961427533584,USD_JPY,sma_cross,10,100,1.0,2.0,0
0.3032560094998803,46,1,1,,,False,32.608695652173914,2.7952293049554187,USD_JPY,sma_cross,10,100,1.0,3.0,0
0.20354595675760243,46,1,2,,,False,41.30434782608695,1.8761627318526835,USD_JPY,sma_cross,10,100,2.0,1.0,0
0.28212942686487397,46,0,2,,,False,39.130434782608695,2.6004973258849255,USD_JPY,sma_cross,10,100,2.0,2.0,0
0.9780482078229985,46,1,1,,,False,43.47826086956522,9.015053046020682,USD_JPY,sma_cross,10,100,2.0,3.0,0
0.23715927079518395,46,1,3,,,False,41.30434782608695,2.185989800373,USD_JPY,sma_cross,10,100,3.0,1.0,0
0.36146294280966307,46,0,2,,,False,39.130434782608695,3.331745385897764,USD_JPY,sma_cross,10,100,3.0,2.0,0
0.8456250721251373,46,1,1,,,False,43.47826086956522,7.794457186544744,USD_JPY,sma_cross,10,100,3.0,3.0,0
-2.1468108653912417,60,0,0,,,False,35.0,-15.170796782098108,USD_JPY,sma_cross,20,50,1.0,1.0,0
-1.4203725581496993,60,0,1,,,False,31.666666666666664,-10.037299410924541,USD_JPY,sma_cross,20,50,1.0,2.0,0
-2.056146403162481,60,2,1,,,False,21.666666666666668,-14.530101249014868,USD_JPY,sma_cross,20,50,1.0,3.0,0
-2.9375521281586376,60,0,0,,,False,35.0,-20.75870170565437,USD_JPY,sma_cross,20,50,2.0,1.0,0
-2.6717551707793237,60,1,0,,,False,35.0,-18.88040320684055,USD_JPY,sma_cross,20,50,2.0,2.0,0
-3.3446207465943667,60,1,0,,,False,31.666666666666664,-23.63531994260019,USD_JPY,sma_cross,20,50,2.0,3.0,0
-2.5502554741046395,59,0,0,,,False,35.59322033898305,-18.327259678311307,USD_JPY,sma_cross,20,50,3.0,1.0,0
-2.0129400729366127,59,1,0,,,False,37.28813559322034,-14.465874422459725,USD_JPY,sma_cross,20,50,3.0,2.0,0
-2.7592499954276968,59,1,1,,,False,35.59322033898305,-19.82918640781938,USD_JPY,sma_cross,20,50,3.0,3.0,0
0.24425865586064413,34,0,2,,,False,44.11764705882353,3.0460491201445032,USD_JPY,sma_cross,20,100,1.0,1.0,0
0.14944994668754286,34,0,1,,,False,35.294117647058826,1.863728746927005,USD_JPY,sma_cross,20,100,1.0,2.0,0
-0.23113699997251289,34,1,1,,,False,29.411764705882355,-2.882414352598396,USD_JPY,sma_cross,20,100,1.0,3.0,0
0.3995565659589089,34,0,2,,,False,47.05882352941176,4.982705410781688,USD_JPY,sma_cross,20,100,2.0,1.0,0
0.5993809967993995,33,0,3,,,False,45.45454545454545,7.70113765584683,USD_JPY,sma_cross,20,100,2.0,2.0,0
0.4624131819556871,33,0,1,,,False,45.45454545454545,5.941308762097313,USD_JPY,sma_cross,20,100,2.0,3.0,0
0.3995565659589089,34,0,2,,,False,47.05882352941176,4.982705410781688,USD_JPY,sma_cross,20,100,3.0,1.0,0
0.5993809967993995,33,0,3,,,False,45.45454545454545,7.70113765584683,USD_JPY,sma_cross,20,100,3.0,2.0,0
0.2653054998059565,33,0,1,,,False,45.45454545454545,3.4087736944765323,USD_JPY,sma_cross,20,100,3.0,3.0,0
25.120162266165806,272,3,3,21.78986049026606,1.0,True,81.61764705882352,39.15790000314081,USD_JPY,donchian,0,0,1.0,1.0,10
18.920953230976856,159,3,3,14.828533261880253,1.0,True,66.66666666666666,50.45587528260495,USD_JPY,donchian,0,0,1.0,2.0,10
17.750003696778876,115,3,3,12.861744659919717,1.0,True,59.130434782608695,65.44349189073255,USD_JPY,donchian,0,0,1.0,3.0,10
25.197397117991013,271,3,3,21.9881148541079,1.0,True,81.91881918819189,39.42323386726269,USD_JPY,donchian,0,0,2.0,1.0,10
18.684687681441194,159,3,3,14.187947565351054,1.0,True,66.66666666666666,49.82583381717651,USD_JPY,donchian,0,0,2.0,2.0,10
18.180099956832265,111,3,3,13.047069145748026,1.0,True,63.06306306306306,69.44470614141333,USD_JPY,donchian,0,0,2.0,3.0,10
