pair,tp,sl,max_hold,is_pd_amddp5,oos_pd_amddp5,oos_pd_raw,is_trd,oos_trd,oos_wr,oos_max_dd,mc_p,wf_pass,wf_pos_chunks,sp_gate,is_chunk_amddp,is_chunk_pnl,is_chunk_trd
GBP_USD,10.0,50.0,60,-75.789,-78.468,-14.458,4724,1988,0.6419,98.8,1.0,False,0,2.4,"[-25423.9, -26322.4, -24077.7]","[-4241.9, -5490.7, -4618.5]","[1544, 1693, 1487]"
GBP_USD,10.0,50.0,288,-122.993,-134.051,-10.198,3604,1474,0.7863,98.8,1.0,False,0,2.4,"[-44343.5, -36026.3, -42679.2]","[-3465.1, -4197.8, -2389.1]","[1148, 1435, 1021]"
GBP_USD,15.0,0.0,12,-36.256,-38.565,-23.269,6606,2885,0.3709,98.8,1.0,False,0,2.4,"[-12176.4, -12667.5, -11428.4]","[-6999.9, -6413.5, -6846.3]","[2188, 2164, 2254]"
GBP_USD,15.0,0.0,60,-98.428,-94.726,-12.735,3996,1703,0.5584,150.9,1.0,False,0,2.4,"[-32338.7, -38037.7, -28096.7]","[-4737.5, -3770.1, -3938.6]","[1299, 1407, 1290]"
GBP_USD,15.0,0.0,288,-332.03,-297.842,-4.122,2053,859,0.7625,234.5,1.0,False,0,2.4,"[-108115.1, -135391.9, -88675.4]","[-2411.7, -1711.6, -2275.6]","[644, 798, 611]"
GBP_USD,15.0,10.0,12,-28.099,-31.293,-24.817,7121,3135,0.3324,98.8,1.0,False,0,2.4,"[-9617.3, -9459.4, -9035.2]","[-7484.0, -7603.6, -6904.0]","[2361, 2368, 2392]"
GBP_USD,15.0,10.0,60,-28.599,-29.514,-19.801,6049,2674,0.3594,98.8,1.0,False,0,2.4,"[-10394.7, -9163.6, -9054.2]","[-7220.1, -6637.1, -5483.6]","[1992, 2167, 1890]"
GBP_USD,15.0,10.0,288,-28.211,-28.691,-18.598,5847,2597,0.3627,98.8,1.0,False,0,2.4,"[-10235.5, -9123.0, -8865.7]","[-6944.4, -6531.7, -5082.8]","[1941, 2142, 1764]"
GBP_USD,15.0,20.0,12,-32.371,-35.649,-23.986,6778,2951,0.3683,98.8,1.0,False,0,2.4,"[-10936.4, -10713.3, -10735.9]","[-7151.5, -6953.8, -7182.1]","[2235, 2254, 2289]"
GBP_USD,15.0,20.0,60,-41.539,-45.472,-17.732,5086,2165,0.4827,98.8,1.0,False,0,2.4,"[-15136.8, -12768.1, -13652.7]","[-6194.9, -5497.4, -4444.7]","[1647, 1872, 1567]"
