arm,pair,n,wr,net,gross,realized_pnl,worst_open_excursion,n_open_at_end,open_book_unrealized
D,USD_JPY,1916,0.7546972860125261,-2.1814262604985895,-0.30294542818454634,-4179.612715115298,-252.00000000000105,0,0.0
D,NZD_USD,1230,0.5975609756097561,-2.843646670930935,-0.9327249742386912,-3497.68540524505,-103.79999999999944,0,0.0
D,GBP_USD,1878,0.6373801916932907,-2.6419160683017253,-0.48177045676220837,-4961.51837627064,-231.39999999999935,0,0.0
D,CAD_JPY,1997,0.5983975963945919,-2.538002059373639,-0.10540833411840045,-5068.390112569157,-182.0999999999998,1,-51.90000000000055
D,AUD_USD,1445,0.558477508650519,-2.2360385995587517,-0.6861947156416107,-3231.075776362396,-110.20000000000029,0,0.0
D,GBP_JPY,3200,0.671875,-3.8288292957551096,-0.22942404114191906,-12252.25374641635,-334.6000000000004,0,0.0
coin_D,USD_JPY,1472,0.7445652173913043,-1.6403013981305476,0.4056447181748002,-2414.523658048166,-201.400000000001,0,0.0
coin_D,NZD_USD,1095,0.6255707762557078,-1.5539307065385803,0.4186261417506217,-1701.5541236597455,-107.29999999999906,0,0.0
coin_D,GBP_USD,1567,0.6451818761965539,-2.127849643057737,0.07554570228240777,-3334.340390671474,-150.9999999999989,1,-43.499999999998536
coin_D,CAD_JPY,1567,0.5864709636247607,-2.8560197523110524,-0.3849724224168061,-4475.382951871419,-180.5999999999997,0,0.0
coin_D,AUD_USD,1296,0.5895061728395061,-0.5975372864221938,0.9761799600580169,-774.4083232031633,-111.90000000000032,1,-33.99999999999959
coin_D,GBP_JPY,2471,0.6519627681100769,-4.7699136874611,-1.0886850523532374,-11786.456721716379,-270.5999999999989,0,0.0
coin_overlay,USD_JPY,6,0.3333333333333333,-4.372609709588926,4.250000000000161,-26.235658257533554,-5552.799999999999,1,-3654.8
coin_overlay,NZD_USD,48,0.6875,7.585782289954378,9.32916666666672,364.11754991781015,-1859.2,1,-1018.7999999999996
coin_overlay,GBP_USD,180,0.6444444444444445,2.1825068481400534,5.288333333333351,392.8512326652096,-3215.700000000001,1,-148.3000000000012
coin_overlay,CAD_JPY,27,0.37037037037037035,0.05315300979824467,2.551851851851931,1.4351312645526062,-3822.3,1,-2590.8
coin_overlay,AUD_USD,136,0.5955882352941176,2.1125818152699343,3.905147058823512,287.31112687671106,-1670.5999999999997,1,-935.2000000000004
coin_overlay,GBP_JPY,48,0.625,-1.1512240464901125,2.9104166666662343,-55.258754231525394,-6902.699999999999,1,-5289.999999999997
