pair,arm,direction,entry_ts,entry_px,exit_ts,exit_px,exit_reason,held_bars,gross_pips,spread_rt_pips,carry_pips,net_pips,mfe_pips,mae_pips,entry_W_pips
GBP_JPY,A,-1,2026-06-23 11:00:00+00:00,213.485,2026-06-23 13:30:00+00:00,213.28500000000003,tp,30,19.999999999998863,3.2500000000013074,0.0,16.749999999997556,8.100000000001728,-2.7999999999991587,39.870352672013
GBP_JPY,A,-1,2026-06-23 13:30:00+00:00,213.458,2026-06-23 14:35:00+00:00,213.258,tp,13,19.999999999998863,3.15000000000083,0.0,16.849999999998033,15.799999999998704,0.0,38.251267005309174
GBP_USD,A,-1,2026-06-23 13:00:00+00:00,1.32133,2026-06-23 15:35:00+00:00,1.31933,tp,31,20.000000000000018,1.7999999999995797,0.0,18.200000000000436,16.099999999998893,-2.700000000002145,23.32473915203972
AUD_USD,A,-1,2026-06-23 08:45:00+00:00,0.69438,2026-06-23 15:35:00+00:00,0.69238,tp,82,20.000000000000018,1.2999999999996348,0.0,18.700000000000383,16.800000000000146,-13.199999999999878,19.2010131692003
GBP_JPY,A,-1,2026-06-23 14:35:00+00:00,213.23,2026-06-23 15:40:00+00:00,213.03,tp,13,19.999999999998863,3.100000000000591,0.0,16.899999999998272,15.599999999997749,-0.5000000000023874,38.373519154099476
NZD_USD,A,-1,2026-06-23 06:40:00+00:00,0.56847,2026-06-23 18:30:00+00:00,0.56647,tp,142,20.000000000000018,1.3999999999997348,0.0,18.600000000000282,18.799999999999926,-8.099999999999774,11.523817639157423
GBP_JPY,A,-1,2026-06-23 15:40:00+00:00,213.025,2026-06-23 21:40:00+00:00,213.266,scratch,72,-24.099999999998545,8.650000000000091,-2.3198749315068494,-35.06987493150549,0.0,-29.90000000000066,38.62702784774183
AUD_USD,A,-1,2026-06-23 15:35:00+00:00,0.6923,2026-06-24 03:00:00+00:00,0.6903,tp,137,20.000000000000018,1.3499999999999623,-0.30314330136986295,18.34685669863019,18.000000000000238,-0.7999999999996898,20.925575025962704
GBP_JPY,A,-1,2026-06-23 21:40:00+00:00,213.266,2026-06-24 03:05:00+00:00,213.066,tp,65,19.999999999998863,9.049999999999159,0.0,10.949999999999704,15.599999999997749,-3.4000000000020236,33.18529834795389
GBP_USD,A,-1,2026-06-23 15:35:00+00:00,1.31901,2026-06-24 03:35:00+00:00,1.31967,scratch,144,-6.599999999998829,1.9000000000002348,-0.378125698630137,-8.878125698629201,4.699999999999704,-13.199999999999878,24.00149686516173
NZD_USD,A,-1,2026-06-23 18:30:00+00:00,0.56651,2026-06-24 08:10:00+00:00,0.56451,tp,164,20.000000000000018,1.3999999999997348,0.1625220821917808,18.762522082192064,18.499999999999073,-9.900000000000464,12.707527497334357
GBP_USD,A,-1,2026-06-24 07:30:00+00:00,1.31953,2026-06-24 08:10:00+00:00,1.31753,tp,8,20.000000000000018,1.8499999999999073,0.0,18.150000000000112,9.100000000001884,0.0,18.892926392088746
GBP_JPY,A,-1,2026-06-24 10:00:00+00:00,213.038,2026-06-24 10:15:00+00:00,212.83800000000002,tp,3,19.999999999998863,3.2000000000010687,0.0,16.799999999997794,7.699999999999818,0.0,34.88760712655467
GBP_USD,A,-1,2026-06-24 08:10:00+00:00,1.31744,2026-06-24 11:00:00+00:00,1.31544,tp,34,20.000000000000018,2.0500000000001073,0.0,17.94999999999991,15.600000000000058,-18.000000000000238,19.542895777376376
GBP_JPY,A,-1,2026-06-24 10:15:00+00:00,212.888,2026-06-24 11:00:00+00:00,212.68800000000002,tp,9,19.999999999998863,3.1999999999996476,0.0,16.799999999999216,14.000000000001478,0.0,34.88760712655467
AUD_USD,A,-1,2026-06-24 03:00:00+00:00,0.69023,2026-06-24 15:00:00+00:00,0.68934,scratch,144,8.900000000000574,1.3499999999999623,0.0,7.550000000000612,15.600000000000058,-13.299999999999423,18.481570151021277
GBP_JPY,A,-1,2026-06-24 11:00:00+00:00,212.656,2026-06-24 17:05:00+00:00,213.021,scratch,73,-36.49999999999807,3.4500000000008413,0.0,-39.94999999999891,0.0,-38.999999999998636,36.69517177503138
GBP_USD,A,-1,2026-06-24 11:00:00+00:00,1.3151,2026-06-24 23:00:00+00:00,1.3164,scratch,144,-13.000000000000789,2.1500000000007624,-1.134377095890411,-16.284377095891962,3.6999999999998145,-22.800000000000598,22.477776630712835
GBP_JPY,A,-1,2026-06-24 17:05:00+00:00,213.021,2026-06-24 23:05:00+00:00,212.964,scratch,72,5.699999999998795,3.8000000000010914,-6.959624794520549,-5.059624794522845,12.5,-3.700000000000614,41.3688852313399
AUD_USD,A,-1,2026-06-24 15:00:00+00:00,0.68934,2026-06-25 03:00:00+00:00,0.68952,scratch,144,-1.80000000000069,1.2999999999996348,-0.9094299041095888,-4.009429904109913,8.199999999999319,-9.400000000000519,20.582391595763355
NZD_USD,A,-1,2026-06-24 08:10:00+00:00,0.56416,2026-06-25 08:10:00+00:00,0.56466,scratch,288,-5.0000000000005596,1.3999999999997348,0.0406305205479452,-6.359369479452349,8.00000000000023,-9.700000000000264,10.991507915965515
GBP_JPY,A,1,2026-06-25 08:00:00+00:00,213.318,2026-06-25 08:35:00+00:00,213.518,tp,7,19.999999999998863,3.4000000000006025,0.0,16.59999999999826,20.199999999999818,0.0,28.80969779173791
AUD_USD,A,1,2026-06-25 11:00:00+00:00,0.68929,2026-06-25 12:45:00+00:00,0.69129,tp,21,20.000000000000018,1.2999999999996348,0.0,18.700000000000383,21.600000000000506,-4.699999999999704,19.393347114230387
GBP_USD,A,1,2026-06-25 10:00:00+00:00,1.31796,2026-06-25 14:00:00+00:00,1.31996,tp,48,20.000000000000018,1.949999999998342,0.0,18.050000000001674,36.000000000000476,-28.399999999999537,20.05261116818167
GBP_JPY,A,1,2026-06-25 08:35:00+00:00,213.476,2026-06-25 14:35:00+00:00,213.402,scratch,72,-7.400000000001228,3.44999999999942,0.0,-10.850000000000648,16.399999999998727,-63.900000000001,28.80969779173791
GBP_JPY,A,1,2026-06-25 14:35:00+00:00,213.402,2026-06-25 15:05:00+00:00,213.60199999999998,tp,6,19.999999999998863,3.1999999999996476,0.0,16.799999999999216,21.100000000001273,-5.599999999998317,35.10532801403885
AUD_USD,A,1,2026-06-25 13:30:00+00:00,0.69068,2026-06-25 16:15:00+00:00,0.69268,tp,33,20.000000000000018,1.3500000000005175,0.0,18.6499999999995,20.800000000000818,-15.600000000000058,21.24054339009131
