ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,8215.9,10908,0.0,10.68,973.0,4289,2.28,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,8116.0,10904,0.0,10.55,947.0,4289,2.22,1
2322,atr14_m3p0_r3_n2_E1_X3b_3,6009.1,469,0.006,2.88,457.0,221,1.07,1
2496,atr20_m0p5_r2_n3_E1_X3b_1,40550.0,20000,0.0,64.1,0.0,0,0.0,0
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,40647.7,20000,0.0,64.18,0.0,0,0.0,0
180,atr7_m0p5_r3_n3_E1_X3c_1_5,39300.3,20000,0.0,62.04,0.0,0,0.0,0
102,atr7_m0p5_r2_n3_E1_X3c_1_3,36097.4,20000,0.0,56.79,0.0,0,0.0,0
2576,atr20_m0p5_r3_n3_E1_X3b_1,45009.4,20000,0.0,71.4,0.0,0,0.0,0
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,42988.9,20000,0.0,68.16,0.0,0,0.0,0
1376,atr14_m0p5_r3_n3_E1_X3b_1,42974.9,20000,0.0,68.06,0.0,0,0.0,0
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,42961.4,20000,0.0,68.0,0.0,0,0.0,0
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,45005.4,20000,0.0,71.41,0.0,0,0.0,0
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,45051.7,20000,0.0,71.46,0.0,0,0.0,0
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,40443.6,20000,0.0,64.06,0.0,0,0.0,0
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,38888.7,20000,0.0,61.62,0.0,0,0.0,0
96,atr7_m0p5_r2_n3_E1_X3b_1,36169.8,20000,0.0,57.09,0.0,0,0.0,0
100,atr7_m0p5_r2_n3_E1_X3c_1_5,36229.2,20000,0.0,57.09,0.0,0,0.0,0
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,38828.4,20000,0.0,61.35,0.0,0,0.0,0
182,atr7_m0p5_r3_n3_E1_X3c_1_3,39272.1,20000,0.0,61.99,0.0,0,0.0,0
1296,atr14_m0p5_r2_n3_E1_X3b_1,38968.0,20000,0.0,61.72,0.0,0,0.0,0
176,atr7_m0p5_r3_n3_E1_X3b_1,39271.8,20000,0.0,62.08,0.0,0,0.0,0
3527,atr20_m3p0_r3_n2_E1_X3c_2_3,8276.7,847,0.0,6.87,-197.1,408,-0.46,0
3525,atr20_m3p0_r3_n2_E1_X3c_2_5,8291.2,846,0.001,6.94,-224.1,407,-0.52,0
3521,atr20_m3p0_r3_n2_E1_X3b_2,8363.8,844,0.0,6.78,-228.1,407,-0.53,0
2082,atr14_m2p0_r3_n2_E1_X3b_3,6854.6,1243,0.004,4.3,-808.1,544,-1.89,0
2338,atr14_m3p0_r3_n3_E1_X3b_3,6895.1,397,0.002,4.51,-1175.7,185,-2.75,0
3522,atr20_m3p0_r3_n2_E1_X3b_3,6797.5,526,0.003,4.01,-2116.2,264,-4.96,0
