ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2544,atr20_m0p5_r2_n6_E1_X3b_1,9730.6,1014,0.0,15.19,1626.0,155,3.81,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9730.6,1014,0.0,15.19,1626.0,155,3.81,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9730.6,1014,0.0,15.19,1626.0,155,3.81,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,7300.3,6204,0.0,10.6,1594.4,1174,3.74,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8727.3,2627,0.0,13.34,1594.4,414,3.74,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,7708.5,6188,0.0,11.24,1594.9,1166,3.74,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,7310.5,6204,0.0,10.61,1588.9,1174,3.72,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,7623.1,6189,0.0,11.14,1586.5,1168,3.72,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,7680.6,6188,0.0,11.21,1577.0,1166,3.7,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,7295.6,6204,0.0,10.6,1579.7,1174,3.7,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8747.1,2629,0.0,13.32,1562.3,414,3.66,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,8592.4,2625,0.0,13.1,1547.6,414,3.63,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,8335.9,7286,0.0,12.3,1488.9,1288,3.49,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,8238.8,7274,0.0,12.13,1483.1,1287,3.48,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,8095.2,7267,0.0,11.76,1484.7,1286,3.48,1
209,atr7_m0p5_r3_n5_E1_X3b_2,5364.9,6000,0.0,7.52,1436.1,1115,3.37,1
215,atr7_m0p5_r3_n5_E1_X3c_2_3,5393.7,6000,0.0,7.54,1424.0,1115,3.34,1
213,atr7_m0p5_r3_n5_E1_X3c_2_5,5380.5,6000,0.0,7.54,1418.8,1115,3.32,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8585.5,883,0.0,13.28,1411.3,136,3.31,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8585.5,883,0.0,13.28,1411.3,136,3.31,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,8585.5,883,0.0,13.28,1411.3,136,3.31,1
256,atr7_m1p0_r1_n3_E1_X3b_1,8049.1,5900,0.0,11.69,1407.0,949,3.3,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,8118.2,2398,0.0,12.31,1402.3,374,3.29,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,8037.3,2402,0.0,12.25,1399.9,374,3.28,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,8008.4,2398,0.0,12.15,1387.6,374,3.25,1
2752,atr20_m1p0_r2_n4_E1_X3b_1,7615.7,3721,0.0,11.18,1363.4,698,3.19,1
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,7627.5,3721,0.0,11.2,1347.6,698,3.16,1
2433,atr20_m0p5_r1_n4_E1_X3b_2,8228.7,9228,0.0,11.78,1344.6,1848,3.15,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,7626.8,3721,0.0,11.19,1346.0,699,3.15,1
1558,atr14_m1p0_r2_n4_E1_X3c_1_3,7178.0,3834,0.0,10.49,1316.8,693,3.09,1
1552,atr14_m1p0_r2_n4_E1_X3b_1,7194.7,3834,0.0,10.51,1287.1,693,3.02,1
135,atr7_m0p5_r2_n5_E1_X3c_2_3,6549.5,2057,0.0,9.87,1290.1,342,3.02,1
1556,atr14_m1p0_r2_n4_E1_X3c_1_5,7192.4,3834,0.0,10.51,1279.7,693,3.0,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,7706.7,775,0.0,11.93,1269.0,120,2.97,1
64,atr7_m0p5_r1_n6_E1_X3b_1,7704.9,775,0.0,11.92,1269.0,120,2.97,1
133,atr7_m0p5_r2_n5_E1_X3c_2_5,6607.0,2055,0.0,9.94,1267.2,342,2.97,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,7701.5,775,0.0,11.91,1269.0,120,2.97,1
129,atr7_m0p5_r2_n5_E1_X3b_2,6502.4,2054,0.0,9.82,1249.9,342,2.93,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,8367.9,5929,0.0,12.42,1207.8,955,2.83,1
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,6885.8,1063,0.0,10.51,1185.3,183,2.78,1
55,atr7_m0p5_r1_n5_E1_X3c_2_3,6653.6,2103,0.0,10.06,1175.8,385,2.76,1
2631,atr20_m0p5_r3_n6_E1_X3c_2_3,6910.6,3132,0.0,10.28,1176.6,581,2.76,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,8377.9,5920,0.0,12.38,1172.5,953,2.75,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,7374.3,761,0.0,11.36,1175.3,115,2.75,1
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,6875.2,1063,0.0,10.5,1175.4,183,2.75,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,7378.1,761,0.0,11.37,1175.3,115,2.75,1
144,atr7_m0p5_r2_n6_E1_X3b_1,7378.1,761,0.0,11.37,1175.3,115,2.75,1
2625,atr20_m0p5_r3_n6_E1_X3b_2,6939.1,3131,0.0,10.25,1167.5,581,2.74,1
2629,atr20_m0p5_r3_n6_E1_X3c_2_5,6939.1,3131,0.0,10.25,1167.5,581,2.74,1
49,atr7_m0p5_r1_n5_E1_X3b_2,6532.8,2101,0.0,9.86,1165.7,384,2.73,1
2465,atr20_m0p5_r1_n6_E1_X3b_2,6849.6,1063,0.0,10.47,1155.1,183,2.71,1
1431,atr14_m0p5_r3_n6_E1_X3c_2_3,6117.6,3138,0.0,9.0,1155.3,584,2.71,1
1425,atr14_m0p5_r3_n6_E1_X3b_2,6082.0,3138,0.0,8.93,1149.9,584,2.69,1
1429,atr14_m0p5_r3_n6_E1_X3c_2_5,6093.8,3138,0.0,8.95,1140.7,584,2.67,1
53,atr7_m0p5_r1_n5_E1_X3c_2_5,6663.9,2102,0.0,10.06,1134.2,385,2.66,1
225,atr7_m0p5_r3_n6_E1_X3b_2,4969.6,3115,0.0,7.16,1128.9,589,2.65,1
231,atr7_m0p5_r3_n6_E1_X3c_2_3,4969.5,3115,0.0,7.17,1116.8,589,2.62,1
229,atr7_m0p5_r3_n6_E1_X3c_2_5,4972.0,3115,0.0,7.16,1111.7,589,2.61,1
1271,atr14_m0p5_r1_n6_E1_X3c_2_3,5962.0,899,0.0,9.05,1102.4,153,2.58,1
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,8620.6,9255,0.0,12.54,1085.1,1851,2.54,1
1269,atr14_m0p5_r1_n6_E1_X3c_2_5,5972.3,899,0.0,9.06,1071.6,153,2.51,1
1265,atr14_m0p5_r1_n6_E1_X3b_2,5943.6,899,0.0,9.02,1055.5,153,2.47,1
2551,atr20_m0p5_r2_n6_E1_X3c_2_3,6508.3,1013,0.0,9.96,1028.8,155,2.41,1
2549,atr20_m0p5_r2_n6_E1_X3c_2_5,6526.8,1013,0.0,9.98,1026.4,155,2.41,1
1237,atr14_m0p5_r1_n4_E1_X3c_2_5,6966.6,8672,0.0,9.82,1029.8,1785,2.41,1
352,atr7_m1p0_r2_n4_E1_X3b_1,5593.3,3714,0.0,7.92,1022.4,693,2.4,1
358,atr7_m1p0_r2_n4_E1_X3c_1_3,5652.4,3714,0.0,8.01,1023.7,693,2.4,1
