ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9133.6,925,0.0,795.3,14.05,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9124.3,925,0.0,804.2,14.03,1
2544,atr20_m0p5_r2_n6_E1_X3b_1,9124.3,925,0.0,804.2,14.03,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,8912.0,820,0.0,753.2,13.75,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,8908.2,820,0.0,760.8,13.75,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,8905.9,820,0.0,758.5,13.74,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8508.0,823,0.0,764.7,13.02,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,8505.7,823,0.0,764.7,13.01,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8502.4,823,0.0,761.9,13.01,1
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,8754.2,8584,0.0,917.5,12.77,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8336.2,2373,0.0,707.4,12.63,1
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,8665.7,8590,0.0,944.5,12.62,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8316.5,2198,0.0,711.0,12.53,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,8299.0,2373,0.0,737.8,12.51,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8271.9,2373,0.0,707.6,12.51,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8253.4,2202,0.0,736.2,12.47,1
2433,atr20_m0p5_r1_n4_E1_X3b_2,8593.3,8561,0.0,986.0,12.44,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.8,2202,0.0,739.4,12.39,1
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,8360.7,7359,0.0,853.0,12.34,1
2736,atr20_m1p0_r2_n3_E1_X3b_1,8506.2,11489,0.0,1120.0,12.09,1
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,8201.5,7347,0.0,885.6,12.08,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,8510.3,11497,0.0,1217.8,12.04,1
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,8506.9,11494,0.0,1110.8,12.0,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,8134.7,5767,0.0,866.7,11.93,1
2513,atr20_m0p5_r2_n4_E1_X3b_2,8182.1,7339,0.0,921.4,11.9,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,8111.7,5780,0.0,792.6,11.89,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,7879.0,2169,0.0,694.9,11.85,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,7817.6,2172,0.0,674.6,11.78,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,7627.9,666,0.0,699.0,11.74,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,7627.0,666,0.0,699.9,11.74,1
64,atr7_m0p5_r1_n6_E1_X3b_1,7627.0,666,0.0,699.9,11.74,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,7795.3,2173,0.0,700.0,11.72,1
256,atr7_m1p0_r1_n3_E1_X3b_1,7805.6,5746,0.0,866.0,11.35,1
1239,atr14_m0p5_r1_n4_E1_X3c_2_3,7614.8,7842,0.0,928.9,11.01,1
1233,atr14_m0p5_r1_n4_E1_X3b_2,7698.2,7809,0.0,965.1,10.93,1
1237,atr14_m0p5_r1_n4_E1_X3c_2_5,7518.2,7837,0.0,1014.5,10.8,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,7451.8,6921,0.0,872.8,10.8,1
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,7072.2,958,0.0,680.4,10.73,1
2465,atr20_m0p5_r1_n6_E1_X3b_2,7062.5,958,0.0,664.8,10.71,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,7380.5,6933,0.0,860.4,10.71,1
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,7071.3,958,0.0,672.3,10.71,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,7432.5,6905,0.0,921.1,10.71,1
144,atr7_m0p5_r2_n6_E1_X3b_1,6975.7,691,0.0,617.3,10.63,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,6975.7,691,0.0,617.3,10.63,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,6975.7,691,0.0,617.3,10.63,1
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,7636.1,11122,0.0,1100.6,10.61,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,7615.6,11115,0.0,1105.4,10.57,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,7508.4,11126,0.0,1221.7,10.34,1
53,atr7_m0p5_r1_n5_E1_X3c_2_5,6789.0,1797,0.0,639.6,10.2,1
49,atr7_m0p5_r1_n5_E1_X3b_2,6804.4,1797,0.0,653.6,10.15,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,6744.2,992,0.0,631.9,10.14,1
2676,atr20_m1p0_r1_n4_E1_X3c_1_5,6737.0,992,0.0,624.6,10.12,1
55,atr7_m0p5_r1_n5_E1_X3c_2_3,6757.7,1798,0.0,601.7,10.11,1
2672,atr20_m1p0_r1_n4_E1_X3b_1,6686.8,992,0.0,630.4,10.04,1
2752,atr20_m1p0_r2_n4_E1_X3b_1,6670.0,3978,0.0,842.9,9.69,1
2545,atr20_m0p5_r2_n6_E1_X3b_2,6419.7,924,0.0,656.2,9.68,1
2551,atr20_m0p5_r2_n6_E1_X3c_2_3,6414.6,924,0.0,648.9,9.67,1
2549,atr20_m0p5_r2_n6_E1_X3c_2_5,6401.5,924,0.0,650.5,9.66,1
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,6659.7,3979,0.0,804.8,9.63,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,6666.5,3979,0.0,788.7,9.63,1
1265,atr14_m0p5_r1_n6_E1_X3b_2,6124.5,819,0.0,616.3,9.21,1
1269,atr14_m0p5_r1_n6_E1_X3c_2_5,6088.9,819,0.0,628.9,9.16,1
1271,atr14_m0p5_r1_n6_E1_X3c_2_3,6092.0,819,0.0,633.3,9.16,1
1476,atr14_m1p0_r1_n4_E1_X3c_1_5,6110.3,852,0.0,661.5,9.14,1
129,atr7_m0p5_r2_n5_E1_X3b_2,6160.1,1917,0.0,686.6,9.13,1
1478,atr14_m1p0_r1_n4_E1_X3c_1_3,6098.5,852,0.0,688.7,9.13,1
133,atr7_m0p5_r2_n5_E1_X3c_2_5,6098.9,1919,0.0,636.0,9.05,1
1472,atr14_m1p0_r1_n4_E1_X3b_1,6057.9,852,0.0,646.6,9.05,1
135,atr7_m0p5_r2_n5_E1_X3c_2_3,6085.1,1920,0.0,620.8,8.99,1
1556,atr14_m1p0_r2_n4_E1_X3c_1_5,6161.8,3900,0.0,836.4,8.81,1
1552,atr14_m1p0_r2_n4_E1_X3b_1,6121.5,3900,0.0,840.4,8.76,1
1351,atr14_m0p5_r2_n6_E1_X3c_2_3,5854.1,822,0.0,587.0,8.75,1
1349,atr14_m0p5_r2_n6_E1_X3c_2_5,5848.2,822,0.0,601.0,8.74,1
1345,atr14_m0p5_r2_n6_E1_X3b_2,5845.0,822,0.0,604.3,8.72,1
1558,atr14_m1p0_r2_n4_E1_X3c_1_3,6093.7,3901,0.0,824.2,8.67,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,6055.0,5983,0.0,884.0,8.49,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,6022.5,5982,0.0,763.8,8.49,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,6001.3,5907,0.0,814.2,8.47,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,6002.1,5906,0.0,786.9,8.41,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,5968.4,5908,0.0,853.9,8.41,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,6010.9,5981,0.0,892.0,8.36,1
33,atr7_m0p5_r1_n4_E1_X3b_2,5943.7,6924,0.0,888.9,8.23,1
37,atr7_m0p5_r1_n4_E1_X3c_2_5,5842.7,6946,0.0,821.8,8.16,1
39,atr7_m0p5_r1_n4_E1_X3c_2_3,5744.3,6962,0.0,789.3,8.06,1
2900,atr20_m1p5_r1_n3_E1_X3c_1_5,5568.7,2067,0.0,722.7,7.97,1
2896,atr20_m1p5_r1_n3_E1_X3b_1,5676.3,2060,0.0,868.4,7.95,1
2902,atr20_m1p5_r1_n3_E1_X3c_1_3,5463.3,2071,0.0,728.0,7.85,1
119,atr7_m0p5_r2_n4_E1_X3c_2_3,5493.3,6210,0.0,834.2,7.71,1
113,atr7_m0p5_r2_n4_E1_X3b_2,5408.3,6184,0.0,808.0,7.54,1
117,atr7_m0p5_r2_n4_E1_X3c_2_5,5413.9,6194,0.0,862.8,7.51,1
2625,atr20_m0p5_r3_n6_E1_X3b_2,5235.2,3086,0.0,743.5,7.49,1
2629,atr20_m0p5_r3_n6_E1_X3c_2_5,5233.2,3087,0.0,718.2,7.45,1
2631,atr20_m0p5_r3_n6_E1_X3c_2_3,5225.9,3087,0.0,724.1,7.44,1
1696,atr14_m1p5_r1_n3_E1_X3b_1,5265.1,1860,0.0,777.3,7.4,1
336,atr7_m1p0_r2_n3_E1_X3b_1,5579.2,10577,0.0,1180.8,7.18,1
342,atr7_m1p0_r2_n3_E1_X3c_1_3,5545.6,10587,0.0,1200.6,7.04,1
340,atr7_m1p0_r2_n3_E1_X3c_1_5,5447.0,10585,0.0,1148.4,6.94,1
898,atr7_m2p0_r3_n3_E1_X3b_3,5242.1,788,0.0,2654.4,4.35,1
