ci,name,is_pnl,is_ntrd,c0,c1,c2
1150,atr7_m3p0_r3_n3_E2_X3c_1_3,460.0,150,2.2,92.2,365.5
2029,atr14_m2p0_r2_n3_E2_X3c_2_5,456.6,563,219.3,207.6,29.8
389,atr7_m1p0_r2_n6_E1_X3c_2_5,447.4,455,112.9,116.2,218.3
2946,atr20_m1p5_r1_n6_E1_X3b_3,438.1,36,28.1,14.7,395.3
545,atr7_m1p5_r1_n6_E1_X3b_2,436.6,33,6.6,42.2,387.8
3469,atr20_m3p0_r2_n3_E2_X3c_2_5,431.2,310,50.4,149.9,230.9
1746,atr14_m1p5_r1_n6_E1_X3b_3,428.8,39,70.8,3.7,354.3
279,atr7_m1p0_r1_n4_E1_X3c_2_3,404.9,713,15.4,45.6,343.9
769,atr7_m2p0_r1_n5_E1_X3b_2,392.2,32,51.4,57.2,283.6
549,atr7_m1p5_r1_n6_E1_X3c_2_5,359.9,33,6.6,41.6,311.7
551,atr7_m1p5_r1_n6_E1_X3c_2_3,352.9,33,6.6,41.6,304.7
3270,atr20_m2p0_r2_n6_E1_X3c_1_3,345.1,311,60.6,11.7,272.9
3264,atr20_m2p0_r2_n6_E1_X3b_1,345.1,311,60.6,11.7,272.9
3268,atr20_m2p0_r2_n6_E1_X3c_1_5,345.1,311,60.6,11.7,272.9
1975,atr14_m2p0_r1_n5_E1_X3c_2_3,321.1,33,49.0,60.1,212.1
1969,atr14_m2p0_r1_n5_E1_X3b_2,318.7,33,49.0,61.2,208.5
3323,atr20_m2p0_r3_n4_E2_X2,291.2,346,31.0,198.5,61.7
3471,atr20_m3p0_r2_n3_E2_X3c_2_3,284.5,311,68.4,73.9,142.2
773,atr7_m2p0_r1_n5_E1_X3c_2_5,277.9,32,23.6,49.8,204.5
775,atr7_m2p0_r1_n5_E1_X3c_2_3,262.4,32,23.1,43.0,196.3
1973,atr14_m2p0_r1_n5_E1_X3c_2_5,255.8,33,49.0,50.6,156.3
1060,atr7_m3p0_r2_n3_E1_X3c_1_5,250.7,982,39.3,63.1,148.3
1062,atr7_m3p0_r2_n3_E1_X3c_1_3,249.7,982,39.3,57.8,152.5
1959,atr14_m2p0_r1_n4_E1_X3c_2_3,238.4,105,36.9,26.5,175.0
2524,atr20_m0p5_r2_n4_E2_X3c_1_5,233.8,162,6.6,72.9,154.4
2520,atr20_m0p5_r2_n4_E2_X3b_1,225.0,162,6.6,72.9,145.5
2526,atr20_m0p5_r2_n4_E2_X3c_1_3,216.2,162,6.6,65.5,144.1
1056,atr7_m3p0_r2_n3_E1_X3b_1,212.1,982,39.3,55.9,116.9
2540,atr20_m0p5_r2_n5_E2_X3c_1_5,149.9,64,31.0,22.6,96.3
2536,atr20_m0p5_r2_n5_E2_X3b_1,141.0,64,31.0,22.6,87.5
2542,atr20_m0p5_r2_n5_E2_X3c_1_3,139.6,64,31.0,22.6,86.0
2476,atr20_m0p5_r1_n6_E2_X3c_1_5,132.5,53,68.3,21.0,43.3
2472,atr20_m0p5_r1_n6_E2_X3b_1,132.5,53,68.3,21.0,43.3
2478,atr20_m0p5_r1_n6_E2_X3c_1_3,132.5,53,68.3,21.0,43.3
1276,atr14_m0p5_r1_n6_E2_X3c_1_5,129.5,35,36.5,8.4,84.6
1272,atr14_m0p5_r1_n6_E2_X3b_1,128.6,35,35.6,8.4,84.6
1278,atr14_m0p5_r1_n6_E2_X3c_1_3,128.2,35,35.2,8.4,84.6
1957,atr14_m2p0_r1_n4_E1_X3c_2_5,100.4,105,26.5,14.2,59.7
